startTime,settlementPeriod,generation
2021-01-23T00:00:00Z,1,982
2021-01-23T00:30:00Z,2,982
2021-01-23T01:00:00Z,3,982
2021-01-23T01:30:00Z,4,982
2021-01-23T02:00:00Z,5,982
2021-01-23T02:30:00Z,6,982
2021-01-23T03:00:00Z,7,982
2021-01-23T03:30:00Z,8,982
2021-01-23T04:00:00Z,9,982
2021-01-23T04:30:00Z,10,982
2021-01-23T05:00:00Z,11,982
2021-01-23T05:30:00Z,12,982
2021-01-23T06:00:00Z,13,982
2021-01-23T06:30:00Z,14,982
2021-01-23T07:00:00Z,15,982
2021-01-23T07:30:00Z,16,982
2021-01-23T08:00:00Z,17,982
2021-01-23T08:30:00Z,18,982
2021-01-23T09:00:00Z,19,982
2021-01-23T09:30:00Z,20,982
2021-01-23T10:00:00Z,21,982
2021-01-23T10:30:00Z,22,982
2021-01-23T11:00:00Z,23,982
2021-01-23T11:30:00Z,24,982
2021-01-23T12:00:00Z,25,982
2021-01-23T12:30:00Z,26,982
2021-01-23T13:00:00Z,27,982
2021-01-23T13:30:00Z,28,982
2021-01-23T14:00:00Z,29,980
2021-01-23T14:30:00Z,30,980
2021-01-23T15:00:00Z,31,982
2021-01-23T15:30:00Z,32,982
2021-01-23T16:00:00Z,33,982
2021-01-23T16:30:00Z,34,982
2021-01-23T17:00:00Z,35,982
2021-01-23T17:30:00Z,36,982
2021-01-23T18:00:00Z,37,982
2021-01-23T18:30:00Z,38,982
2021-01-23T19:00:00Z,39,982
2021-01-23T19:30:00Z,40,982
2021-01-23T20:00:00Z,41,982
2021-01-23T20:30:00Z,42,982
2021-01-23T21:00:00Z,43,982
2021-01-23T21:30:00Z,44,982
2021-01-23T22:00:00Z,45,982
2021-01-23T22:30:00Z,46,982
2021-01-23T23:00:00Z,47,982
2021-01-23T23:30:00Z,48,982
2021-01-24T00:00:00Z,1,982
2021-01-24T00:30:00Z,2,982
2021-01-24T01:00:00Z,3,982
2021-01-24T01:30:00Z,4,982
2021-01-24T02:00:00Z,5,980
2021-01-24T02:30:00Z,6,980
2021-01-24T03:00:00Z,7,982
2021-01-24T03:30:00Z,8,982
2021-01-24T04:00:00Z,9,982
2021-01-24T04:30:00Z,10,982
2021-01-24T05:00:00Z,11,982
2021-01-24T05:30:00Z,12,982
2021-01-24T06:00:00Z,13,982
2021-01-24T06:30:00Z,14,982
2021-01-24T07:00:00Z,15,982
2021-01-24T07:30:00Z,16,982
2021-01-24T08:00:00Z,17,982
2021-01-24T08:30:00Z,18,982
2021-01-24T09:00:00Z,19,982
2021-01-24T09:30:00Z,20,982
2021-01-24T10:00:00Z,21,982
2021-01-24T10:30:00Z,22,982
2021-01-24T11:00:00Z,23,982
2021-01-24T11:30:00Z,24,982
2021-01-24T12:00:00Z,25,982
2021-01-24T12:30:00Z,26,982
2021-01-24T13:00:00Z,27,982
2021-01-24T13:30:00Z,28,982
2021-01-24T14:00:00Z,29,982
2021-01-24T14:30:00Z,30,982
2021-01-24T15:00:00Z,31,982
2021-01-24T15:30:00Z,32,982
2021-01-24T16:00:00Z,33,982
2021-01-24T16:30:00Z,34,982
2021-01-24T17:00:00Z,35,982
2021-01-24T17:30:00Z,36,982
2021-01-24T18:00:00Z,37,982
2021-01-24T18:30:00Z,38,982
2021-01-24T19:00:00Z,39,982
2021-01-24T19:30:00Z,40,982
2021-01-24T20:00:00Z,41,982
2021-01-24T20:30:00Z,42,982
2021-01-24T21:00:00Z,43,982
2021-01-24T21:30:00Z,44,982
2021-01-24T22:00:00Z,45,982
2021-01-24T22:30:00Z,46,982
2021-01-24T23:00:00Z,47,982
2021-01-24T23:30:00Z,48,982
2021-01-25T00:00:00Z,1,982
2021-01-25T00:30:00Z,2,982
2021-01-25T01:00:00Z,3,982
2021-01-25T01:30:00Z,4,982
2021-01-25T02:00:00Z,5,982
2021-01-25T02:30:00Z,6,980
2021-01-25T03:00:00Z,7,936
2021-01-25T03:30:00Z,8,934
2021-01-25T04:00:00Z,9,940
2021-01-25T04:30:00Z,10,924
2021-01-25T05:00:00Z,11,580
2021-01-25T05:30:00Z,12,544
2021-01-25T06:00:00Z,13,106
2021-01-25T06:30:00Z,14,50
2021-01-25T07:00:00Z,15,-708
2021-01-25T07:30:00Z,16,-716
2021-01-25T08:00:00Z,17,-120
2021-01-25T08:30:00Z,18,-84
2021-01-25T09:00:00Z,19,80
2021-01-25T09:30:00Z,20,74
2021-01-25T10:00:00Z,21,-250
2021-01-25T10:30:00Z,22,-254
2021-01-25T11:00:00Z,23,-40
2021-01-25T11:30:00Z,24,-38
2021-01-25T12:00:00Z,25,-232
2021-01-25T12:30:00Z,26,-242
2021-01-25T13:00:00Z,27,-282
2021-01-25T13:30:00Z,28,-294
2021-01-25T14:00:00Z,29,-532
2021-01-25T14:30:00Z,30,-452
2021-01-25T15:00:00Z,31,-666
2021-01-25T15:30:00Z,32,-634
2021-01-25T16:00:00Z,33,208
2021-01-25T16:30:00Z,34,274
2021-01-25T17:00:00Z,35,898
2021-01-25T17:30:00Z,36,928
2021-01-25T18:00:00Z,37,794
2021-01-25T18:30:00Z,38,796
2021-01-25T19:00:00Z,39,974
2021-01-25T19:30:00Z,40,982
2021-01-25T20:00:00Z,41,982
2021-01-25T20:30:00Z,42,982
2021-01-25T21:00:00Z,43,982
2021-01-25T21:30:00Z,44,958
2021-01-25T22:00:00Z,45,412
2021-01-25T22:30:00Z,46,394
2021-01-25T23:00:00Z,47,530
2021-01-25T23:30:00Z,48,554
2021-01-26T00:00:00Z,1,944
2021-01-26T00:30:00Z,2,964
2021-01-26T01:00:00Z,3,976
2021-01-26T01:30:00Z,4,978
2021-01-26T02:00:00Z,5,978
2021-01-26T02:30:00Z,6,972
2021-01-26T03:00:00Z,7,878
2021-01-26T03:30:00Z,8,872
