Connection Site,TEC Project Names,TEC Customer Names,TEC Plant Types,TEC Project Numbers,TEC Register Source,Latitude,Longitude,Matched Feature,Match Type,Confidence,Match Score,Source URL,Source Description,Confidence Notes
132kV bay at Iron Acton Substation,Iron Acton,IRON ACTON GREEN LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-000491-1 | PRO-000491-2,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.568978,-2.481269,IRON ACTON 132KV S/S,Strong name match,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; IRON ACTON 132KV S/S; NATIONAL GRID; GSP,Strong name match; score 100.0/100; next-candidate margin 4.0. Coordinates represent the matched mapped feature.
17 ACRES BESS 275KV SUBSTATION,17 Acres and BESS,AEUK BATTERY PROJECT II LTD,Energy Storage System,PRO-004392,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.528745,-2.980503,"17 Acres BESS project site, Balnuith, Tealing",TEC project statutory grid-reference proxy,Medium,,https://www.thegazette.co.uk/notice/4925861,"Statutory notice for 17 Acres BESS: land at Balnuith, Tealing, near Dundee, DD4 0RE; Central Grid Reference 340032, 737273.","Project-site coordinates derived from the published statutory National Grid reference. The connection site is stated by the developer to be directly adjacent to Tealing Substation, so this is a strong area proxy but not a surveyed bay coordinate."
Aberarder Extension Wind Farm 132/33kV Substation,Aberarder Extension Wind Farm,Renewable Energy Systems Limited,Energy Storage System;Wind Onshore,PRO-002589,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.713296,-3.453203,ABERDARE,Fuzzy infrastructure match,Medium,86.4,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERDARE; WESTERN POWER DISTRIBUTION; PSS,Fuzzy infrastructure match; score 86.4/100; next-candidate margin 2.4. Coordinates represent the matched mapped feature.
Aberarder Wind Farm 132/33kV Substation,Aberarder Wind Farm,ABERARDER WIND FARM LLP,Wind Onshore,PRO-000368,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.713296,-3.453203,ABERDARE,Fuzzy infrastructure match,Medium,86.4,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERDARE; WESTERN POWER DISTRIBUTION; PSS,Fuzzy infrastructure match; score 86.4/100; next-candidate margin 2.4. Coordinates represent the matched mapped feature.
Aberdeen Bay 132kV Substation,Aberdeen Offshore Wind Farm,ABERDEEN OFFSHORE WIND FARM LIMITED,Wind Offshore,PRO-000002,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.148243,-2.092809,Aberdeen,Town/locality proxy,Low,80.0,https://www.openstreetmap.org/node/21063362,OpenStreetMap named city: Aberdeen,"Town/locality proxy; score 80.0/100; next-candidate margin 5.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Abernethy 2 GSP,Shire End Solar Farm,QAIR SCOTLAND LIMITED,PV Array (Photo Voltaic/solar),PRO-004902,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.332706,-3.311570,Abernethy,Town/locality proxy,Medium,96.0,https://www.openstreetmap.org/node/917928963,OpenStreetMap named village: Abernethy,"Town/locality proxy; score 96.0/100; next-candidate margin 19.1. Coordinates are a geographic proxy, not the confirmed electrical asset."
Abernethy GSP,Jamesfield Farm Battery Storage | Jamesfield Farm Phase 2 Battery Storage,HARMONY JF LIMITED,Energy Storage System,PRO-001237 | PRO-001236,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.339745,-3.294879,ABERNETHY,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERNETHY; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Aberthaw 132kV Substation,Peak Gen Barry,PEAK GEN POWER 6 LIMITED,Energy Storage System,PRO-003899,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.385200,-3.403321,ABERTHAW 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERTHAW 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Aberthaw 275kV Substation,Aberthaw (Tertiary) | Aberthaw Energy | Aberthaw PV & BESS Generation | Afon Ddaw | Mwyndy Storage,Aberthaw Green Limited | ABERTHAW ENERGY LIMITED | REWE 12 Limited | LIGHTSOURCE SPV 214 LIMITED | CENIN RENEWABLES LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar) | Energy Storage System,PRO-000376 | PRO-001697 | PRO-001815 | PRO-001775 | PRO-005875,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.388331,-3.403201,ABERTHAW 275KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERTHAW 275KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Aberthaw B 275/132kV Substation,Aberthaw BESS,REWE 7 LIMITED,Energy Storage System,PRO-003954,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.385200,-3.403321,ABERTHAW 132KV S/S,Strong name match,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERTHAW 132KV S/S; NATIONAL GRID; GSP,Strong name match; score 100.0/100; next-candidate margin 4.0. Coordinates represent the matched mapped feature.
