project,connection_site,assigned_charging_zone,updated_charging_zone,latitude,longitude,location_basis,confidence,source_urls,notes,customer_name,project_status,host_to,plant_type,project_id,project_number
50MW BESS Connagill,New Connagill 275/132kV Substation,GZ1,,58.512123,-3.879166,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/567187951; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Connagill Substation.,Cerulisia Ltd,Scoping,SHET,Energy Storage System,a0lJ9000000blmDIAQ,PRO-004938
Aberarder Extension Wind Farm,Aberarder Extension Wind Farm 132/33kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ABERARDER.,Renewable Energy Systems Limited,Scoping,SHET,Energy Storage System;Wind Onshore,a0l8e0000010wQ0AAI,PRO-002589
Aberarder Wind Farm,Aberarder Wind Farm 132/33kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ABERARDER.,ABERARDER WIND FARM LLP,Consents Approved,SHET,Wind Onshore,a0l4L0000005ilHQAQ,PRO-000368
Aberdeen Offshore Wind Farm,Aberdeen Bay 132kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ABERDEEN BAY.,ABERDEEN OFFSHORE WIND FARM LIMITED,Built,SHET,Wind Offshore,a0l4L0000005itBQAQ,PRO-000002
Abhainn Dubh Wind Farm,Abhainn Dubh Wind Farm 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,E Power Limited,Scoping,SHET,Wind Onshore,a0l4L0000005ivFQAQ,PRO-002272
Achanalt Battery Storage,Grudie Bridge GSP,GZ1,,57.804814,-5.174501,settlement proxy,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://zenodo.org/records/10866260; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Grudie Bridge.,ADTEK LIMITED,Scoping,SHET,Energy Storage System,a0l8e000001HrmUAAS,PRO-004221
Achany Extension Wind Farm,ACHANY EXTENSION WIND FARM 132/33KV Substation,GZ1,,58.001191,-4.518047,project,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/relation/6949399,Spatial point-in-polygon. Location matched to Achany Wind Farm. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,SSE Generation Limited,Scoping,SHET,Wind Onshore,a0l4L0000005iiYQAQ,PRO-001555
Acheilidh Wind Farm,Acheilidh Wind farm 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ENERGYFARM UK ACHEILIDH LTD,Scoping,SHET,Energy Storage System;Wind Onshore,a0lJ9000000PDsuIAG,PRO-005042
Achies BESS,New Spittal 275kV Substation,GZ1,,58.478991,-3.451722,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/495624573; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Spittal Substation.,IGP ENERGY STORAGE 5 LIMITED,Scoping,SHET,Energy Storage System,a0lJ9000000POVhIAO,PRO-006050
Achrugan Wind Farm,Achrugan 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Statkraft Windco 1 Limited,Scoping,SHET,Energy Storage System;Wind Onshore,a0l4L0000005ivEQAQ,PRO-002267
Aigas (part of the Beauly Cascade),Aigas Hydro 132kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to AIGAS.,SSE Generation Limited,Built,SHET,Hydro,a0l4L0000005itFQAQ,PRO-000006
Alcemi Midmill BESS,Kintore 275kV,GZ1,,55.821836,-4.270968,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/node/985075179; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Kintore.,ALCEMI STORAGE DEVELOPMENTS 2 LIMITED,Scoping,SHET,Energy Storage System,a0l4L0000005iaAQAQ,PRO-002014
Alcemi Score 2 Battery Energy Storage Facility,Alcemi Score Battery 400kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Scoping,SHET,Energy Storage System,a0l4L0000005ikEQAQ,PRO-001790
