connection_site,assigned_charging_zone,basis,reason
North Humber Connection Node C 132kV Substation,GZ15,settlement/regional proxy,Named regional settlement proxy (north humber)
Abhainn Dubh Wind Farm 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
ACHANY EXTENSION WIND FARM 132/33KV Substation,GZ1,project,Spatial point-in-polygon
Acheilidh Wind farm 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Achrugan 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
SOUTH WALES WEST CONNECTION NODE A 132KV SUBSTATION,GZ21,settlement/regional proxy,Named regional settlement proxy (south wales west)
AGS CALDERSIDE 275KV  SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Clydesmill 275/33kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
AGS Harestonhill BESS 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Braeside IDNO 132/33kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Airds Hill WindFarm 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
North Kent Connection Node A 400kV Substation,GZ24,settlement/regional proxy,Named regional settlement proxy (north kent)
Whitburn 400kV substation,GZ9,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Bathgate 400kV)
South Anglia Connection Node A 400kV Substation,GZ18,settlement/regional proxy,Named regional settlement proxy (south anglia)
Devilla Battery Storage 275kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Alcemi Score Battery 400kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
ALCEMI SCORE BATTERY ENERGY STORAGE FACILITY 400KV SUBSTATION,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
ALYTH BESS STATION 400KV SUBSTATION,GZ5,project proxy; charging-zone centroid,Same-project zone proxy (Alyth BESS Station)
London North West Connection Node A 132kV Substation,GZ25,settlement proxy,NESO node-zone map via 2025 TEC project proxy (Amersham Main 400kV Substation)
Andrew BESS 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Trent Valley South Connection Node B 400kV Substation.,GZ17,project proxy; charging-zone centroid,Same-project zone proxy (Project Number 6)
Hadleigh 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
New North East 275kV Substation,GZ2,settlement/regional proxy,Named regional settlement proxy (north east)
Arresgill 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Artfield Forest Wind Farm 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
West Anglia Connection Node G 400kV Substation,GZ16,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Ryhall 400kV Substation)
Auchentiber Farm BESS 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Auldhouse 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Aultmore Wind Farm 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Banniskirk 400kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
South Wales West Connection Node B 400kV Substation,GZ9,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Bathgate 132/33kV Substation)
Baillie 275KV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Balinoe 132kV substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
New North West 132kV Substation,GZ1,settlement/regional proxy,Named regional settlement proxy (north west)
Balliemeanoch 275kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
BALLYGROGGAN 132/33KV SUBSTATION,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Bankend Rig III Windfarm 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Bankhead 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Bargatton Farm BESS 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Barrow 132/33kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Severn Connection Node A 132kV Substation,GZ22,settlement/regional proxy,Named regional settlement proxy (severn)
Stornoway GSP,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Severn Connection Node B 400kV Substation,GZ21,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Melksham B 400kV Substation)
Beaw Field 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Beech Street/City Road Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
BEINN THURSUNN REPOWER 275/33KV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Benbrack Wind Farm 132/33kV Substation,GZ10,project,Spatial point-in-polygon
Bendsmoor BESS 400Kv Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Wearside Connection Node C 400kV Substation,GZ13,settlement/regional proxy,Named regional settlement proxy (wearside)
Bishopbriggs BESS 400/275kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Blackbraes IDNO GSP,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Leeds North Connection Node D 400kV Substation,GZ15,settlement/regional proxy,Named regional settlement proxy (leeds north)
Bispham Primary 33kV Substation,GZ14,project,Spatial point-in-polygon
Chirk GSP,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
BLAIR HILL WIND FARM 132KV SUBSTATION,GZ7,project,Spatial point-in-polygon
Blarghour Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Bloch Energy Park 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Bodinglee Wind Farm 132kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
BORDERS SOLAR 132/33KV SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Borders Windfarm 132kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Botley West 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Bowsheils 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Braidfield Battery Storage 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Braxbess 400/132kV Collector Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Braybrooke (Network Rail) GSP,GZ18,project proxy; charging-zone centroid,Same-project zone proxy (Braybrooke Solar and Battery Connection)
Breackerie 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Breakish 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Llandyfaelog 132kV Substation,GZ9,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Bathgate 132/33kV Substation)
West London Connection Node B 132kV substation,GZ25,settlement/regional proxy,Named regional settlement proxy (west london)
Longside 400kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Trent Valley South Connection Node A 400k,GZ18,settlement/regional proxy,Named regional settlement proxy (trent valley south)
Cottered 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
SHAWFAIR 400KV SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Burwell South 400kV Substation,GZ18,project,NESO node-zone map via 2025 TEC project proxy (Burwell GSP)
South Anglia Connection Node B 400kV Substation,GZ18,settlement/regional proxy,Named regional settlement proxy (south anglia)
Butlers Wood 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Leeds North Connection Node B 400kV Substation,GZ15,settlement/regional proxy,Named regional settlement proxy (leeds north)
Callisterhall 132kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
South Anglia Connection Node D 400kV Substation,GZ18,settlement/regional proxy,Named regional settlement proxy (south anglia)
Caorach 132 KV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Caple Rig 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Car Duibh 275kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Dalkeith 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Carn Fearna Wind Farm 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Mid Wales West 132kV Substation,GZ18,settlement/regional proxy,Named regional settlement proxy (mid wales west)
Carraig Gheal 132/33kV Substation,GZ7,project,Spatial point-in-polygon
Carrick Wind Farm Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Ceislien Wind Farm,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Teviot 400/132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
