interconnectorId,year,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw,mean_export_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,mean_active_capacity_mw,mean_signed_pct_active_capacity,mean_import_pct_active_capacity_when_importing,mean_export_pct_active_capacity_when_exporting,mean_available_interconnector_count,mean_missing_interconnector_count,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw,primary_state,primary_state_share_pct,import_export_margin_pct,abs_import_export_margin_pct,direction_bias,mostly_direction
INTELEC,2022,Eleclink (INTELEC),FRANCE,1260,2022-05-24 23:00:00+00:00,2022-12-31 23:30:00+00:00,10606,10610,4,99.96229971724789,5303.0,1269,8341,996,11.964925513860079,78.64416368093532,9.390910805204602,export,-589.9900056571752,-872.0,-1024.0,-1022.0,-174.0,771.5,70.65962662643787,660.6496322836131,590.5563435776202,840.0491547776046,1002.0,1028.0,1028.0,1024.0,-46.82460362358533,-69.2063492063492,-81.26984126984127,61.230158730158735,46.869551077588895,66.67056783949243,81.58730158730158,81.26984126984127,,,,,,,374.7080000000001,3503.425,-3128.717,3878.1330000000003,117,15.880855877085494,75.41957382613616,36.451065434659625,0.0,0.6788610220629833,35.77220441259664,204.0,1.0,export,78.64416368093532,-66.67923816707524,66.67923816707524,export,mostly_export
INTELEC,2023,Eleclink (INTELEC),FRANCE,1260,2023-01-01 00:00:00+00:00,2023-12-31 23:30:00+00:00,17518,17520,2,99.98858447488584,8759.0,13325,3816,377,76.06461924877269,21.78330859687179,2.15207215435552,import,437.7925562278799,578.0,-710.0,24.0,992.0,998.0,530.6097728051147,92.81721657723484,697.5776360225141,426.09329140461216,1014.0,1026.0,1026.0,998.0,34.74544097046667,45.87301587301587,-56.34920634920635,79.2063492063492,55.363304446231275,33.81692788925493,81.42857142857143,79.2063492063492,,,,,,,4647.611000000001,812.986,3834.625,5460.597000000001,644,52.934528226496944,61.6851238725882,4.018723598584313,0.0,2.437492864482247,1.5812307341020664,50.0,1.0,import,76.06461924877269,54.281310651900895,54.281310651900895,import,mostly_import
INTELEC,2024,Eleclink (INTELEC),FRANCE,1260,2024-01-01 00:00:00+00:00,2024-12-31 23:30:00+00:00,17568,17568,0,100.0,8784.0,12098,993,4477,68.86384335154827,5.652322404371585,25.483834244080146,import,590.6641621129326,944.0,-2.0,0.0,996.0,998.0,604.3128415300547,13.64867941712204,877.547363200529,241.47029204431018,1260.0,1024.0,1260.0,998.0,46.878108104201004,74.92063492063492,-0.15873015873015872,79.2063492063492,69.6466161270261,19.16430889240557,100.0,79.2063492063492,,,,,,,5308.284000000001,119.89000000000001,5188.394,5428.174,167,13.689303808276883,62.465846994535525,1.092896174863388,0.0,0.9904371584699454,0.10245901639344263,1498.5,1.0,import,68.86384335154827,63.21152094717668,63.21152094717668,import,mostly_import
INTELEC,2025,Eleclink (INTELEC),FRANCE,1260,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,17520,0,100.0,8760.0,13881,674,2965,79.22945205479452,3.8470319634703194,16.92351598173516,import,672.4077625570776,990.0,0.0,218.0,996.0,998.0,682.8909817351598,10.483219178082193,861.9155680426483,272.5014836795252,1102.0,1024.0,1102.0,998.0,53.36569544103791,78.57142857142857,0.0,79.2063492063492,68.40599746370223,21.627101879327398,87.46031746031746,79.2063492063492,,,,,,,5982.125,91.833,5890.292,6073.9580000000005,216,17.754438038700837,70.09703196347033,4.2408675799086755,0.0,4.166666666666666,0.07420091324200913,764.5,1.0,import,79.22945205479452,75.3824200913242,75.3824200913242,import,mostly_import
INTELEC,2026,Eleclink (INTELEC),FRANCE,1260,2026-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,8686,8686,0,100.0,4343.0,8436,214,36,97.12180520377619,2.4637347455675798,0.41446005065622843,import,840.5952106838591,996.0,112.5,846.0,998.0,998.0,847.8084273543633,7.213216670504259,872.9331436699857,292.77570093457945,1000.0,948.0,1000.0,998.0,66.71390560983009,79.04761904761905,8.928571428571429,79.2063492063492,69.28040822777665,23.236166740839643,79.36507936507937,79.2063492063492,,,,,,,3682.032,31.327000000000005,3650.705,3713.359,63,10.44559585492228,86.87543172921943,1.4506101772967994,0.0,1.4506101772967994,0.0,6.5,1.0,import,97.12180520377619,94.65807045820861,94.65807045820861,import,mostly_import
INTEW,2021,Ireland(East-West),IRELAND,588,2021-07-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,8819,8832,13,99.85280797101449,4409.5,2177,3686,2956,24.68533847374986,41.79612200929811,33.51853951695203,export,-57.09309445515365,0.0,-536.0,-162.0,0.0,450.0,55.91450277809275,113.0075972332464,226.50895728066146,270.3781877373847,504.0,536.0,536.0,536.0,-9.709709941352662,0.0,-91.15646258503402,76.53061224489795,38.52193151031658,45.982684989351135,91.15646258503402,91.15646258503402,,,,,,,246.555,498.307,-251.752,744.8620000000001,325,52.99513078926509,14.105907699285632,0.0,0.0,0.0,0.0,133.0,1.0,export,41.79612200929811,-17.11078353554825,17.11078353554825,export,mixed
INTEW,2022,Ireland(East-West),IRELAND,588,2022-01-01 00:00:00+00:00,2022-12-31 23:30:00+00:00,17503,17520,17,99.90296803652969,8751.5,7253,3577,6673,41.438610523910185,20.436496600582757,38.12489287550706,import,69.20642175627036,0.0,-354.0,0.0,198.0,504.0,113.06656001828259,43.86013826201223,272.85316420791395,214.61671792004472,504.0,586.0,586.0,504.0,11.769799618413323,0.0,-60.204081632653065,85.71428571428571,46.4035993550874,36.499441823136856,99.65986394557824,85.71428571428571,,,,,,,989.5020000000001,383.842,605.66,1373.344,611,50.22204463725098,11.3751928240873,0.0,0.0,0.0,0.0,1087.0,1.0,import,41.438610523910185,21.00211392332743,21.00211392332743,import,mixed
INTEW,2023,Ireland(East-West),IRELAND,588,2023-01-01 00:00:00+00:00,2023-12-31 23:30:00+00:00,17518,17520,2,99.98858447488584,8759.0,2493,11498,3527,14.231076606918597,65.6353465007421,20.13357689233931,export,-191.34946911747917,-142.0,-530.0,-486.0,0.0,238.0,27.308368535220914,218.65783765270007,191.89249899719215,333.1403722386502,504.0,532.0,532.0,530.0,-32.542426720659726,-24.149659863945576,-90.1360544217687,40.476190476190474,32.63477874101907,56.656525890926915,90.47619047619048,90.1360544217687,,,,,,,239.19400000000002,1915.2240000000004,-1676.0300000000002,2154.418,606,49.81106227524402,25.191231875784908,0.0,0.0,0.0,0.0,96.0,1.0,export,65.6353465007421,-51.4042698938235,51.4042698938235,export,mostly_export
INTEW,2024,Ireland(East-West),IRELAND,588,2024-01-01 00:00:00+00:00,2024-12-31 23:30:00+00:00,17568,17568,0,100.0,8784.0,1413,13648,2507,8.043032786885245,77.68670309653916,14.270264116575593,export,-305.6132741347905,-430.0,-532.0,-528.0,-30.0,94.0,15.5823087431694,321.1955828779599,193.7367303609342,413.44988276670574,504.0,532.0,532.0,532.0,-51.975046621563024,-73.12925170068027,-90.47619047619048,15.98639455782313,32.948423530771116,70.31460591270505,90.47619047619048,90.47619047619048,,,,,,,136.875,2821.382,-2684.5070000000005,2958.257,362,29.673820231115158,45.43488160291439,0.0,0.0,0.0,0.0,96.0,1.0,export,77.68670309653916,-69.64367030965391,69.64367030965391,export,mostly_export
INTEW,2025,Ireland(East-West),IRELAND,588,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,17520,0,100.0,8760.0,867,9627,7026,4.948630136986301,54.948630136986296,40.102739726027394,export,-192.41232876712328,-48.0,-532.0,-494.0,0.0,0.0,7.170091324200913,199.5824200913242,144.89042675893887,363.21637062428584,504.0,588.0,588.0,532.0,-32.72318516447675,-8.16326530612245,-90.47619047619048,0.0,24.641229040635864,61.771491602769714,100.0,90.47619047619048,,,,,,,62.81000000000002,1748.342,-1685.5320000000002,1811.152,254,20.87790398995376,24.64611872146119,0.0,0.0,0.0,0.0,624.0,1.0,export,54.948630136986296,-49.99999999999999,49.99999999999999,export,mostly_export
