aggregation_level,interconnectorId,interconnectorName,interconnectorBiddingZone,observations,duration_hours,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,mean_import_mw,mean_export_mw,median_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh,deadband_mw
fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Fleet,87646,43823.0,68494,19098,54,78.14846085388952,21.789927663555666,0.06161148255482281,import,2452.0959769983797,2930.3146977614497,478.2187207630696,2964.0,3749.6767892078137,2194.6778720284847,9230.0,7914.0,128415.18100000001,20956.979000000003,107458.20199999999,149372.16,1.0
interconnector,INTELEC,Eleclink (INTELEC),FRANCE,71898,35949.0,49009,14038,8851,68.16462210353556,19.524882472391443,12.310495424072993,import,429.36657486995466,556.1979470917132,126.8313722217586,742.0,815.9627823460997,649.5884029063969,1260.0,1028.0,19994.760000000002,4559.460999999999,15435.299,24554.221,1.0
interconnector,INTEW,Ireland(East-West),IRELAND,87614,43807.0,14774,46302,26538,16.862601867281484,52.84771840116876,30.28967973154975,export,-147.70146323646907,38.9127993243089,186.61426256077795,-20.0,230.76390957086775,353.1169711891495,504.0,588.0,1704.653,8175.011,-6470.358,9879.664,1.0
interconnector,INTFR,France(IFA),FRANCE,87614,43807.0,63643,20761,3210,72.64021731686718,23.695984659985847,3.6637980231469855,import,716.9456707832081,874.134864291095,157.18919350788687,996.0,1203.3758936568045,663.3579307355137,2630.0,2072.0,38293.226,6885.987000000001,31407.239,45179.213,1.0
interconnector,INTGRNL,Ireland (Greenlink),IRELAND,24814,12407.0,3487,20581,746,14.052550979285888,82.94108164745708,3.0063673732570324,export,-338.1699846860643,28.945353429515595,367.1153381155799,-512.0,205.9793518784055,442.6218356736796,506.0,518.0,359.125,4554.800000000001,-4195.675000000001,4913.925000000001,1.0
interconnector,INTIFA2,IFA2 (INTIFA2),FRANCE,87614,43807.0,54107,33440,67,61.75611203688908,38.16741616636611,0.07647179674481247,import,328.42653000661994,485.4746045152601,157.04807450864018,504.0,786.1158814940766,411.47159090909093,1398.0,1626.0,21267.186,6879.805,14387.381,28146.991,1.0
interconnector,INTIRL,Northern Ireland(Moyle),IRELAND,87614,43807.0,21488,60867,5259,24.525760723172098,69.47177391741046,6.002465359417445,export,-181.93254502705048,53.157486246490286,235.09003127354075,-272.0,216.7414370811616,338.39647099413475,682.0,592.0,2328.67,10298.589,-7969.919,12627.259,1.0
interconnector,INTNED,Netherlands(BritNed),NETHERLANDS,87614,43807.0,51894,27494,8226,59.230260004108935,31.38082954778917,9.388910448101901,import,233.29244184719337,440.26354235624444,206.97110050905107,336.0,743.3084749682045,659.5463010111297,1402.0,1094.0,19286.625,9066.783000000001,10219.842,28353.408000000003,1.0
interconnector,INTNEM,Belgium (Nemolink),BELGIUM,87614,43807.0,60216,25285,2113,68.72874198187505,28.85954299541169,2.411715022713265,import,326.3672244161892,489.52055607551307,163.15333165932384,514.0,712.2501328550551,565.3358117460946,1366.0,1044.0,21444.427000000003,7147.258000000001,14297.168999999998,28591.685,1.0
interconnector,INTNSL,North Sea Link (INTNSL),NORWAY2,83152,41576.0,68260,12997,1895,82.09062920915913,15.63041177602463,2.27895901481624,import,798.1884019626708,898.1087646719261,99.92036270925534,1096.0,1094.0454145912686,639.2689082095868,1846.0,1454.0,37339.77,4154.289,33185.481,41494.059,1.0
interconnector,INTVKL,Denmark (Viking link),DENMARK1,43870,21935.0,26921,13868,3081,61.365397766127195,31.61157966719854,7.023022566674266,import,326.4984271711876,548.462183724641,221.96375655345338,478.0,893.7645704097173,702.1596481107586,2480.0,1456.0,12030.518,4868.775,7161.743,16899.293,1.0
