interconnectorId,day_of_week,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw,mean_export_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,mean_active_capacity_mw,mean_signed_pct_active_capacity,mean_import_pct_active_capacity_when_importing,mean_export_pct_active_capacity_when_exporting,mean_available_interconnector_count,mean_missing_interconnector_count,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw,primary_state,primary_state_share_pct,import_export_margin_pct,abs_import_export_margin_pct,direction_bias,mostly_direction,day_name
INTELEC,0,Eleclink (INTELEC),FRANCE,1260,2022-05-30 00:00:00+00:00,2026-06-29 23:30:00+00:00,10271,71616,61345,14.341767202859696,5135.5,6983,1912,1376,67.98753772758252,18.6155194236199,13.396942848797586,import,428.98490896699445,700.0,-1013.0,0.0,996.0,998.0,546.2798169603739,117.29490799337941,803.4999283975369,630.092050209205,1002.0,1026.0,1026.0,1013.0,34.04642134658687,55.55555555555556,-80.39682539682539,79.2063492063492,63.7698355871061,50.007305572159126,81.42857142857143,80.39682539682539,,,,,,,2805.42,602.368,2203.052,3407.788,213,4.282901626754171,66.50764287800604,8.168630123649109,0.0,2.940317398500633,5.228312725148476,336.0,1.0,import,67.98753772758252,49.37201830396262,49.37201830396262,import,mostly_import,Monday
INTELEC,1,Eleclink (INTELEC),FRANCE,1260,2022-05-24 23:00:00+00:00,2026-06-30 22:30:00+00:00,10272,71904,61632,14.285714285714285,5136.0,6826,2191,1255,66.452492211838,21.32982866043614,12.217679127725857,import,397.9589174454829,666.0,-1022.0,0.0,996.0,998.0,535.4236760124611,137.4647585669782,805.7239964840317,644.4719306252853,1260.0,1028.0,1260.0,1022.0,31.58404106710181,52.85714285714286,-81.11111111111111,79.2063492063492,63.94634892730409,51.14856592264169,100.0,81.11111111111111,,,,,,,2749.9359999999997,706.019,2043.9169999999997,3455.955,201,4.025423139507391,68.33138629283489,7.992601246105919,0.0,1.8399532710280373,6.1526479750778815,332.5,1.0,import,66.452492211838,45.12266355140187,45.12266355140187,import,mostly_import,Tuesday
INTELEC,2,Eleclink (INTELEC),FRANCE,1260,2022-05-25 00:00:00+00:00,2026-06-24 23:30:00+00:00,10272,71616,61344,14.343163538873997,5136.0,6698,2319,1255,65.20638629283489,22.575934579439252,12.217679127725857,import,363.79770249221184,600.0,-1022.0,0.0,996.0,998.0,520.3368380062306,156.53913551401868,797.9844729770081,693.3893919793014,1002.0,1026.0,1026.0,1022.0,28.872833531127924,47.61904761904761,-81.11111111111111,79.2063492063492,63.33210102992127,55.03090412534138,81.42857142857143,81.11111111111111,,,,,,,2672.4500000000003,803.985,1868.4650000000001,3476.4350000000004,217,4.363331704251903,68.0101246105919,9.686526479750778,0.0,1.6452492211838003,8.041277258566979,322.5,1.0,import,65.20638629283489,42.630451713395644,42.630451713395644,import,mostly_import,Wednesday
INTELEC,3,Eleclink (INTELEC),FRANCE,1260,2022-05-26 00:00:00+00:00,2026-06-25 23:30:00+00:00,10272,71616,61344,14.343163538873997,5136.0,6783,2352,1137,66.0338785046729,22.897196261682243,11.06892523364486,import,378.6131230529595,671.0,-1022.0,0.0,996.0,998.0,535.7418224299065,157.12869937694705,811.313578062804,686.2355442176871,1102.0,1026.0,1102.0,1022.0,30.048660559758687,53.25396825396825,-81.11111111111111,79.2063492063492,64.38996651292095,54.46313842997517,87.46031746031746,81.11111111111111,,,,,,,2751.5699999999997,807.013,1944.5569999999998,3558.5829999999996,226,4.544299378621798,70.05451713395638,9.628115264797508,0.0,1.9373052959501555,7.690809968847352,459.5,1.0,import,66.0338785046729,43.13668224299066,43.13668224299066,import,mostly_import,Thursday
INTELEC,4,Eleclink (INTELEC),FRANCE,1260,2022-05-27 00:00:00+00:00,2026-06-26 23:30:00+00:00,10270,71616,61346,14.340370866845397,5135.0,6991,2112,1167,68.07205452775072,20.564751703992208,11.36319376825706,import,413.0769230769231,732.0,-1022.0,0.0,996.0,998.0,553.2603700097371,140.183446932814,812.7569732513231,681.6685606060606,1014.0,1026.0,1026.0,1022.0,32.78388278388279,58.0952380952381,-81.11111111111111,79.2063492063492,64.50452168661295,54.10067941317941,81.42857142857143,81.11111111111111,,,,,,,2840.992,719.8419999999999,2121.15,3560.8340000000003,207,4.162256510507575,70.24342745861733,8.169425511197662,0.0,1.7721518987341773,6.397273612463486,456.0,1.0,import,68.07205452775072,47.507302823758515,47.507302823758515,import,mostly_import,Friday
INTELEC,5,Eleclink (INTELEC),FRANCE,1260,2022-05-28 00:00:00+00:00,2026-06-27 23:30:00+00:00,10269,71616,61347,14.3389745308311,5134.5,7245,1686,1338,70.5521472392638,16.418346479696172,13.029506281040023,import,486.81585353977994,860.0,-908.0,0.0,996.0,998.0,589.1806407634629,102.36478722368292,835.0995169082125,623.4780545670226,1000.0,1026.0,1026.0,1000.0,38.63617885236348,68.25396825396825,-72.06349206349206,79.2063492063492,66.27773943715972,49.482385283097024,81.42857142857143,79.36507936507937,,,,,,,3025.148,525.5920000000001,2499.5560000000005,3550.7400000000007,169,3.3981707742791314,69.97760249293992,5.2780212289414745,0.0,1.5970396338494497,3.6809815950920246,332.5,1.0,import,70.5521472392638,54.133800759567634,54.133800759567634,import,mostly_import,Saturday
INTELEC,6,Eleclink (INTELEC),FRANCE,1260,2022-05-29 00:00:00+00:00,2026-06-28 23:30:00+00:00,10272,71616,61344,14.343163538873997,5136.0,7483,1466,1323,72.84852024922118,14.271806853582556,12.879672897196262,import,536.3321651090342,906.0,-804.8999999999999,0.0,996.0,998.0,613.1705607476636,76.83839563862928,841.7062675397568,538.3929058663028,1002.0,1026.0,1026.0,1000.0,42.56604484992335,71.9047619047619,-63.880952380952365,79.2063492063492,66.80208472537751,42.72959570367483,81.42857142857143,79.36507936507937,,,,,,,3149.2439999999997,394.642,2754.602,3543.886,178,3.579138448649026,69.84034267912772,5.899532710280374,0.0,3.1542056074766354,2.7453271028037385,312.0,1.0,import,72.84852024922118,58.57671339563863,58.57671339563863,import,mostly_import,Sunday
INTEW,0,Ireland(East-West),IRELAND,588,2021-07-05 00:00:00+00:00,2026-06-29 23:30:00+00:00,12524,87408,74884,14.328207944352918,6262.0,2084,6803,3637,16.64005110188438,54.319706164164806,29.040242733950816,export,-150.66544235068667,-34.0,-532.0,-438.0,0.0,341.6999999999971,37.78265729798786,188.44809964867454,227.05854126679463,346.9240041158312,504.0,536.0,536.0,532.0,-25.62337454943651,-5.782312925170068,-90.47619047619048,58.11224489795869,38.615398174624936,59.00068097208015,91.15646258503402,90.47619047619048,,,,,,,236.595,1180.062,-943.4670000000002,1416.6570000000002,373,6.145045591314196,23.61066751836474,0.0,0.0,0.0,0.0,183.0,1.0,export,54.319706164164806,-37.679655062280425,37.679655062280425,export,mostly_export,Monday
INTEW,1,Ireland(East-West),IRELAND,588,2021-07-06 00:00:00+00:00,2026-06-30 22:30:00+00:00,12519,87406,74887,14.322815367366085,6259.5,2182,6701,3636,17.429507149133315,53.52663950794791,29.043853342918762,export,-149.24307053279017,-26.0,-532.0,-482.0,0.0,376.0,41.92012141544852,191.16319194823868,240.51237396883593,357.1365467840621,504.0,588.0,588.0,532.0,-25.381474580406493,-4.421768707482993,-90.47619047619048,63.94557823129252,40.903464960686385,60.73750795647314,100.0,90.47619047619048,,,,,,,262.399,1196.586,-934.187,1458.9850000000001,380,6.260511412390596,27.006949436855983,0.0,0.0,0.0,0.0,192.0,1.0,export,53.52663950794791,-36.0971323588146,36.0971323588146,export,mostly_export,Tuesday
INTEW,2,Ireland(East-West),IRELAND,588,2021-07-07 00:00:00+00:00,2026-06-24 23:30:00+00:00,12477,87072,74595,14.329520396912901,6238.5,2301,6389,3787,18.441933157008897,51.20621944377655,30.351847399214556,export,-136.17632443696402,-10.0,-532.0,-420.0,0.0,358.0,42.14073895968582,178.31706339664984,228.50499782703173,348.23321333542026,504.0,586.0,586.0,532.0,-23.15923884982381,-1.7006802721088436,-90.47619047619048,60.8843537414966,38.8613941882707,59.22333560126195,99.65986394557824,90.47619047619048,,,,,,,262.895,1112.431,-849.5360000000001,1375.326,378,6.251449966119603,23.683577783120942,0.0,0.0,0.0,0.0,176.0,1.0,export,51.20621944377655,-32.76428628676765,32.76428628676765,export,mostly_export,Wednesday
