interconnectorId,interconnectorName,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,import_gwh,export_gwh,net_gwh
INTELEC,Eleclink (INTELEC),68.16462210353556,19.524882472391443,12.310495424072993,import,429.36657486995466,742.0,19994.760000000002,4559.460999999999,15435.299
INTEW,Ireland(East-West),16.862601867281484,52.84771840116876,30.28967973154975,export,-147.70146323646907,-20.0,1704.653,8175.011,-6470.358
INTFR,France(IFA),72.64021731686718,23.695984659985847,3.6637980231469855,import,716.9456707832081,996.0,38293.226,6885.987000000001,31407.239
INTGRNL,Ireland (Greenlink),14.052550979285888,82.94108164745708,3.0063673732570324,export,-338.1699846860643,-512.0,359.125,4554.800000000001,-4195.675000000001
INTIFA2,IFA2 (INTIFA2),61.75611203688908,38.16741616636611,0.07647179674481247,import,328.42653000661994,504.0,21267.186,6879.805,14387.381
INTIRL,Northern Ireland(Moyle),24.525760723172098,69.47177391741046,6.002465359417445,export,-181.93254502705048,-272.0,2328.67,10298.589,-7969.919
INTNED,Netherlands(BritNed),59.230260004108935,31.38082954778917,9.388910448101901,import,233.29244184719337,336.0,19286.625,9066.783000000001,10219.842
INTNEM,Belgium (Nemolink),68.72874198187505,28.85954299541169,2.411715022713265,import,326.3672244161892,514.0,21444.427000000003,7147.258000000001,14297.168999999998
INTNSL,North Sea Link (INTNSL),82.09062920915913,15.63041177602463,2.27895901481624,import,798.1884019626708,1096.0,37339.77,4154.289,33185.481
INTVKL,Denmark (Viking link),61.365397766127195,31.61157966719854,7.023022566674266,import,326.4984271711876,478.0,12030.518,4868.775,7161.743
