interconnectorId,interconnectorName,season,settlementPeriod,hour_utc,observations,mean_signed_mw,p10_signed_mw,median_signed_mw,p90_signed_mw,import_share_pct,export_share_pct
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,1,0.0,455,1334.3692307692309,-3630.7999999999997,1868.0,5168.400000000001,67.91208791208791,32.08791208791209
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,2,0.5,455,1377.2747252747254,-3569.6,1950.0,5202.000000000002,67.6923076923077,32.30769230769231
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,3,1.0,455,1298.123076923077,-3637.1999999999994,1762.0,5060.400000000001,65.93406593406593,34.065934065934066
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,4,1.5,455,1254.7384615384615,-3680.3999999999996,1734.0,5055.200000000001,66.15384615384615,33.84615384615385
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,5,2.0,455,1054.6989010989012,-3855.6,1564.0,4944.400000000001,65.27472527472527,34.72527472527472
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,6,2.5,455,1020.0615384615385,-3961.9999999999995,1532.0,4949.6,64.83516483516483,35.16483516483517
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,7,3.0,455,692.5318681318681,-4117.599999999999,1162.0,4489.6,60.43956043956044,39.56043956043956
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,8,3.5,455,658.5054945054945,-4212.4,1084.0,4416.8,60.0,40.0
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,9,4.0,455,248.72087912087912,-4209.2,574.0,4064.0000000000005,56.48351648351648,43.51648351648352
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,10,4.5,455,258.63296703296703,-4259.2,606.0,4030.8,56.92307692307692,43.07692307692308
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,11,5.0,455,172.6989010989011,-4025.5999999999995,424.0,3732.4,56.26373626373626,43.73626373626374
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,12,5.5,455,185.36703296703297,-4046.7999999999993,456.0,3666.8,55.824175824175825,44.175824175824175
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,13,6.0,455,711.5956043956044,-3409.9999999999995,996.0,4075.2000000000007,63.29670329670329,36.7032967032967
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,14,6.5,455,735.4945054945055,-3316.3999999999996,1030.0,4082.4,63.29670329670329,36.48351648351648
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,15,7.0,455,1634.8967032967032,-2675.6,2128.0,4844.000000000002,72.74725274725274,27.252747252747252
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,16,7.5,455,1677.7582417582419,-2709.6,2194.0,4944.800000000001,74.28571428571429,25.71428571428571
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,17,8.0,455,2354.408791208791,-1790.8,3058.0,5332.400000000001,81.75824175824175,18.24175824175824
