interconnectorId,interconnectorName,calendar_month,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2021-07,1488,744.0,100.0,0.0,0.0,3643.8131720430106,3722.0,2743.4,3365.0,3958.0,4355.199999999999,3643.8131720430106,,5040.0,0.0,2710.997,0.0,2710.997,2710.997
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2021-08,1488,744.0,98.99193548387096,1.0080645161290323,0.0,3918.3723118279568,4054.0,2241.6000000000004,3565.0,4520.0,4975.9,3960.798370672098,247.86666666666667,5690.0,738.0,2917.1279999999997,1.859,2915.2690000000002,2918.987
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2021-09,1440,720.0,97.56944444444444,2.430555555555556,0.0,2777.0319444444444,2913.0,533.9,1986.0,3809.0,4442.299999999999,2861.0035587188613,593.8285714285714,5020.0,1404.0,2009.855,10.392000000000001,1999.4630000000002,2020.2469999999998
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2021-10,1488,744.0,92.8763440860215,6.922043010752688,0.20161290322580644,2524.9986559139784,2904.0,-377.9,1929.5,3480.5,4025.2999999999997,2779.095513748191,810.7961165048544,4868.0,2428.0,1920.355,41.756,1878.5990000000002,1962.1109999999999
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2021-11,1440,720.0,84.23611111111111,15.48611111111111,0.2777777777777778,1587.7569444444443,1455.0,-1017.0999999999999,520.0,2782.5,4152.1,2033.2366034624897,806.932735426009,4950.0,2296.0,1233.158,89.973,1143.185,1323.1309999999999
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2021-12,1488,744.0,85.5510752688172,13.978494623655912,0.47043010752688175,2122.7970430107525,2141.0,-1316.2999999999997,789.0,3696.0,4871.299999999999,2652.116260801257,1045.298076923077,5670.0,3306.0,1688.0720000000001,108.71100000000001,1579.3609999999999,1796.783
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-01,1488,744.0,83.87096774193549,15.725806451612904,0.4032258064516129,2016.6787634408602,2065.0,-2009.3,618.0,3796.0,4969.299999999999,2677.543269230769,1456.2222222222222,5550.0,3764.0,1670.787,170.378,1500.409,1841.165
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-02,1344,672.0,94.49404761904762,5.059523809523809,0.4464285714285714,2899.8541666666665,3060.0,-1.6999999999999886,1737.0,4272.5,5316.499999999999,3109.0740157480313,751.7647058823529,5908.0,2182.0,1974.2620000000002,25.56,1948.7019999999998,1999.8220000000001
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-03,1488,744.0,92.06989247311827,7.795698924731183,0.13440860215053765,2345.0954301075267,2369.0,-407.7999999999999,1390.0,3660.5,4429.9,2608.7912408759125,728.8103448275862,5138.0,3770.0,1787.022,42.271,1744.7510000000002,1829.2930000000001
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-04,1440,720.0,54.09722222222222,45.625,0.2777777777777778,-79.10833333333333,179.0,-4098.6,-1445.5,1382.0,3268.2,1536.5673940949937,1995.2846270928462,5160.0,5148.0,598.4929999999999,655.451,-56.95800000000003,1253.944
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-05,1488,744.0,13.104838709677418,86.89516129032258,0.0,-2444.4086021505377,-2923.0,-4805.9,-4021.5,-1238.0,1726.5999999999995,1495.9897435897435,3038.6682134570765,4796.0,5676.0,145.859,1964.499,-1818.6399999999999,2110.358
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-06,1440,720.0,10.208333333333334,89.72222222222223,0.06944444444444445,-2467.123611111111,-2601.0,-5056.2,-3999.5,-1196.0,946.3999999999996,1064.5034013605443,2870.8513931888547,3126.0,5910.0,78.241,1854.5700000000002,-1776.3290000000002,1932.811
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-07,1488,744.0,13.239247311827956,86.49193548387096,0.2688172043010753,-1991.3266129032259,-1984.0,-5026.799999999999,-3400.5,-635.0,984.5999999999995,1010.1319796954315,2456.946386946387,4288.0,6314.0,99.498,1581.045,-1481.547,1680.5430000000001
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-08,1488,744.0,32.93010752688172,67.06989247311827,0.0,-1279.143817204301,-1282.0,-5158.0,-3458.0,642.5,3465.899999999999,1704.2,2743.9118236472946,5462.0,6330.0,417.529,1369.212,-951.683,1786.741
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2022-09,1440,720.0,9.444444444444445,90.48611111111111,0.06944444444444445,-2986.463888888889,-3383.0,-5714.2,-4490.5,-1853.5,1062.2999999999997,1673.7205882352941,3475.160399079048,4766.0,6360.0,113.81300000000002,2264.067,-2150.254,2377.88
