interconnectorId,interconnectorName,trend_label,first_rolling_date,last_rolling_date,duration_years,calendar_years_touched,start_90d_rolling30_mean_signed_mw,end_90d_rolling30_mean_signed_mw,delta_rolling30_mean_signed_mw,delta_rolling30_mean_import_mw,delta_rolling30_mean_export_mw,delta_rolling30_import_share_pct,delta_rolling30_export_share_pct,slope_rolling30_mean_signed_mw_per_year,r2_rolling30_mean_signed_mw,delta_rolling30_mean_signed_pct_active_capacity
INTELEC,Eleclink (INTELEC),more_importing,2022-05-24 00:00:00+00:00,2026-06-30 00:00:00+00:00,4.101300479123887,5,-634.7440536047428,903.7464425657541,1538.490496170497,899.7871302540974,-638.7033659163995,95.78048567696976,-79.05058452295391,301.9335894384246,0.46461394044434723,
INTEW,Ireland(East-West),no_clear_pattern,2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,4.996577686516085,6,-168.78536722757192,-148.44184447128285,20.343522756289076,-10.605061903807343,-30.94858466009643,-5.106455149843484,-17.273365092901045,-57.1214035103884,0.3080519725590618,
INTFR,France(IFA),mixed_or_step_change,2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,4.996577686516085,6,1515.117133690386,1182.543727858293,-332.57340583209293,-325.05018052345076,7.523225308641976,7.7792684026168075,2.355761388416699,284.703966935824,0.34930793346902844,
INTGRNL,Ireland (Greenlink),more_exporting,2025-01-30 00:00:00+00:00,2026-06-30 00:00:00+00:00,1.4127310061601643,2,-302.119219922319,-356.7418518518519,-54.62263192953287,-33.49688005190488,21.12575187762792,-4.031840891086215,4.223722026068884,-0.5340466578961066,1.6432454388537465e-05,
INTIFA2,IFA2 (INTIFA2),no_clear_pattern,2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,4.996577686516085,6,806.6096216270519,791.618935856146,-14.990685770905884,-11.797834868432574,3.1928509024733733,-10.742420761494344,10.811865205938789,183.84562088686258,0.27276747123358325,
INTIRL,Northern Ireland(Moyle),more_exporting,2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,4.996577686516085,6,-207.46780344728617,-262.11445048309173,-54.64664703580556,-20.405724761097048,34.240922274708595,-7.724752643848348,3.614575335779179,-61.182720469996255,0.4040611416422466,
INTNED,Netherlands(BritNed),more_exporting,2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,4.996577686516085,6,801.0247108005128,202.434001610306,-598.5907091902068,-361.3966445095843,237.19406468062266,-38.277174704373344,32.86173247308505,-104.45115658541894,0.21699636006596212,
INTNEM,Belgium (Nemolink),more_exporting,2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,4.996577686516085,6,850.4093239385575,386.1963117283952,-464.2130122101623,-307.27887748026126,156.93413472990105,-24.21497011010662,26.200305323623333,-27.033612936164612,0.01609602610525651,
INTNSL,North Sea Link (INTNSL),no_clear_pattern,2021-10-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,4.744695414099931,6,631.0121510312231,649.5497524154589,18.537601384235813,205.44412526988208,186.90652388564632,-19.46540131754088,19.70873400005656,85.60643179259121,0.07108816538132401,
INTVKL,Denmark (Viking link),more_exporting,2023-12-30 00:00:00+00:00,2026-06-30 00:00:00+00:00,2.4996577686516086,4,528.074547129678,273.8478408480945,-254.22670628158346,-91.60711108938096,162.61959519220252,-20.593605439970794,13.186291474466938,-109.12382419052433,0.14279916899100153,
