interconnectorId,interconnectorName,month,month_name,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTEW,Ireland(East-West),1,Jan,7434,3717.0,22.558514931396285,54.51977401129944,22.92171105730428,-142.91955878396556,-30.0,-532.0,-482.0,0.0,388.0,213.5026833631485,350.48309893905747,504.0,532.0,179.022,710.2539999999999,-531.2320000000001,889.2760000000001
INTEW,Ireland(East-West),2,Feb,6764,3382.0,25.02956830277942,45.269071555292726,29.70136014192785,-88.39739798935541,0.0,-532.0,-344.5,2.0,504.0,256.5883047844064,337.14043109079034,504.0,532.0,217.20200000000003,516.162,-298.96,733.364
INTEW,Ireland(East-West),3,Mar,7438,3719.0,12.342027426727615,49.717666039257864,37.94030653401452,-146.0575423500941,0.0,-532.0,-396.0,0.0,204.0,199.60566448801742,343.3244997295836,504.0,588.0,91.61900000000001,634.807,-543.188,726.426
INTEW,Ireland(East-West),4,Apr,7199,3599.5,5.334074176969024,33.79636060563968,60.86956521739131,-119.13154604806223,0.0,-532.0,-234.0,0.0,10.0,162.78125,378.18988902589393,504.0,532.0,31.254000000000005,460.06800000000004,-428.8140000000001,491.3220000000001
INTEW,Ireland(East-West),5,May,7440,3720.0,7.916666666666666,51.37096774193548,40.71236559139785,-174.8736559139785,-14.0,-528.0,-458.0,0.0,104.0,219.60611205432937,374.2564102564103,504.0,586.0,64.674,715.2040000000001,-650.5300000000001,779.878
INTEW,Ireland(East-West),6,Jun,7198,3599.0,12.725757154765214,64.50402889691581,22.770213948318975,-208.78160600166714,-185.0,-532.0,-528.0,0.0,252.0,219.83842794759826,367.0432909756623,504.0,532.0,100.686,852.0910000000001,-751.4050000000001,952.777
INTEW,Ireland(East-West),7,Jul,7436,3718.0,14.160839160839162,66.01667563206026,19.82248520710059,-202.6554599246907,-192.0,-536.0,-528.0,0.0,348.5,264.69895536562206,363.7551436137706,504.0,536.0,139.364,892.837,-753.4730000000001,1032.201
INTEW,Ireland(East-West),8,Aug,7440,3720.0,19.274193548387096,54.986559139784944,25.739247311827956,-153.45672043010754,-52.0,-528.0,-472.0,0.0,354.0,226.60529986052998,358.5113664140797,504.0,536.0,162.476,733.335,-570.859,895.8110000000001
INTEW,Ireland(East-West),9,Sep,7199,3599.5,15.849423531045979,55.38269204056119,28.767884428392833,-152.77232949020697,-42.0,-530.0,-412.0,0.0,248.1999999999989,188.7905346187555,329.8765989465764,504.0,532.0,107.70500000000001,657.6089999999999,-549.9040000000001,765.3140000000001
INTEW,Ireland(East-West),10,Oct,7437,3718.5,19.72569584509883,59.12330240688449,21.151001748016675,-167.6573887320156,-88.0,-530.0,-510.0,0.0,384.0,232.9134287661895,361.28087332272,504.0,532.0,170.842,794.2760000000001,-623.4340000000001,965.1179999999999
INTEW,Ireland(East-West),11,Nov,7196,3598.0,22.609783212896055,52.876598110061146,24.5136186770428,-130.6425792106726,-18.0,-532.0,-464.5,0.0,482.0,249.69883220651505,353.8407358738502,504.0,542.0,203.13000000000002,673.182,-470.052,876.312
INTEW,Ireland(East-West),12,Dec,7433,3716.5,25.225346428090944,45.768868559128215,29.005785012780844,-80.31938651957486,0.0,-532.0,-292.0,2.0,484.0,252.4576,314.6302175191064,504.0,532.0,236.679,535.186,-298.50700000000006,771.8650000000001
