interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_import_share_pct,mean_export_share_pct
INTEW,Ireland(East-West),1,35,-192.99166666666665,-474.6166666666667,-414.27083333333337,-207.16666666666666,14.0,159.0500000000001,20.773809523809522,64.3452380952381
INTEW,Ireland(East-West),2,35,-175.60782674772037,-493.6833333333333,-399.79166666666663,-111.20833333333333,6.125,68.89397163120576,20.09371833839919,59.72011144883485
INTEW,Ireland(East-West),3,35,-100.48449510300574,-385.7333333333333,-331.33333333333337,-49.041666666666664,60.333333333333336,131.84166666666673,26.494089834515364,45.55378250591016
INTEW,Ireland(East-West),4,35,-103.53571428571429,-360.425,-270.70833333333337,-73.75,22.3125,150.02500000000015,22.440476190476193,50.17857142857143
INTEW,Ireland(East-West),5,35,-96.97284701114488,-411.72499999999997,-243.91666666666666,-79.0,23.979166666666664,200.0083333333335,26.060030395136778,44.65425531914893
INTEW,Ireland(East-West),6,35,-120.91106889564337,-471.8333333333333,-342.85416666666663,-36.625,58.625,124.00000000000004,22.467071935157044,47.52532928064843
INTEW,Ireland(East-West),7,35,-68.00460992907801,-355.64166666666665,-270.8541666666667,-65.95833333333333,110.85416666666666,225.33333333333334,30.20390070921986,44.901215805471125
INTEW,Ireland(East-West),8,35,-35.85119047619048,-292.06666666666666,-161.6875,-7.208333333333333,75.20833333333334,176.15000000000003,29.464285714285715,38.095238095238095
INTEW,Ireland(East-West),9,35,-211.00845997973659,-456.2166666666667,-311.8125,-198.16666666666666,-82.10416666666666,-20.44999999999999,6.313323201621074,62.95972644376899
INTEW,Ireland(East-West),10,35,-97.58282674772038,-346.60833333333335,-233.89583333333331,-50.541666666666664,31.770833333333336,113.24166666666673,23.376393110435664,44.16793313069908
INTEW,Ireland(East-West),11,35,-155.14880952380952,-396.22499999999997,-296.27083333333337,-84.08333333333333,0.0,18.04166666666668,12.023809523809524,48.333333333333336
INTEW,Ireland(East-West),12,35,-130.92857142857142,-379.93333333333334,-227.41666666666669,-85.41666666666667,0.0,4.15000000000001,9.404761904761903,44.52380952380952
INTEW,Ireland(East-West),13,35,-154.3595238095238,-374.89166666666665,-279.1458333333333,-106.41666666666667,0.0,0.0,6.845238095238096,49.642857142857146
INTEW,Ireland(East-West),14,35,-138.22261904761905,-354.5083333333333,-268.3958333333333,-131.66666666666666,0.0,71.36666666666673,12.023809523809524,46.19047619047619
