interconnectorId,interconnectorName,date,observations,mean_signed_mw,mean_import_mw,mean_export_mw,median_signed_mw,p10_signed_mw,p90_signed_mw,mean_active_capacity_mw,mean_signed_pct_active_capacity,mean_import_pct_active_capacity,mean_export_pct_active_capacity,mean_available_interconnector_count,rolling_7d_mean_signed_mw,rolling_30d_mean_signed_mw,rolling_90d_mean_signed_mw,rolling_30d_mean_import_mw,rolling_30d_mean_export_mw,rolling_30d_mean_active_capacity_mw,rolling_30d_mean_signed_pct_active_capacity,rolling_30d_mean_import_pct_active_capacity,rolling_30d_mean_export_pct_active_capacity,rolling_30d_mean_available_interconnector_count,import_share_pct,export_share_pct,near_zero_share_pct,rolling_7d_import_share_pct,rolling_30d_import_share_pct,rolling_90d_import_share_pct,rolling_7d_export_share_pct,rolling_30d_export_share_pct,rolling_90d_export_share_pct,import_gwh,export_gwh,net_gwh,rolling_7d_import_gwh,rolling_30d_import_gwh,rolling_90d_import_gwh,rolling_7d_export_gwh,rolling_30d_export_gwh,rolling_90d_export_gwh,rolling_7d_net_gwh,rolling_30d_net_gwh,rolling_90d_net_gwh
INTFR,France(IFA),2021-07-01 00:00:00+00:00,48,1800.5833333333333,1800.5833333333333,0.0,1805.0,1606.0,2004.0,,,,,,,,,,,,,,,,100.0,0.0,0.0,,,,,,,43.214,0.0,43.214,,,,,,,,,
INTFR,France(IFA),2021-07-02 00:00:00+00:00,48,1925.625,1925.625,0.0,2002.0,1706.0,2002.0,,,,,,,,,,,,,,,,100.0,0.0,0.0,,,,,,,46.215,0.0,46.215,,,,,,,,,
INTFR,France(IFA),2021-07-03 00:00:00+00:00,48,1759.4583333333333,1759.4583333333333,0.0,1804.0,1508.0,2004.0,,,,,,1828.5555555555554,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,42.227000000000004,0.0,42.227000000000004,131.656,,,0.0,,,131.656,,
INTFR,France(IFA),2021-07-04 00:00:00+00:00,48,1743.0,1743.0,0.0,1880.0,1408.0,2004.0,,,,,,1807.1666666666665,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,41.832,0.0,41.832,173.488,,,0.0,,,173.488,,
INTFR,France(IFA),2021-07-05 00:00:00+00:00,48,1711.9166666666667,1711.9166666666667,0.0,1967.0,1058.0,2004.0,,,,,,1788.1166666666668,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,41.086,0.0,41.086,214.574,,,0.0,,,214.574,,
INTFR,France(IFA),2021-07-06 00:00:00+00:00,48,1595.0,1595.0,0.0,1463.0,1366.0,1997.2,,,,,,1755.9305555555557,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,38.28,0.0,38.28,252.854,,,0.0,,,252.854,,
INTFR,France(IFA),2021-07-07 00:00:00+00:00,48,1748.0416666666667,1748.0416666666667,0.0,1925.0,1368.0,2004.0,,,,,,1754.8035714285713,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,41.953,0.0,41.953,294.807,,,0.0,,,294.807,,
INTFR,France(IFA),2021-07-08 00:00:00+00:00,48,1866.8333333333333,1866.8333333333333,0.0,2002.0,1574.4,2004.0,,,,,,1764.267857142857,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,44.804,0.0,44.804,296.397,,,0.0,,,296.397,,
INTFR,France(IFA),2021-07-09 00:00:00+00:00,48,1875.5,1875.5,0.0,2004.0,1688.8,2004.0,,,,,,1757.107142857143,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,45.012,0.0,45.012,295.194,,,0.0,,,295.194,,
INTFR,France(IFA),2021-07-10 00:00:00+00:00,48,1855.5833333333333,1855.5833333333333,0.0,1856.0,1706.0,2004.0,,,,,,1770.8392857142858,1788.1541666666667,,1788.1541666666667,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,44.534,0.0,44.534,297.501,429.15700000000004,,0.0,0.0,,297.501,429.15700000000004,
INTFR,France(IFA),2021-07-11 00:00:00+00:00,48,1739.4166666666667,1739.4166666666667,0.0,1765.0,1508.0,2004.0,,,,,,1770.3273809523812,1783.7234848484848,,1783.7234848484848,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,41.746,0.0,41.746,297.415,470.903,,0.0,0.0,,297.415,470.903,
INTFR,France(IFA),2021-07-12 00:00:00+00:00,48,1890.6666666666667,1890.6666666666667,0.0,2004.0,1608.0,2004.0,,,,,,1795.8630952380952,1792.6354166666667,,1792.6354166666667,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,45.376,0.0,45.376,301.705,516.279,,0.0,0.0,,301.705,516.279,
INTFR,France(IFA),2021-07-13 00:00:00+00:00,48,1873.4583333333333,1873.4583333333333,0.0,2003.0,1614.0,2004.0,,,,,,1835.642857142857,1798.852564102564,,1798.852564102564,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,44.963,0.0,44.963,308.38800000000003,561.242,,0.0,0.0,,308.38800000000003,561.242,
INTFR,France(IFA),2021-07-14 00:00:00+00:00,48,1814.9583333333333,1814.9583333333333,0.0,1942.0,1506.0,2004.0,,,,,,1845.202380952381,1800.0029761904764,,1800.0029761904764,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,43.559,0.0,43.559,309.99399999999997,604.801,,0.0,0.0,,309.99399999999997,604.801,
INTFR,France(IFA),2021-07-15 00:00:00+00:00,48,1730.0,1730.0,0.0,1793.0,1370.0,2004.0,,,,,,1825.6547619047617,1795.3361111111112,,1795.3361111111112,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,41.52,0.0,41.52,306.71000000000004,646.321,,0.0,0.0,,306.71000000000004,646.321,
INTFR,France(IFA),2021-07-16 00:00:00+00:00,48,1833.4583333333333,1833.4583333333333,0.0,1929.0,1508.0,2004.6,,,,,,1819.6488095238094,1797.71875,,1797.71875,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,44.003,0.0,44.003,305.701,690.3240000000001,,0.0,0.0,,305.701,690.3240000000001,
INTFR,France(IFA),2021-07-17 00:00:00+00:00,48,1684.8333333333333,1684.8333333333333,0.0,1702.0,1458.0,2004.0,,,,,,1795.2559523809525,1791.078431372549,,1791.078431372549,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,40.436,0.0,40.436,301.603,730.76,,0.0,0.0,,301.603,730.76,
INTFR,France(IFA),2021-07-18 00:00:00+00:00,48,1761.9166666666667,1761.9166666666667,0.0,1856.0,1410.0,2004.0,,,,,,1798.470238095238,1789.4583333333333,,1789.4583333333333,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,42.286,0.0,42.286,302.143,773.046,,0.0,0.0,,302.143,773.046,
INTFR,France(IFA),2021-07-19 00:00:00+00:00,48,1917.1666666666667,1917.1666666666667,0.0,2004.0,1706.0,2004.0,,,,,,1802.2559523809523,1796.1798245614034,,1796.1798245614034,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,46.012,0.0,46.012,302.779,819.058,,0.0,0.0,,302.779,819.058,
INTFR,France(IFA),2021-07-20 00:00:00+00:00,48,1939.5416666666667,1939.5416666666667,0.0,2003.0,1806.0,2004.0,,,,,,1811.6964285714287,1803.3479166666668,,1803.3479166666668,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,46.549,0.0,46.549,304.365,865.607,,0.0,0.0,,304.365,865.607,
INTFR,France(IFA),2021-07-21 00:00:00+00:00,48,1965.25,1965.25,0.0,2004.0,1904.0,2004.0,,,,,,1833.1666666666667,1811.0575396825398,,1811.0575396825398,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,47.166000000000004,0.0,47.166000000000004,307.97200000000004,912.773,,0.0,0.0,,307.97200000000004,912.773,
INTFR,France(IFA),2021-07-22 00:00:00+00:00,48,1910.8333333333333,1910.8333333333333,0.0,2004.0,1706.0,2004.0,,,,,,1859.0,1815.592803030303,,1815.592803030303,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,45.86,0.0,45.86,312.312,958.633,,0.0,0.0,,312.312,958.633,
INTFR,France(IFA),2021-07-23 00:00:00+00:00,48,1895.4583333333333,1895.4583333333333,0.0,2002.0,1706.0,2004.0,,,,,,1867.857142857143,1819.0652173913043,,1819.0652173913043,0.0,,,,,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,45.491,0.0,45.491,313.8,1004.124,,0.0,0.0,,313.8,1004.124,
