interconnectorId,interconnectorName,calendar_month,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTGRNL,Ireland (Greenlink),2025-01,96,48.0,11.458333333333332,88.54166666666666,0.0,-320.3541666666667,-490.0,-514.0,-514.0,-207.5,331.5,308.54545454545456,401.74117647058824,480.0,514.0,1.697,17.074,-15.377000000000002,18.771
INTGRNL,Ireland (Greenlink),2025-02,1344,672.0,25.074404761904763,68.82440476190477,6.101190476190476,-199.9717261904762,-402.0,-514.0,-514.0,7.5,504.0,368.433234421365,424.7827027027027,506.0,514.0,62.081,196.46200000000005,-134.38100000000003,258.54300000000006
INTGRNL,Ireland (Greenlink),2025-03,1488,744.0,10.483870967741936,89.31451612903226,0.20161290322580644,-373.55779569892474,-514.0,-514.0,-514.0,-327.5,201.29999999999973,209.3846153846154,442.82768999247554,506.0,516.0,16.332,294.259,-277.927,310.591
INTGRNL,Ireland (Greenlink),2025-04,1440,720.0,16.805555555555557,81.11111111111111,2.083333333333333,-335.37638888888887,-508.0,-514.0,-514.0,-202.0,286.1999999999998,157.1900826446281,446.04623287671234,504.0,516.0,19.02,260.49100000000004,-241.47100000000006,279.511
INTGRNL,Ireland (Greenlink),2025-05,1488,744.0,6.115591397849462,93.88440860215054,0.0,-438.5013440860215,-514.0,-514.0,-514.0,-492.0,67.29999999999973,262.0879120879121,484.1374373657838,506.0,516.0,11.925,338.1700000000001,-326.24500000000006,350.095
INTGRNL,Ireland (Greenlink),2025-06,1440,720.0,7.291666666666667,91.25,1.4583333333333333,-384.92083333333335,-514.0,-514.0,-514.0,-370.0,226.0,315.9238095238095,447.076103500761,506.0,516.0,16.586,293.72900000000004,-277.14300000000003,310.31500000000005
INTGRNL,Ireland (Greenlink),2025-07,1488,744.0,8.131720430107526,91.59946236559139,0.2688172043010753,-376.08870967741933,-500.0,-514.0,-514.0,-308.0,66.0,162.3305785123967,424.9904622157007,506.0,514.0,9.821,289.63100000000003,-279.81000000000006,299.45200000000006
INTGRNL,Ireland (Greenlink),2025-08,1488,744.0,10.416666666666668,89.04569892473118,0.5376344086021506,-369.98790322580646,-514.0,-514.0,-514.0,-346.0,248.59999999999945,252.99354838709678,445.0988679245283,506.0,516.0,19.607000000000003,294.87800000000004,-275.2710000000001,314.485
INTGRNL,Ireland (Greenlink),2025-09,1440,720.0,11.875,85.69444444444444,2.430555555555556,-347.64444444444445,-514.0,-514.0,-514.0,-271.0,364.0,280.5497076023392,444.55591572123177,506.0,514.0,23.987,274.29100000000005,-250.30400000000003,298.278
INTGRNL,Ireland (Greenlink),2025-10,1488,744.0,19.153225806451612,80.64516129032258,0.20161290322580644,-301.35349462365593,-514.0,-514.0,-514.0,-169.5,450.0,309.5438596491228,447.195,506.0,516.0,44.11,268.31700000000006,-224.20700000000005,312.427
INTGRNL,Ireland (Greenlink),2025-11,1440,720.0,14.444444444444443,84.30555555555556,1.25,-350.04027777777776,-514.0,-514.0,-514.0,-246.0,246.0,183.8846153846154,446.71004942339374,350.0,516.0,19.124000000000002,271.1530000000001,-252.02900000000005,290.27700000000004
INTGRNL,Ireland (Greenlink),2025-12,1488,744.0,16.263440860215052,83.46774193548387,0.2688172043010753,-345.127688172043,-514.0,-514.0,-514.0,-244.5,200.0,175.64462809917356,447.71014492753625,278.0,514.0,21.253,278.028,-256.77500000000003,299.28100000000006
INTGRNL,Ireland (Greenlink),2026-01,1488,744.0,21.236559139784948,78.56182795698925,0.20161290322580644,-311.03225806451616,-514.0,-514.0,-514.0,-74.0,200.0,160.373417721519,439.25919589392646,216.0,514.0,25.339,256.747,-231.40800000000002,282.086
INTGRNL,Ireland (Greenlink),2026-02,1344,672.0,22.470238095238095,74.92559523809523,2.604166666666667,-280.6622023809524,-473.0,-514.0,-514.0,0.0,200.0,160.35761589403972,422.6792452830189,204.0,514.0,24.214,212.81900000000002,-188.60500000000002,237.03300000000002
INTGRNL,Ireland (Greenlink),2026-03,1488,744.0,18.212365591397848,81.45161290322581,0.33602150537634407,-323.5846774193548,-488.0,-514.0,-514.0,-185.0,226.0,165.9409594095941,434.3762376237624,300.0,516.0,22.485000000000003,263.2320000000001,-240.747,285.71700000000004
INTGRNL,Ireland (Greenlink),2026-04,1440,720.0,15.069444444444443,84.09722222222223,0.8333333333333334,-358.37638888888887,-506.0,-514.0,-514.0,-233.0,100.0,96.3594470046083,443.41205615194053,200.0,514.0,10.455,268.48600000000005,-258.03100000000006,278.94100000000003
INTGRNL,Ireland (Greenlink),2026-05,1488,744.0,10.618279569892474,89.11290322580645,0.2688172043010753,-387.2956989247312,-514.0,-514.0,-514.0,-327.0,102.0,107.89873417721519,447.4690799396682,278.0,516.0,8.524,296.6720000000001,-288.1480000000001,305.1960000000001
INTGRNL,Ireland (Greenlink),2026-06,1438,719.0,6.884561891515995,59.80528511821975,33.31015299026426,-247.28233657858135,-238.0,-514.0,-514.0,0.0,42.29999999999973,51.81818181818182,419.4441860465116,152.0,518.0,2.5650000000000004,180.36100000000002,-177.79600000000005,182.926
