interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_import_share_pct,mean_export_share_pct
INTGRNL,Ireland (Greenlink),1,7,-510.14285714285717,-514.0,-513.875,-513.7083333333334,-507.375,-501.51666666666665,0.0,100.0
INTGRNL,Ireland (Greenlink),2,7,-306.5773809523809,-490.4833333333333,-472.29166666666663,-402.3333333333333,-241.70833333333331,-25.72499999999988,22.61904761904762,77.3809523809524
INTGRNL,Ireland (Greenlink),3,7,-349.9107142857143,-505.15,-493.77083333333337,-410.8333333333333,-242.5,-105.14999999999998,14.583333333333332,85.1190476190476
INTGRNL,Ireland (Greenlink),4,7,-313.7261904761905,-456.69166666666666,-419.70833333333337,-338.2083333333333,-238.125,-137.1666666666666,19.940476190476186,80.05952380952381
INTGRNL,Ireland (Greenlink),5,11,-158.0189393939394,-379.1666666666667,-326.375,-80.83333333333333,11.4375,83.54166666666667,29.924242424242422,55.68181818181818
INTGRNL,Ireland (Greenlink),6,14,-267.67857142857144,-510.1375,-488.11458333333337,-402.625,-136.75,59.8416666666667,20.982142857142858,74.55357142857143
INTGRNL,Ireland (Greenlink),7,14,-266.73214285714283,-497.25416666666666,-469.5520833333333,-271.25,-143.88541666666666,-63.76249999999989,21.875,76.93452380952381
INTGRNL,Ireland (Greenlink),8,14,-122.14583333333333,-377.1708333333333,-270.28125,-183.35416666666669,37.91666666666667,182.55000000000004,38.69047619047619,61.3095238095238
INTGRNL,Ireland (Greenlink),9,14,-356.3422619047619,-495.87916666666666,-479.8645833333333,-449.85416666666663,-190.54166666666666,-130.44999999999993,13.392857142857142,85.71428571428571
INTGRNL,Ireland (Greenlink),10,14,-345.2976190476191,-480.2666666666667,-456.6458333333333,-405.625,-239.5625,-165.61666666666662,11.30952380952381,88.39285714285714
INTGRNL,Ireland (Greenlink),11,14,-357.25595238095235,-509.3875,-500.5729166666667,-442.47916666666663,-244.41666666666666,-49.17916666666662,14.880952380952381,84.82142857142857
INTGRNL,Ireland (Greenlink),12,14,-336.23214285714283,-512.7625,-506.97916666666663,-370.9375,-212.21875,-108.78333333333325,16.666666666666668,83.18452380952381
INTGRNL,Ireland (Greenlink),13,14,-330.69940476190476,-508.3208333333334,-460.3541666666667,-306.45833333333337,-217.96875,-148.70833333333326,16.964285714285715,82.88690476190477
INTGRNL,Ireland (Greenlink),14,14,-381.07440476190476,-501.30833333333334,-484.6041666666667,-440.66666666666663,-297.8125,-270.7458333333333,10.416666666666668,88.54166666666666
INTGRNL,Ireland (Greenlink),15,14,-257.47023809523813,-495.74583333333334,-422.57291666666663,-248.625,-104.40625,-3.9499999999999718,31.547619047619044,64.88095238095238
INTGRNL,Ireland (Greenlink),16,14,-392.8392857142857,-509.79583333333335,-500.1875,-439.5416666666667,-313.39583333333337,-267.14166666666665,9.375,90.32738095238095
INTGRNL,Ireland (Greenlink),17,14,-307.18154761904765,-511.6,-486.75,-345.9583333333333,-186.10416666666669,-69.07499999999997,17.410714285714285,81.10119047619048
INTGRNL,Ireland (Greenlink),18,14,-503.7261904761905,-514.0,-513.90625,-512.0208333333334,-497.1875,-483.06666666666666,0.0,100.0
INTGRNL,Ireland (Greenlink),19,14,-468.93154761904765,-514.0,-513.84375,-512.0208333333334,-487.0520833333333,-464.3125,3.125,96.72619047619048
INTGRNL,Ireland (Greenlink),20,14,-388.91666666666663,-511.93333333333334,-510.3958333333333,-478.6875,-285.6041666666667,-176.06666666666663,13.839285714285714,86.16071428571429
INTGRNL,Ireland (Greenlink),21,14,-378.06845238095235,-494.7791666666667,-459.5833333333333,-449.8125,-322.75,-264.0833333333333,9.672619047619047,89.88095238095238
INTGRNL,Ireland (Greenlink),22,14,-356.80059523809524,-503.5833333333333,-482.83333333333337,-411.85416666666663,-280.84375,-254.25416666666663,11.904761904761903,88.09523809523809
INTGRNL,Ireland (Greenlink),23,14,-359.00892857142856,-483.25416666666666,-458.5416666666667,-379.3125,-333.8125,-162.6541666666664,13.541666666666668,85.71428571428571
INTGRNL,Ireland (Greenlink),24,14,-336.5327380952381,-509.1541666666667,-492.28125,-432.54166666666663,-195.83333333333334,-40.2458333333333,9.375,81.25
INTGRNL,Ireland (Greenlink),25,14,-436.60714285714283,-495.37083333333334,-480.88541666666663,-465.75,-415.15625,-337.1541666666667,1.3392857142857142,98.51190476190477
INTGRNL,Ireland (Greenlink),26,14,-168.87202380952382,-439.7291666666667,-412.98958333333337,-56.166666666666664,0.0,0.0,4.613095238095239,45.23809523809524
INTGRNL,Ireland (Greenlink),27,9,-242.37962962962962,-493.66666666666663,-345.5833333333333,-255.25,-107.04166666666667,0.0,10.648148148148149,66.89814814814815
INTGRNL,Ireland (Greenlink),28,7,-427.8154761904762,-492.5333333333333,-476.20833333333337,-461.5833333333333,-405.14583333333337,-319.7333333333333,2.976190476190476,97.02380952380952
INTGRNL,Ireland (Greenlink),29,7,-310.24404761904765,-471.2166666666667,-453.64583333333337,-266.0416666666667,-213.875,-155.18333333333328,11.904761904761903,87.5
INTGRNL,Ireland (Greenlink),30,7,-418.2202380952381,-511.81666666666666,-506.64583333333337,-500.7083333333333,-414.5625,-252.4499999999999,6.845238095238096,92.85714285714286
INTGRNL,Ireland (Greenlink),31,7,-477.375,-512.1,-506.3333333333333,-483.2083333333333,-457.70833333333337,-431.23333333333335,0.5952380952380951,99.40476190476191
INTGRNL,Ireland (Greenlink),32,7,-285.14285714285717,-484.875,-436.97916666666663,-396.2083333333333,-204.20833333333334,-26.666666666666544,18.154761904761905,81.84523809523809
INTGRNL,Ireland (Greenlink),33,7,-447.05952380952385,-509.08333333333337,-480.875,-444.3333333333333,-432.5,-391.9,1.1904761904761902,97.61904761904762
INTGRNL,Ireland (Greenlink),34,7,-492.7142857142857,-512.6999999999999,-510.0208333333333,-508.0416666666667,-479.8125,-453.84166666666664,0.0,100.0
INTGRNL,Ireland (Greenlink),35,7,-203.84523809523807,-292.175,-266.5625,-246.625,-154.58333333333331,-76.02499999999998,26.785714285714285,72.02380952380952
INTGRNL,Ireland (Greenlink),36,7,-388.3511904761905,-507.8666666666667,-503.33333333333337,-460.5,-361.70833333333337,-177.1333333333332,10.119047619047619,89.58333333333334
