interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_import_share_pct,mean_export_share_pct
INTIFA2,IFA2 (INTIFA2),1,35,367.4916666666667,-4.125,58.6875,417.5416666666667,684.7083333333333,779.8416666666667,61.726190476190474,38.154761904761905
INTIFA2,IFA2 (INTIFA2),2,35,353.1391590678825,-391.975,-4.0,472.0833333333333,786.2708333333333,946.9583333333334,58.005319148936174,41.93515704154002
INTIFA2,IFA2 (INTIFA2),3,35,101.90738601823708,-444.7416666666667,-188.95833333333334,-4.0,488.66666666666663,666.4166666666666,48.47407970280311,51.402904424181024
INTIFA2,IFA2 (INTIFA2),4,35,240.73690476190475,-529.5416666666664,-2.7708333333333335,253.375,644.3125,955.625,56.25,43.75
INTIFA2,IFA2 (INTIFA2),5,35,206.64412360688956,-247.14999999999995,-4.0,63.791666666666664,616.9166666666667,911.9916666666669,49.02608915906789,50.8548632218845
INTIFA2,IFA2 (INTIFA2),6,35,235.17168186423504,-335.64042553191484,-86.36170212765957,54.583333333333336,675.2708333333333,927.7416666666667,53.913373860182375,45.908054711246194
INTIFA2,IFA2 (INTIFA2),7,35,478.7850810536981,-4.0,185.08333333333334,518.875,749.1875,938.9083333333334,71.89716312056737,27.983789260385006
INTIFA2,IFA2 (INTIFA2),8,35,440.5702380952381,2.1000000000000054,113.54166666666667,381.2083333333333,824.8541666666667,976.9916666666667,68.98809523809524,30.833333333333336
INTIFA2,IFA2 (INTIFA2),9,35,495.22993920972647,-184.13333333333333,207.97916666666669,562.75,920.0625,985.5666666666666,74.02862208713273,25.792806484295845
INTIFA2,IFA2 (INTIFA2),10,35,472.9247973657548,-337.22499999999997,-2.8125,714.1666666666666,962.4791666666667,986.3666666666667,72.7241641337386,27.09726443768997
INTIFA2,IFA2 (INTIFA2),11,35,593.9380952380952,-360.59166666666664,599.8125,823.2916666666666,934.2083333333333,971.275,84.58333333333333,15.416666666666668
INTIFA2,IFA2 (INTIFA2),12,35,706.9773809523809,222.83333333333334,709.0833333333333,825.9166666666666,972.7708333333333,991.8833333333333,89.10714285714286,10.833333333333334
INTIFA2,IFA2 (INTIFA2),13,35,537.6511904761905,-553.0333333333333,472.83333333333337,826.125,941.5208333333334,974.1083333333333,80.53571428571429,19.464285714285715
INTIFA2,IFA2 (INTIFA2),14,35,431.29047619047617,-278.75833333333327,119.8125,602.5,877.625,985.275,75.29761904761904,24.583333333333332
INTIFA2,IFA2 (INTIFA2),15,35,503.5666666666666,-161.39166666666662,154.75,708.875,966.125,991.2833333333333,78.27380952380953,21.666666666666664
INTIFA2,IFA2 (INTIFA2),16,35,500.6892857142857,-414.5416666666666,170.52083333333331,784.5,942.2291666666667,985.725,76.19047619047619,23.80952380952381
INTIFA2,IFA2 (INTIFA2),17,35,554.9930597771023,-552.2916666666666,475.35416666666663,881.5833333333334,983.7916666666666,992.0,79.52380952380953,20.416666666666668
INTIFA2,IFA2 (INTIFA2),18,35,434.5642857142857,-828.8333333333333,-2.0,872.4166666666666,988.1041666666667,992.0,68.21428571428571,31.726190476190478
INTIFA2,IFA2 (INTIFA2),19,35,517.0964285714285,-986.3583333333333,482.2916666666667,949.75,992.0,992.0,78.80952380952381,21.071428571428573
INTIFA2,IFA2 (INTIFA2),20,35,512.6511904761905,-928.0666666666666,287.64583333333337,968.9583333333334,991.4583333333333,992.0,74.52380952380953,25.416666666666668
INTIFA2,IFA2 (INTIFA2),21,35,550.7357142857143,-772.5999999999999,409.29166666666663,915.875,990.125,992.0,80.0,19.94047619047619
INTIFA2,IFA2 (INTIFA2),22,35,513.4595238095238,-894.8833333333333,611.5208333333333,834.375,982.0416666666666,990.7833333333334,79.70238095238096,20.29761904761905
INTIFA2,IFA2 (INTIFA2),23,35,354.0464285714286,-766.4083333333333,-4.0,563.0,941.4166666666667,988.75,62.67857142857143,37.083333333333336
INTIFA2,IFA2 (INTIFA2),24,35,169.11309523809527,-106.58333333333327,-2.0,-2.0,478.29166666666663,604.0333333333334,29.642857142857142,70.35714285714286
INTIFA2,IFA2 (INTIFA2),25,35,208.23809523809527,-1026.6583333333333,-2.25,67.0,918.875,982.2166666666667,49.285714285714285,50.714285714285715
INTIFA2,IFA2 (INTIFA2),26,39,250.9155982905983,-964.3916666666667,-109.0,438.1666666666667,801.125,922.9666666666668,68.10897435897436,31.837606837606838
INTIFA2,IFA2 (INTIFA2),27,37,210.84081472777126,-1023.46,-2.0,314.8333333333333,722.5416666666666,931.4583333333334,61.09234234234234,38.851351351351354
INTIFA2,IFA2 (INTIFA2),28,35,293.1142857142857,-931.2666666666667,-418.14583333333337,703.7916666666666,931.75,977.6,66.42857142857143,33.57142857142857
INTIFA2,IFA2 (INTIFA2),29,35,442.72446808510637,-550.083333333333,104.83333333333334,718.7916666666666,827.5208333333333,981.2416666666667,72.46327254305977,27.358156028368796
INTIFA2,IFA2 (INTIFA2),30,35,454.6380952380953,-919.5,323.7708333333333,722.7083333333334,981.0833333333334,992.0,76.30952380952381,23.51190476190476
INTIFA2,IFA2 (INTIFA2),31,35,567.3380952380952,-980.1833333333334,672.0,906.0416666666666,968.875,982.375,82.73809523809524,17.26190476190476
INTIFA2,IFA2 (INTIFA2),32,35,439.29761904761904,-374.9833333333333,116.8125,670.0416666666666,833.7291666666667,924.2333333333333,75.6547619047619,24.345238095238095
INTIFA2,IFA2 (INTIFA2),33,35,437.21309523809526,-578.6833333333332,13.25,746.25,906.6458333333333,956.3666666666667,73.98809523809524,25.952380952380953
INTIFA2,IFA2 (INTIFA2),34,35,320.7952380952381,-485.65833333333325,-178.04166666666669,474.1666666666667,911.375,964.6416666666667,57.5,42.5
INTIFA2,IFA2 (INTIFA2),35,35,254.0880952380952,-1002.7833333333333,60.166666666666664,425.25,883.1666666666667,933.85,65.29761904761904,34.642857142857146
INTIFA2,IFA2 (INTIFA2),36,35,291.41904761904766,-898.8833333333333,-2.0,497.125,866.2083333333334,967.2333333333333,60.714285714285715,39.166666666666664
INTIFA2,IFA2 (INTIFA2),37,35,303.41547619047617,-916.2333333333333,-2.0,466.4583333333333,885.3125,957.25,57.67857142857143,42.32142857142857
INTIFA2,IFA2 (INTIFA2),38,35,230.0442502532928,-664.35,-2.0,429.0833333333333,710.8541666666666,867.075,54.166666666666664,45.833333333333336
INTIFA2,IFA2 (INTIFA2),39,35,119.93333333333334,-811.9166666666666,-201.125,-2.0,497.6666666666667,989.9666666666667,45.0,54.94047619047618
INTIFA2,IFA2 (INTIFA2),40,35,89.58115501519758,-959.875,-436.02083333333337,-2.0,609.7083333333334,941.6916666666667,45.416666666666664,54.52380952380952
INTIFA2,IFA2 (INTIFA2),41,35,208.93381458966564,-895.6083333333333,-2.0,316.25,791.5208333333334,958.0936170212766,52.19984802431611,47.740628166160086
INTIFA2,IFA2 (INTIFA2),42,35,265.01428571428573,-897.9583333333333,-2.0,396.2083333333333,815.0625,927.0833333333334,56.42857142857143,43.511904761904766
