interconnectorId,interconnectorName,calendar_month,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTIRL,Northern Ireland(Moyle),2021-07,1488,744.0,2.486559139784946,79.77150537634408,17.741935483870968,-288.0524193548387,-356.0,-456.0,-454.0,-123.5,0.0,75.72972972972973,363.45745577085086,284.0,458.0,1.4010000000000002,215.71200000000002,-214.311,217.113
INTIRL,Northern Ireland(Moyle),2021-08,1488,744.0,30.510752688172044,69.48924731182797,0.0,-155.7284946236559,-230.0,-454.0,-444.0,74.0,350.0,211.8237885462555,317.11025145067697,404.0,454.0,48.084,163.94600000000003,-115.86200000000001,212.03000000000003
INTIRL,Northern Ireland(Moyle),2021-09,1440,720.0,29.444444444444446,70.55555555555556,0.0,-133.80416666666667,-150.0,-454.0,-316.0,14.0,324.1999999999998,148.46226415094338,251.6003937007874,402.0,456.0,31.474000000000004,127.813,-96.339,159.28699999999998
INTIRL,Northern Ireland(Moyle),2021-10,1485,742.5,42.76094276094276,57.23905723905723,0.0,-86.30707070707071,-92.0,-456.0,-406.0,222.0,374.0,226.9984251968504,320.36470588235295,404.0,456.0,72.072,136.15500000000003,-64.083,208.22700000000003
INTIRL,Northern Ireland(Moyle),2021-11,1436,718.0,49.5125348189415,50.34818941504178,0.1392757660167131,-39.49721448467967,-18.0,-456.0,-324.0,240.0,352.0,211.61462728551336,286.55048409405254,404.0,456.0,75.229,103.588,-28.358999999999995,178.817
INTIRL,Northern Ireland(Moyle),2021-12,1482,741.0,75.7085020242915,24.224021592442647,0.06747638326585695,145.1187584345479,258.0,-429.9,14.0,338.0,402.0,269.0285204991087,241.73816155988857,404.0,456.0,150.925,43.391999999999996,107.53300000000002,194.317
INTIRL,Northern Ireland(Moyle),2022-01,1482,741.0,64.30499325236167,35.695006747638324,0.0,68.44264507422402,135.0,-456.0,-86.0,277.5,385.9000000000001,231.53200419727176,225.3648393194707,404.0,456.0,110.32499999999999,59.609,50.716,169.934
INTIRL,Northern Ireland(Moyle),2022-02,1340,670.0,72.53731343283583,27.313432835820894,0.1492537313432836,92.02089552238806,244.0,-456.0,-46.0,272.0,342.0,238.23045267489712,295.7704918032787,404.0,456.0,115.78000000000002,54.126000000000005,61.65400000000001,169.906
INTIRL,Northern Ireland(Moyle),2022-03,1486,743.0,44.751009421265145,55.248990578734855,0.0,-52.405114401076716,-52.0,-456.0,-331.5,249.5,388.0,232.2045112781955,282.9354445797808,682.0,456.0,77.208,116.145,-38.937,193.353
INTIRL,Northern Ireland(Moyle),2022-04,1439,719.5,43.71091035441278,56.28908964558721,0.0,-56.32661570535094,-74.0,-456.0,-328.0,220.0,402.0,240.44197138314786,286.78024691358024,404.0,456.0,75.619,116.146,-40.527,191.765
INTIRL,Northern Ireland(Moyle),2022-05,1488,744.0,61.155913978494624,36.223118279569896,2.620967741935484,60.986559139784944,92.0,-335.29999999999995,-100.0,246.0,402.0,215.64615384615385,195.71428571428572,404.0,458.0,98.119,52.745000000000005,45.37400000000001,150.86400000000003
INTIRL,Northern Ireland(Moyle),2022-06,1440,720.0,60.83333333333333,38.75,0.4166666666666667,35.765277777777776,86.0,-254.0,-198.5,246.0,248.0,181.0958904109589,192.00358422939067,248.0,256.0,79.32,53.569,25.750999999999998,132.889
INTIRL,Northern Ireland(Moyle),2022-07,1485,742.5,8.417508417508419,11.38047138047138,80.2020202020202,0.6033670033670033,0.0,-34.0,0.0,0.0,41.19999999999982,105.584,72.79289940828403,208.0,210.0,6.598999999999999,6.151,0.4480000000000005,12.75
INTIRL,Northern Ireland(Moyle),2022-08,1488,744.0,66.8010752688172,31.72043010752688,1.478494623655914,52.35215053763441,71.0,-212.0,-50.0,208.0,244.0,148.32595573440645,147.32203389830508,250.0,258.0,73.718,34.768,38.949999999999996,108.486
INTIRL,Northern Ireland(Moyle),2022-09,1439,719.5,58.72133425990271,36.970118137595556,4.308547602501737,14.443363446838083,26.0,-452.0,-104.0,182.0,400.0,164.1372781065089,221.6390977443609,500.0,506.0,69.34800000000001,58.955999999999996,10.392000000000005,128.304
INTIRL,Northern Ireland(Moyle),2022-10,1488,744.0,57.45967741935484,41.465053763440864,1.0752688172043012,58.126344086021504,84.0,-452.0,-244.0,400.0,400.0,305.4479532163743,283.08914100486226,400.0,452.0,130.579,87.333,43.245999999999995,217.91200000000003
INTIRL,Northern Ireland(Moyle),2022-11,1440,720.0,66.80555555555556,31.52777777777778,1.6666666666666667,117.04305555555555,228.0,-452.0,-98.5,400.0,400.0,307.83991683991684,281.057268722467,400.0,454.0,148.071,63.8,84.27099999999999,211.87099999999998
INTIRL,Northern Ireland(Moyle),2022-12,1488,744.0,48.924731182795696,46.37096774193548,4.704301075268817,-5.452956989247312,0.0,-452.0,-266.5,250.0,400.0,244.94230769230768,270.1913043478261,400.0,452.0,89.15899999999999,93.21600000000001,-4.057,182.375
