interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_import_share_pct,mean_export_share_pct
INTIRL,Northern Ireland(Moyle),1,35,-201.45714285714286,-431.2416666666667,-407.0,-302.4166666666667,-2.5208333333333335,101.84166666666673,24.702380952380953,74.88095238095238
INTIRL,Northern Ireland(Moyle),2,35,-186.57874873353597,-429.6166666666667,-367.9375,-250.04166666666666,30.791666666666664,79.03333333333335,27.360688956433638,71.15121580547113
INTIRL,Northern Ireland(Moyle),3,35,-99.44186930091185,-422.775,-343.22916666666663,-100.95833333333333,124.89583333333334,182.6,38.3887200270179,58.81366092536305
INTIRL,Northern Ireland(Moyle),4,35,-140.77023809523808,-376.325,-289.0625,-175.04166666666666,21.166666666666664,107.775,31.011904761904763,65.47619047619047
INTIRL,Northern Ireland(Moyle),5,35,-110.83794326241134,-370.34166666666664,-287.58333333333337,-104.29166666666667,66.22916666666666,124.90212765957449,34.21352583586626,56.44123606889565
INTIRL,Northern Ireland(Moyle),6,35,-140.86580547112462,-436.875,-360.77083333333337,-174.79166666666666,86.75797872340425,124.96666666666668,32.70390070921986,62.712765957446805
INTIRL,Northern Ireland(Moyle),7,35,-94.04739108409322,-410.875,-334.25,-111.79166666666667,105.29166666666667,255.12500000000003,38.903242147923,56.63247213779129
INTIRL,Northern Ireland(Moyle),8,35,-71.88214285714285,-346.80833333333334,-207.83333333333331,-67.0,67.45833333333333,178.71666666666667,40.0,52.916666666666664
INTIRL,Northern Ireland(Moyle),9,35,-262.6025835866261,-433.84166666666664,-389.89583333333337,-273.6666666666667,-172.875,-86.49999999999997,12.215045592705167,82.48733535967578
INTIRL,Northern Ireland(Moyle),10,35,-134.83128166160083,-371.7583333333333,-333.125,-135.91666666666666,-35.666666666666664,242.22500000000002,29.63905775075988,63.872847011144884
INTIRL,Northern Ireland(Moyle),11,35,-177.53214285714284,-391.23333333333335,-335.16666666666663,-174.41666666666666,-60.958333333333336,30.241666666666706,25.654761904761905,70.89285714285714
INTIRL,Northern Ireland(Moyle),12,35,-207.3892857142857,-406.5416666666667,-361.5416666666667,-246.91666666666666,-101.04166666666666,69.3500000000001,20.05952380952381,74.88095238095238
INTIRL,Northern Ireland(Moyle),13,35,-215.96190476190478,-410.9833333333333,-361.22916666666663,-237.66666666666666,-109.75,-26.39166666666663,19.523809523809526,76.72619047619047
INTIRL,Northern Ireland(Moyle),14,35,-145.61190476190478,-392.6833333333333,-337.89583333333337,-225.58333333333334,13.375,184.10000000000002,30.714285714285715,65.0
INTIRL,Northern Ireland(Moyle),15,35,-217.05595238095236,-428.35833333333335,-348.4375,-257.9583333333333,-155.95833333333334,74.12500000000006,19.880952380952383,74.3452380952381
INTIRL,Northern Ireland(Moyle),16,35,-248.88214285714287,-432.7166666666667,-372.97916666666663,-253.0,-149.41666666666669,-62.774999999999906,15.05952380952381,81.36904761904762
INTIRL,Northern Ireland(Moyle),17,35,-243.64463019250252,-433.03333333333336,-385.5,-258.5416666666667,-143.72916666666669,-64.49999999999996,15.105116514690982,78.46631205673758
INTIRL,Northern Ireland(Moyle),18,35,-275.24047619047616,-444.85833333333335,-416.9375,-345.8333333333333,-172.75,0.46666666666676804,15.0,83.92857142857143
INTIRL,Northern Ireland(Moyle),19,35,-225.32142857142858,-445.65,-421.08333333333337,-290.875,-48.833333333333336,114.22500000000001,18.571428571428573,76.8452380952381
INTIRL,Northern Ireland(Moyle),20,35,-238.91666666666669,-435.7583333333333,-416.33333333333337,-364.8333333333333,-50.83333333333333,156.15833333333333,23.273809523809526,74.70238095238096
INTIRL,Northern Ireland(Moyle),21,35,-268.09880952380956,-437.1666666666667,-416.52083333333337,-335.2083333333333,-149.08333333333334,-24.783333333333275,14.761904761904765,81.72619047619047
INTIRL,Northern Ireland(Moyle),22,35,-268.3285714285714,-439.09999999999997,-408.125,-338.75,-124.72916666666666,-71.34999999999997,12.321428571428571,83.33333333333333
INTIRL,Northern Ireland(Moyle),23,35,-240.94642857142858,-422.3833333333333,-375.47916666666663,-311.875,-202.35416666666669,135.1083333333334,19.523809523809526,77.38095238095238
INTIRL,Northern Ireland(Moyle),24,35,-227.1238095238095,-425.55833333333334,-408.89583333333337,-252.75,-77.5625,55.25833333333346,16.845238095238095,74.4047619047619
INTIRL,Northern Ireland(Moyle),25,35,-199.40833333333333,-394.09999999999997,-346.25,-242.20833333333334,-64.1875,0.0,13.869047619047619,70.29761904761904
INTIRL,Northern Ireland(Moyle),26,39,-222.40064102564102,-411.44166666666666,-388.4375,-298.0416666666667,-43.708333333333336,82.31666666666672,17.78846153846154,71.26068376068376
INTIRL,Northern Ireland(Moyle),27,37,-213.6659811985899,-403.80833333333334,-377.2083333333333,-174.29166666666666,-59.958333333333336,0.0,8.267234625930277,67.23952213082647
INTIRL,Northern Ireland(Moyle),28,35,-146.68928571428572,-389.7416666666667,-321.14583333333337,-51.708333333333336,0.0,0.0,2.4404761904761902,47.20238095238095
INTIRL,Northern Ireland(Moyle),29,35,-244.72114994934142,-441.7083333333333,-404.72916666666663,-297.7083333333333,-57.3125,-0.6999999999999996,6.313323201621074,70.59143870314082
INTIRL,Northern Ireland(Moyle),30,35,-249.1297619047619,-415.02500000000003,-391.4375,-325.2083333333333,-40.27083333333333,6.1250000000000275,11.964285714285714,77.5
INTIRL,Northern Ireland(Moyle),31,35,-218.35595238095237,-422.2083333333333,-392.0625,-285.6666666666667,-82.6875,41.39166666666668,22.380952380952383,75.83333333333333
INTIRL,Northern Ireland(Moyle),32,35,-180.29880952380952,-399.60833333333335,-376.1041666666667,-182.16666666666666,-46.20833333333333,31.791666666666686,25.773809523809526,72.26190476190476
INTIRL,Northern Ireland(Moyle),33,35,-145.06309523809523,-407.7833333333333,-380.2083333333333,-174.29166666666666,89.95833333333333,149.9,33.57142857142857,63.63095238095239
INTIRL,Northern Ireland(Moyle),34,35,-200.8357142857143,-437.0083333333333,-363.70833333333337,-257.25,-5.958333333333333,83.11666666666669,23.75,71.66666666666667
INTIRL,Northern Ireland(Moyle),35,35,-175.39523809523808,-397.175,-320.3125,-144.79166666666666,-67.70833333333334,59.850000000000044,20.178571428571427,66.96428571428571
INTIRL,Northern Ireland(Moyle),36,35,-214.87738095238095,-418.0,-377.02083333333337,-276.5833333333333,-108.25,102.44166666666676,23.571428571428573,75.0
INTIRL,Northern Ireland(Moyle),37,35,-227.83333333333334,-402.375,-375.2291666666667,-269.5,-99.375,-10.574999999999912,19.94047619047619,77.26190476190476
