interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_import_share_pct,mean_export_share_pct
INTNED,Netherlands(BritNed),1,35,429.2166666666667,0.3916666666666667,98.95833333333333,432.0416666666667,666.9791666666666,880.2916666666666,72.20238095238096,10.773809523809524
INTNED,Netherlands(BritNed),2,35,344.6308004052685,-21.75319148936169,0.35416666666666663,354.5,605.3125,798.2833333333334,62.28470111448835,16.576747720364743
INTNED,Netherlands(BritNed),3,35,536.4162901046943,0.3333333333333333,189.02083333333331,693.25,873.3045212765958,914.8916666666667,75.15113137453564,6.261904761904763
INTNED,Netherlands(BritNed),4,35,298.6702380952381,-27.541666666666664,0.9791666666666666,204.0,669.8958333333333,902.9083333333333,64.70238095238096,20.773809523809522
INTNED,Netherlands(BritNed),5,35,516.4726190476191,8.79166666666669,204.5625,584.7916666666666,886.8125,934.075,79.69984802431611,16.608409321175277
INTNED,Netherlands(BritNed),6,35,474.40531914893614,-103.69166666666666,196.4375,613.4583333333334,801.0625,909.0,76.5273556231003,20.131712259371835
INTNED,Netherlands(BritNed),7,35,346.366641337386,-591.25,-50.97916666666667,561.375,850.5416666666667,940.3916666666667,67.12512664640325,30.255825734549138
INTNED,Netherlands(BritNed),8,35,441.41785714285714,-145.25833333333333,158.64583333333331,507.7916666666667,803.9791666666667,993.5166666666667,75.89285714285714,20.595238095238095
INTNED,Netherlands(BritNed),9,35,497.2679331306991,-106.08333333333333,136.52083333333334,702.8333333333334,913.1666666666667,991.6750000000001,75.71175278622087,21.785714285714285
INTNED,Netherlands(BritNed),10,35,586.1394630192502,188.13333333333335,365.6875,638.875,853.3541666666666,951.025,79.82142857142857,15.892857142857142
INTNED,Netherlands(BritNed),11,35,455.02738095238095,-149.47499999999997,200.95833333333331,585.0,811.2708333333333,863.7583333333333,74.4047619047619,22.5
INTNED,Netherlands(BritNed),12,35,487.63095238095235,-47.59166666666666,302.25,570.875,790.7083333333333,917.075,76.30952380952381,21.309523809523807
INTNED,Netherlands(BritNed),13,35,453.8047619047619,-60.11666666666665,147.27083333333334,508.625,797.3541666666667,937.625,75.77380952380953,21.904761904761905
INTNED,Netherlands(BritNed),14,35,360.0642857142857,-158.4083333333333,136.6875,443.7083333333333,619.8125,757.2416666666667,71.96428571428571,24.880952380952383
INTNED,Netherlands(BritNed),15,35,128.15833333333333,-376.1166666666667,-198.0,211.75,394.29166666666663,582.3916666666668,56.07142857142857,40.0
INTNED,Netherlands(BritNed),16,35,153.10357142857143,-529.1999999999999,-316.1041666666667,216.58333333333334,579.2083333333333,776.9166666666666,58.80952380952382,37.976190476190474
INTNED,Netherlands(BritNed),17,35,263.52264437689973,-286.8916666666666,-51.625,281.4166666666667,706.9583333333333,788.0416666666667,64.4047619047619,32.61904761904762
INTNED,Netherlands(BritNed),18,35,148.7059523809524,-579.6249999999999,-16.3125,219.70833333333334,503.27083333333337,650.4583333333335,57.67857142857143,37.02380952380952
INTNED,Netherlands(BritNed),19,35,-9.063095238095233,-529.0666666666666,-162.91666666666666,51.166666666666664,243.08333333333331,457.34166666666675,49.04761904761905,48.333333333333336
INTNED,Netherlands(BritNed),20,35,119.79047619047617,-177.51666666666665,-94.08333333333334,0.25,321.3125,592.0916666666667,38.27380952380952,23.571428571428573
INTNED,Netherlands(BritNed),21,35,94.91904761904762,-211.24166666666665,-116.97916666666667,80.875,330.10416666666663,413.575,48.035714285714285,38.69047619047619
INTNED,Netherlands(BritNed),22,35,57.93809523809524,-438.9166666666667,-248.77083333333331,120.79166666666667,300.75,535.0,52.61904761904761,43.92857142857143
INTNED,Netherlands(BritNed),23,35,79.76309523809523,-427.72499999999997,-300.375,43.583333333333336,448.0416666666667,624.425,54.22619047619048,43.333333333333336
INTNED,Netherlands(BritNed),24,35,245.77857142857144,-63.64166666666666,44.895833333333336,196.16666666666666,380.9375,710.1666666666667,60.11904761904761,35.714285714285715
INTNED,Netherlands(BritNed),25,35,58.597619047619055,-431.225,-94.10416666666667,53.166666666666664,292.4791666666667,480.78333333333353,48.92857142857143,46.30952380952381
INTNED,Netherlands(BritNed),26,39,-13.192307692307692,-383.93333333333334,-268.6666666666667,-76.83333333333333,152.0,501.51666666666756,47.22222222222222,50.16025641025641
INTNED,Netherlands(BritNed),27,37,191.70469708839275,-217.33333333333331,-29.375,57.791666666666664,340.375,870.9333333333333,52.43308525917221,28.01116333725029
INTNED,Netherlands(BritNed),28,35,146.5547619047619,-119.69999999999999,-43.8125,0.08333333333333333,308.66666666666663,803.1500000000001,48.214285714285715,29.761904761904763
INTNED,Netherlands(BritNed),29,35,208.92644376899696,-57.758333333333326,0.10416666666666666,57.5,317.875,861.191666666667,52.0048125633232,27.69756838905775
INTNED,Netherlands(BritNed),30,35,182.05595238095236,-179.01666666666665,-24.375,25.375,386.25,746.925,50.77380952380952,28.452380952380953
INTNED,Netherlands(BritNed),31,35,177.4142857142857,-207.59166666666667,0.041666666666666664,172.83333333333334,339.3125,711.6000000000003,48.80952380952381,29.107142857142858
INTNED,Netherlands(BritNed),32,35,169.22619047619048,-242.84166666666658,-64.625,0.08333333333333333,454.1875,803.2500000000001,51.42857142857143,29.70238095238095
INTNED,Netherlands(BritNed),33,35,22.651190476190468,-650.9666666666667,-417.2291666666667,52.125,366.125,787.5000000000005,48.92857142857143,48.095238095238095
INTNED,Netherlands(BritNed),34,35,222.49166666666665,-345.59166666666664,-113.9375,197.75,569.75,881.6833333333334,62.38095238095239,34.88095238095238
INTNED,Netherlands(BritNed),35,35,44.72142857142857,-559.8166666666666,-288.8541666666667,-31.458333333333332,254.79166666666669,906.225,48.80952380952381,47.5
INTNED,Netherlands(BritNed),36,35,38.71785714285715,-463.2833333333333,-366.6458333333333,-101.33333333333333,253.47916666666669,907.8416666666667,49.52380952380952,47.738095238095234
INTNED,Netherlands(BritNed),37,35,24.792857142857144,-534.1666666666666,-447.85416666666663,-61.333333333333336,635.375,799.95,50.416666666666664,47.142857142857146
INTNED,Netherlands(BritNed),38,35,182.56995947315096,-169.98333333333332,0.0,0.375,593.6458333333333,829.8333333333334,40.26215805471124,16.434903748733536
INTNED,Netherlands(BritNed),39,35,18.99880952380952,-584.9083333333333,-453.75,0.375,411.14583333333337,644.6916666666666,45.05952380952381,42.5
INTNED,Netherlands(BritNed),40,35,174.91978216818643,-340.7083333333333,-166.58333333333334,106.70833333333333,525.2708333333333,794.4583333333334,55.714285714285715,40.892857142857146
INTNED,Netherlands(BritNed),41,35,234.5376139817629,-531.075,-254.27083333333334,448.5,680.2708333333333,827.85,60.6547619047619,36.19047619047619
INTNED,Netherlands(BritNed),42,35,166.58333333333334,-397.77500000000003,-219.14583333333331,161.58333333333334,650.5625,768.8416666666667,58.095238095238095,39.107142857142854
INTNED,Netherlands(BritNed),43,35,263.65238095238095,-325.29999999999995,-87.77083333333333,427.375,581.5625,727.3083333333333,62.142857142857146,33.45238095238095
INTNED,Netherlands(BritNed),44,35,353.91309523809525,-136.53333333333333,96.91666666666666,366.375,688.9375,841.5583333333334,68.86904761904762,26.904761904761905
INTNED,Netherlands(BritNed),45,35,66.80357142857143,-744.7916666666666,-456.5625,172.875,484.1875,736.9250000000002,54.226190476190474,40.95238095238095
INTNED,Netherlands(BritNed),46,35,83.28333333333333,-644.1416666666667,-338.5833333333333,58.0,594.5208333333333,901.35,51.25,45.0
INTNED,Netherlands(BritNed),47,35,190.9537878787879,-536.9916666666667,-331.3958333333333,331.625,577.75,884.4,57.00757575757576,38.933982683982684
INTNED,Netherlands(BritNed),48,35,368.97826747720364,-348.06666666666666,223.39583333333334,457.5416666666667,684.0625,931.4457446808511,70.17477203647415,27.559523809523807
INTNED,Netherlands(BritNed),49,35,307.2488095238095,-112.44999999999999,15.083333333333334,322.8333333333333,671.4632092198582,905.362765957447,64.39716312056737,24.352836879432623
INTNED,Netherlands(BritNed),50,35,213.83229483282673,-598.1416666666667,-14.166666666666666,146.95833333333334,670.6276595744681,851.1666666666667,53.15222897669707,24.583333333333332
INTNED,Netherlands(BritNed),51,35,238.27274569402232,-248.1583333333333,0.14583333333333331,134.83333333333334,624.5208333333334,903.3333333333334,57.02380952380952,25.119047619047617
INTNED,Netherlands(BritNed),52,35,317.00210233029384,0.01666666666666668,0.4583333333333333,345.875,492.375,805.4083333333334,57.263171225937185,21.66033434650456
