interconnectorId,interconnectorName,date,observations,mean_signed_mw,median_signed_mw,p10_signed_mw,p90_signed_mw,rolling_7d_mean_signed_mw,rolling_30d_mean_signed_mw,rolling_90d_mean_signed_mw,import_share_pct,export_share_pct,near_zero_share_pct,rolling_7d_import_share_pct,rolling_30d_import_share_pct,rolling_90d_import_share_pct,rolling_7d_export_share_pct,rolling_30d_export_share_pct,rolling_90d_export_share_pct,import_gwh,export_gwh,net_gwh,rolling_7d_import_gwh,rolling_30d_import_gwh,rolling_90d_import_gwh,rolling_7d_export_gwh,rolling_30d_export_gwh,rolling_90d_export_gwh,rolling_7d_net_gwh,rolling_30d_net_gwh,rolling_90d_net_gwh
INTNEM,Belgium (Nemolink),2021-07-01 00:00:00+00:00,48,930.0,962.0,804.0,1018.6,,,,100.0,0.0,0.0,,,,,,,22.32,0.0,22.32,,,,,,,,,
INTNEM,Belgium (Nemolink),2021-07-02 00:00:00+00:00,48,949.1666666666666,998.0,842.0,1020.0,,,,100.0,0.0,0.0,,,,,,,22.78,0.0,22.78,,,,,,,,,
INTNEM,Belgium (Nemolink),2021-07-03 00:00:00+00:00,48,845.8333333333334,875.0,754.0,952.0,908.3333333333334,,,100.0,0.0,0.0,100.0,,,0.0,,,20.3,0.0,20.3,65.4,,,0.0,,,65.4,,
INTNEM,Belgium (Nemolink),2021-07-04 00:00:00+00:00,48,854.0,874.0,706.0,1000.0,894.75,,,100.0,0.0,0.0,100.0,,,0.0,,,20.496,0.0,20.496,85.896,,,0.0,,,85.896,,
INTNEM,Belgium (Nemolink),2021-07-05 00:00:00+00:00,48,792.5416666666666,797.0,652.0,962.0,874.3083333333334,,,100.0,0.0,0.0,100.0,,,0.0,,,19.021,0.0,19.021,104.917,,,0.0,,,104.917,,
INTNEM,Belgium (Nemolink),2021-07-06 00:00:00+00:00,48,861.375,950.0,686.0,1018.0,872.1527777777778,,,100.0,0.0,0.0,100.0,,,0.0,,,20.673000000000002,0.0,20.673000000000002,125.59,,,0.0,,,125.59,,
INTNEM,Belgium (Nemolink),2021-07-07 00:00:00+00:00,48,853.2916666666666,854.0,688.0,1020.0,869.4583333333333,,,100.0,0.0,0.0,100.0,,,0.0,,,20.479,0.0,20.479,146.06900000000002,,,0.0,,,146.06900000000002,,
INTNEM,Belgium (Nemolink),2021-07-08 00:00:00+00:00,48,958.125,1000.0,852.0,1020.0,873.4761904761905,,,100.0,0.0,0.0,100.0,,,0.0,,,22.995,0.0,22.995,146.744,,,0.0,,,146.744,,
INTNEM,Belgium (Nemolink),2021-07-09 00:00:00+00:00,48,897.75,910.0,718.8,1018.6,866.1309523809523,,,100.0,0.0,0.0,100.0,,,0.0,,,21.546,0.0,21.546,145.51000000000002,,,0.0,,,145.51000000000002,,
INTNEM,Belgium (Nemolink),2021-07-10 00:00:00+00:00,48,930.625,974.0,853.4,1020.0,878.2440476190476,887.2708333333334,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,22.335,0.0,22.335,147.545,212.945,,0.0,0.0,,147.545,212.945,
INTNEM,Belgium (Nemolink),2021-07-11 00:00:00+00:00,48,870.9583333333334,863.0,756.0,1018.0,880.6666666666667,885.7878787878788,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,20.903,0.0,20.903,147.952,233.848,,0.0,0.0,,147.952,233.848,
INTNEM,Belgium (Nemolink),2021-07-12 00:00:00+00:00,48,924.8333333333334,995.0,804.0,1020.0,899.5654761904761,889.0416666666666,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,22.196,0.0,22.196,151.12699999999998,256.044,,0.0,0.0,,151.12699999999998,256.044,
INTNEM,Belgium (Nemolink),2021-07-13 00:00:00+00:00,48,920.9166666666666,1000.0,754.0,1020.0,908.0714285714286,891.4935897435897,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,22.102,0.0,22.102,152.556,278.146,,0.0,0.0,,152.556,278.146,
INTNEM,Belgium (Nemolink),2021-07-14 00:00:00+00:00,48,847.625,840.0,704.0,1020.0,907.2619047619048,888.360119047619,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,20.343,0.0,20.343,152.42000000000002,298.48900000000003,,0.0,0.0,,152.42000000000002,298.48900000000003,
INTNEM,Belgium (Nemolink),2021-07-15 00:00:00+00:00,48,814.1666666666666,832.0,644.0,1002.6,886.6964285714286,883.4138888888889,,100.0,0.0,0.0,100.0,100.0,,0.0,0.0,,19.54,0.0,19.54,148.965,318.029,,0.0,0.0,,148.965,318.029,
INTNEM,Belgium (Nemolink),2021-07-16 00:00:00+00:00,48,762.0833333333334,859.0,422.6,1000.0,867.3154761904763,875.8307291666666,,91.66666666666666,8.333333333333332,0.0,98.80952380952381,99.47916666666666,,1.1904761904761905,0.5208333333333333,,19.06,0.77,18.29,146.479,337.089,,0.77,0.77,,145.709,336.319,
INTNEM,Belgium (Nemolink),2021-07-17 00:00:00+00:00,48,839.7083333333334,852.0,730.0,998.0,854.327380952381,873.7058823529412,,100.0,0.0,0.0,98.80952380952381,99.50980392156863,,1.1904761904761905,0.4901960784313725,,20.153,0.0,20.153,144.297,357.242,,0.77,0.77,,143.527,356.472,
INTNEM,Belgium (Nemolink),2021-07-18 00:00:00+00:00,48,881.4583333333334,926.0,706.0,1020.0,855.8273809523808,874.1365740740741,,100.0,0.0,0.0,98.80952380952381,99.53703703703704,,1.1904761904761905,0.4629629629629629,,21.155,0.0,21.155,144.549,378.397,,0.77,0.77,,143.779,377.627,
INTNEM,Belgium (Nemolink),2021-07-19 00:00:00+00:00,48,964.2083333333334,1000.0,854.0,1020.0,861.452380952381,878.8771929824562,,100.0,0.0,0.0,98.80952380952381,99.56140350877193,,1.1904761904761905,0.43859649122807015,,23.141,0.0,23.141,145.494,401.538,,0.77,0.77,,144.724,400.76800000000003,
INTNEM,Belgium (Nemolink),2021-07-20 00:00:00+00:00,48,959.6666666666666,1000.0,902.0,1020.0,866.9880952380952,882.9166666666666,,100.0,0.0,0.0,98.80952380952381,99.58333333333333,,1.1904761904761905,0.4166666666666667,,23.032,0.0,23.032,146.424,424.57,,0.77,0.77,,145.654,423.8,
INTNEM,Belgium (Nemolink),2021-07-21 00:00:00+00:00,48,987.9166666666666,1000.0,950.0,1020.0,887.0297619047618,887.9166666666666,,100.0,0.0,0.0,98.80952380952381,99.60317460317461,,1.1904761904761905,0.3968253968253968,,23.71,0.0,23.71,149.791,448.28,,0.77,0.77,,149.021,447.51,
INTNEM,Belgium (Nemolink),2021-07-22 00:00:00+00:00,48,961.3333333333334,1000.0,854.0,1020.0,908.0535714285714,891.2537878787879,,100.0,0.0,0.0,98.80952380952381,99.62121212121212,,1.1904761904761905,0.37878787878787873,,23.072,0.0,23.072,153.323,471.352,,0.77,0.77,,152.553,470.582,
INTNEM,Belgium (Nemolink),2021-07-23 00:00:00+00:00,48,948.9583333333334,1000.0,846.0,1020.0,934.75,893.7626811594204,,100.0,0.0,0.0,100.0,99.63768115942028,,0.0,0.3623188405797101,,22.775,0.0,22.775,157.038,494.127,,0.0,0.77,,157.03799999999998,493.35699999999997,
INTNEM,Belgium (Nemolink),2021-07-24 00:00:00+00:00,48,878.8333333333334,908.0,708.0,1000.0,940.3392857142857,893.140625,,100.0,0.0,0.0,100.0,99.65277777777779,,0.0,0.3472222222222222,,21.092,0.0,21.092,157.977,515.219,,0.0,0.77,,157.97699999999998,514.449,
INTNEM,Belgium (Nemolink),2021-07-25 00:00:00+00:00,48,938.5833333333334,962.0,852.0,1020.0,948.5,894.9583333333333,,100.0,0.0,0.0,100.0,99.66666666666667,,0.0,0.3333333333333333,,22.526,0.0,22.526,159.348,537.745,,0.0,0.77,,159.34799999999998,536.975,
INTNEM,Belgium (Nemolink),2021-07-26 00:00:00+00:00,48,960.8333333333334,1000.0,876.0,1020.0,948.0178571428571,897.4919871794872,,100.0,0.0,0.0,100.0,99.67948717948718,,0.0,0.3205128205128205,,23.06,0.0,23.06,159.267,560.805,,0.0,0.77,,159.267,560.035,
INTNEM,Belgium (Nemolink),2021-07-27 00:00:00+00:00,48,954.9583333333334,1000.0,852.0,1020.0,947.3452380952382,899.6203703703703,,100.0,0.0,0.0,100.0,99.69135802469135,,0.0,0.30864197530864196,,22.919,0.0,22.919,159.154,583.724,,0.0,0.77,,159.154,582.954,
INTNEM,Belgium (Nemolink),2021-07-28 00:00:00+00:00,48,878.25,926.0,730.0,1018.6,931.6785714285714,898.8571428571429,,100.0,0.0,0.0,100.0,99.70238095238095,,0.0,0.2976190476190476,,21.078,0.0,21.078,156.522,604.802,,0.0,0.77,,156.522,604.032,
INTNEM,Belgium (Nemolink),2021-07-29 00:00:00+00:00,48,839.9583333333334,804.0,686.0,1020.0,914.3392857142859,896.8261494252873,,100.0,0.0,0.0,100.0,99.71264367816092,,0.0,0.2873563218390804,,20.159,0.0,20.159,153.60899999999998,624.961,,0.0,0.77,,153.609,624.191,
