interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_import_share_pct,mean_export_share_pct
INTNEM,Belgium (Nemolink),1,35,620.9345238095237,311.40000000000003,436.5,675.375,823.0208333333333,892.225,86.9047619047619,12.797619047619046
INTNEM,Belgium (Nemolink),2,35,413.9596757852077,-161.14166666666665,34.16666666666667,506.7083333333333,772.5,896.7916666666666,74.12740628166159,24.384498480243163
INTNEM,Belgium (Nemolink),3,35,200.9841100979399,-616.175,-244.25,215.08333333333334,717.5833333333334,875.6553191489362,62.05952380952382,36.92857142857143
INTNEM,Belgium (Nemolink),4,35,374.5083333333333,-126.14166666666667,151.0,449.625,696.5625,818.9333333333334,74.4047619047619,24.821428571428573
INTNEM,Belgium (Nemolink),5,35,400.0034447821682,-314.2083333333333,161.29166666666669,433.5833333333333,784.7291666666667,922.3583333333333,73.03571428571429,26.547619047619047
INTNEM,Belgium (Nemolink),6,35,369.8977456940223,-367.45,27.666666666666664,528.6666666666666,731.0394503546099,910.1166666666667,67.71403242147923,24.010891590678824
INTNEM,Belgium (Nemolink),7,35,387.58219351570415,-390.92499999999995,61.02083333333334,604.2916666666666,752.1467198581561,848.3083333333334,72.25937183383992,27.204913880445798
INTNEM,Belgium (Nemolink),8,35,499.8369047619048,50.500000000000014,238.47916666666669,541.25,830.4375,952.25,81.13095238095238,17.55952380952381
INTNEM,Belgium (Nemolink),9,35,483.1657294832827,-69.46666666666665,271.0208333333333,588.4166666666666,804.9791666666667,889.35,80.04939209726443,19.593465045592705
INTNEM,Belgium (Nemolink),10,35,547.7701874366768,188.89166666666668,337.2708333333333,614.875,715.1041666666666,897.4416666666667,83.33333333333333,15.595238095238097
INTNEM,Belgium (Nemolink),11,35,456.5690476190476,-103.225,248.27083333333334,520.875,757.5416666666667,898.2333333333333,77.32142857142857,22.26190476190476
INTNEM,Belgium (Nemolink),12,35,548.2535714285714,153.68333333333334,468.27083333333337,534.0,757.8958333333334,871.5250000000001,82.79761904761904,16.666666666666668
INTNEM,Belgium (Nemolink),13,35,496.0869047619048,52.37500000000003,223.89583333333331,573.875,763.2083333333334,873.3416666666666,80.53571428571429,19.166666666666668
INTNEM,Belgium (Nemolink),14,35,455.7738095238095,1.1416666666666706,194.3125,481.5833333333333,798.875,952.4833333333333,77.97619047619047,21.13095238095238
INTNEM,Belgium (Nemolink),15,35,288.42261904761904,-151.825,96.14583333333333,301.7916666666667,562.7291666666666,712.45,68.92857142857143,30.297619047619044
