interconnectorId,interconnectorName,month,month_name,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTNSL,North Sea Link (INTNSL),1,Jan,7434,3717.0,84.01937046004842,15.684691955878396,0.29593758407317733,769.0059187516815,986.0,-738.0,470.0,1398.0,1398.0,1014.1277617675312,529.5471698113207,1400.0,1454.0,3167.121,308.726,2858.395,3475.8469999999998
INTNSL,North Sea Link (INTNSL),2,Feb,6764,3382.0,81.59373151981076,18.287995269071555,0.11827321111768185,735.9124778237729,1090.0,-1445.6999999999998,568.0,1398.0,1398.0,1114.2043848523283,947.1156022635408,1400.0,1454.0,3074.647,585.791,2488.8559999999998,3660.438
INTNSL,North Sea Link (INTNSL),3,Mar,7438,3719.0,91.97364883033073,7.999462221027158,0.026888948642108095,940.3756386125302,1076.0,-614.0,712.0,1398.0,1398.0,1092.1558251717586,801.5529411764705,1400.0,1454.0,3735.7189999999996,238.46200000000002,3497.257,3974.181
INTNSL,North Sea Link (INTNSL),4,Apr,7199,3599.5,81.13626892623975,18.738713710237533,0.12501736352271148,711.0079177663564,998.0,-1240.0,405.0,1398.0,1398.0,1035.9578839239857,691.240919199407,1400.0,1454.0,3025.5150000000003,466.2420000000001,2559.273,3491.757
INTNSL,North Sea Link (INTNSL),5,May,7440,3720.0,80.02688172043011,19.422043010752688,0.5510752688172043,844.202688172043,1296.0,-738.0,366.0,1398.0,1400.0,1176.5424924420558,501.2221453287197,1400.0,1454.0,3502.567,362.13300000000004,3140.434,3864.7
INTNSL,North Sea Link (INTNSL),6,Jun,7198,3599.0,84.37065851625451,14.295637677132536,1.333703806612948,835.0036121144763,1169.0,-648.5999999999999,454.0,1396.0,1400.0,1063.637740820023,436.4586977648202,1420.0,1454.0,3229.7360000000003,224.558,3005.1780000000003,3454.2940000000003
INTNSL,North Sea Link (INTNSL),7,Jul,5948,2974.0,87.81102891728312,12.1049092131809,0.08406186953597848,1010.527908540686,1396.0,-688.0,918.0,1398.0,1400.0,1231.3639670687344,584.4361111111111,1846.0,1454.0,3215.7070000000003,210.397,3005.3100000000004,3426.1040000000003
INTNSL,North Sea Link (INTNSL),8,Aug,5952,2976.0,77.67137096774194,16.767473118279568,5.561155913978495,797.9872311827957,1200.0,-746.0,93.5,1398.0,1400.0,1144.256543370106,541.3607214428857,1428.0,1448.0,2644.949,270.139,2374.81,2915.088
INTNSL,North Sea Link (INTNSL),9,Sep,5759,2879.5,72.14794235110263,24.13613474561556,3.7159229032818195,727.2759159576316,1398.0,-1134.0,0.0,1398.0,1400.0,1274.7576413959086,797.2920863309353,1400.0,1454.0,2648.309,554.118,2094.191,3202.427
INTNSL,North Sea Link (INTNSL),10,Oct,7391,3695.5,70.85644703017184,13.814098227574076,15.329454742254093,664.6543092950886,694.0,-870.0,0.0,1398.0,1398.0,1059.414550315066,622.6190009794319,1400.0,1454.0,2774.077,317.847,2456.23,3091.924
INTNSL,North Sea Link (INTNSL),11,Nov,7196,3598.0,88.45191773207337,11.353529738743747,0.19455252918287938,846.6281267370762,1024.0,-620.5,694.0,1398.0,1398.0,1034.542655145326,602.8494492044064,1400.0,1454.0,3292.432,246.26399999999998,3046.168,3538.696
INTNSL,North Sea Link (INTNSL),12,Dec,7433,3716.5,83.1831023812727,16.54782725682766,0.2690703618996368,715.5600699582941,698.0,-940.0,390.0,1398.0,1398.0,979.7803655183568,600.9951219512195,1400.0,1454.0,3028.991,369.612,2659.379,3398.603
