interconnectorId,interconnectorName,month,month_name,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTVKL,Denmark (Viking link),1,Jan,4464,2232.0,75.98566308243727,22.06541218637993,1.9489247311827957,514.780017921147,674.0,-779.7,21.5,990.0,1422.0,825.4640330188679,509.64060913705583,1426.0,1402.0,1399.987,250.99800000000002,1148.989,1650.9850000000001
INTVKL,Denmark (Viking link),2,Feb,4080,2040.0,59.411764705882355,34.11764705882353,6.470588235294119,270.3205882352941,322.0,-1092.0,-468.0,988.0,1422.0,875.6188118811881,732.4655172413793,1426.0,1100.0,1061.25,509.79600000000005,551.454,1571.046
INTVKL,Denmark (Viking link),3,Mar,4464,2232.0,72.2894265232975,27.374551971326166,0.33602150537634407,464.6648745519713,776.0,-1078.0,-118.5,990.0,1420.0,884.1896498295631,637.4926350245499,1428.0,1100.0,1426.6399999999999,389.50800000000004,1037.132,1816.1480000000001
INTVKL,Denmark (Viking link),4,Apr,4320,2160.0,52.87037037037037,39.791666666666664,7.337962962962963,187.82638888888889,125.0,-1092.0,-474.0,978.0,1420.0,841.723292469352,646.3560209424083,1430.0,1456.0,961.248,555.5430000000001,405.70500000000004,1516.7910000000002
INTVKL,Denmark (Viking link),5,May,4464,2232.0,49.30555555555556,21.258960573476703,29.435483870967744,303.74417562724017,0.0,-1047.4,0.0,822.5,1424.0,894.1462971376646,644.9968387776607,1430.0,1452.0,984.008,306.05100000000004,677.957,1290.059
INTVKL,Denmark (Viking link),6,Jun,4318,2159.0,58.730893932376105,35.66465956461325,5.604446503010653,271.6137100509495,400.0,-1340.0,-454.0,992.0,1426.0,933.8406940063091,776.2285714285714,1430.0,1454.0,1184.11,597.6959999999999,586.414,1781.8059999999998
INTVKL,Denmark (Viking link),7,Jul,2976,1488.0,62.634408602150536,36.96236559139785,0.4032258064516129,295.68145161290323,534.0,-1092.0,-470.0,990.0,1420.0,872.6201716738198,678.7418181818182,1436.0,1098.0,813.2819999999999,373.30800000000005,439.974,1186.5900000000001
INTVKL,Denmark (Viking link),8,Aug,2976,1488.0,41.263440860215056,36.45833333333333,22.278225806451612,37.23454301075269,0.0,-1092.0,-603.0,752.0,1066.0,776.6677524429967,776.9013824884793,1428.0,1098.0,476.874,421.46900000000005,55.40499999999999,898.3430000000001
INTVKL,Denmark (Viking link),9,Sep,2880,1440.0,64.34027777777777,35.55555555555556,0.10416666666666667,301.6666666666667,611.0,-1092.0,-582.0,990.0,1424.0,901.2325957906098,782.40625,1428.0,1454.0,834.992,400.592,434.4,1235.5839999999998
INTVKL,Denmark (Viking link),10,Oct,2976,1488.0,70.7997311827957,28.62903225806452,0.571236559139785,474.2654569892473,796.0,-1090.0,-178.5,1177.0,1424.0,957.3792121499763,711.0140845070423,1428.0,1454.0,1008.5989999999999,302.89200000000005,705.707,1311.491
INTVKL,Denmark (Viking link),11,Nov,2880,1440.0,56.25,38.958333333333336,4.791666666666667,231.17222222222222,290.0,-1094.0,-634.0,992.0,1424.0,939.6876543209877,763.3850267379679,2480.0,1454.0,761.1469999999999,428.259,332.888,1189.4060000000002
INTVKL,Denmark (Viking link),12,Dec,3072,1536.0,71.12630208333334,28.580729166666668,0.29296875,511.53515625,784.0,-1092.9,-250.0,1382.0,1424.0,1023.6897025171625,757.7744874715262,1426.0,1098.0,1118.3809999999999,332.663,785.718,1451.044
