interconnectorId,interconnectorName,season,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTELEC,Eleclink (INTELEC),Autumn,17471,8735.5,49.76246351096102,28.510102455497684,21.727434033541297,181.95661381718276,0.0,-1024.0,-167.0,994.0,998.0,807.4791810443984,771.1824934752058,1002.0,1028.0,3510.112,1920.6299999999999,1589.482,5430.742
INTELEC,Eleclink (INTELEC),Spring,18002,9001.0,89.4122875236085,6.1715364959448955,4.416175980446617,761.9584490612154,996.0,-120.0,722.0,998.0,998.0,883.6621520874752,456.030603060306,1260.0,1026.0,7111.713000000001,253.325,6858.388000000001,7365.0380000000005
INTELEC,Eleclink (INTELEC),Summer,19098,9549.0,67.89716200649283,26.871923761650436,5.230914231856739,363.38182008587285,686.0,-1020.0,-70.0,996.0,998.0,803.350042415362,677.5475448168355,1102.0,1026.0,5208.52,1738.5870000000002,3469.9330000000004,6947.107
INTELEC,Eleclink (INTELEC),Winter,17327,8663.5,64.93911236798061,16.240549431523057,18.820338200496337,406.0132740809142,434.0,-668.7999999999997,0.0,996.0,998.0,740.2088517596871,459.7860696517413,1002.0,1024.0,4164.415,646.9190000000001,3517.496,4811.334000000001
INTEW,Ireland(East-West),Autumn,21832,10916.0,19.39813118358373,55.83089043605717,24.770978380359107,-150.54873580065959,-46.0,-530.0,-472.0,0.0,376.0,227.47438016528926,348.6860283862499,504.0,542.0,481.677,2125.067,-1643.39,2606.744
INTEW,Ireland(East-West),Spring,22077,11038.5,8.56547538161888,45.08311817728858,46.35140644109254,-146.9884495175975,0.0,-530.0,-392.0,0.0,112.0,198.35748281332627,363.7253089520747,504.0,588.0,187.547,1810.0790000000002,-1622.532,1997.6260000000002
INTEW,Ireland(East-West),Summer,22074,11037.0,15.416326900425839,61.805744314578234,22.777928784995925,-188.07076198242277,-144.0,-532.0,-516.0,0.0,324.0,236.57126065236557,363.3017664736495,504.0,536.0,402.52600000000007,2478.263,-2075.737,2880.7889999999998
INTEW,Ireland(East-West),Winter,21631,10815.5,24.24760760020341,48.62003605935925,27.132356340437337,-104.35939161388748,0.0,-532.0,-376.0,0.0,476.0,241.33574833174453,335.0008557573453,504.0,532.0,632.9029999999999,1761.602,-1128.699,2394.505
INTFR,France(IFA),Autumn,21832,10916.0,62.16104800293147,23.67625503847563,14.16269695859289,493.3228288750458,510.0,-1022.0,0.0,1002.0,1978.0,1028.1464888364897,615.7384407041981,2010.0,1532.0,6976.487999999999,1591.3760000000002,5385.112,8567.864000000001
INTFR,France(IFA),Spring,22077,11038.5,80.30076550255923,19.531639262580967,0.16759523485980884,864.3140825293292,1004.0,-1026.0,366.0,1504.0,2000.0,1224.5434341155235,609.2866419294991,2142.0,2056.0,10854.353,1313.622,9540.731,12167.975000000002
INTFR,France(IFA),Summer,22074,11037.0,75.21065506931231,24.64437800126846,0.14496692941922623,848.8355531394401,1252.0,-1032.0,10.5,1710.0,2006.0,1372.3969401276954,743.995955882353,2548.0,2054.0,11392.267,2023.6690000000003,9368.598,13415.936000000002
