interconnectorId_a,interconnectorId_b,common_half_hours,pearson_signed_mw_corr,mean_a_signed_mw,mean_b_signed_mw
INTELEC,INTEW,71898,-0.34435308953986,429.36657486995466,-179.12300759409163
INTELEC,INTFR,71898,0.749108783482274,429.36657486995466,807.7240535202649
INTELEC,INTGRNL,24814,-0.20889923915968683,769.0011283952607,-338.1699846860643
INTELEC,INTIFA2,71898,0.770537149286079,429.36657486995466,363.8999137667251
INTELEC,INTIRL,71898,-0.3936202161804822,429.36657486995466,-212.47364321677932
INTELEC,INTNED,71898,0.1954661739046579,429.36657486995466,152.22198113994827
INTELEC,INTNEM,71898,0.4282562817916736,429.36657486995466,271.55612117165987
INTELEC,INTNSL,71898,0.30014641373640794,429.36657486995466,836.8082839578292
INTELEC,INTVKL,43870,-0.020400014041868305,673.6107590608616,326.4984271711876
INTEW,INTFR,87614,-0.3710192103984332,-147.70146323646907,716.9456707832081
INTEW,INTGRNL,24814,0.4374887805172269,-184.53300556137665,-338.1699846860643
INTEW,INTIFA2,87614,-0.3203680383718547,-147.70146323646907,328.42653000661994
INTEW,INTIRL,87614,0.7291631068902792,-147.70146323646907,-181.93254502705048
INTEW,INTNED,87614,-0.10463810313325662,-147.70146323646907,233.29244184719337
INTEW,INTNEM,87614,-0.21681704207089894,-147.70146323646907,326.3672244161892
INTEW,INTNSL,83152,-0.22563445126561552,-147.905714835482,798.1884019626708
INTEW,INTVKL,43870,-0.12213662953568832,-234.75272395714612,326.4984271711876
INTFR,INTGRNL,24814,-0.2059293457755145,1196.731119529298,-338.1699846860643
INTFR,INTIFA2,87614,0.7453943305803663,716.9456707832081,328.42653000661994
INTFR,INTIRL,87614,-0.40738890745608247,716.9456707832081,-181.93254502705048
INTFR,INTNED,87614,0.16469338957233118,716.9456707832081,233.29244184719337
INTFR,INTNEM,87614,0.4180877899320244,716.9456707832081,326.3672244161892
INTFR,INTNSL,83152,0.3580748189025933,682.0450259765249,798.1884019626708
INTFR,INTVKL,43870,0.07122268748211022,1167.8838386140872,326.4984271711876
INTGRNL,INTIFA2,24814,-0.20221284861631417,-338.1699846860643,691.1250906746192
INTGRNL,INTIRL,24814,0.744181117576406,-338.1699846860643,-253.91738534698155
INTGRNL,INTNED,24814,-0.22356168899427767,-338.1699846860643,92.24526476988797
INTGRNL,INTNEM,24814,-0.2616585036435932,-338.1699846860643,240.77931812686387
INTGRNL,INTNSL,24814,-0.1643982698762679,-338.1699846860643,804.5067300717337
INTGRNL,INTVKL,24814,-0.14324870096215417,-338.1699846860643,244.12114129120658
INTIFA2,INTIRL,87614,-0.37667947500582927,328.42653000661994,-181.93254502705048
INTIFA2,INTNED,87614,0.19179306560891135,328.42653000661994,233.29244184719337
INTIFA2,INTNEM,87614,0.4208310411169574,328.42653000661994,326.3672244161892
INTIFA2,INTNSL,83152,0.3376490934971073,303.1159082162786,798.1884019626708
INTIFA2,INTVKL,43870,0.002683758266849288,598.3359471164805,326.4984271711876
INTIRL,INTNED,87614,-0.13671929411063286,-181.93254502705048,233.29244184719337
INTIRL,INTNEM,87614,-0.2430446341149641,-181.93254502705048,326.3672244161892
INTIRL,INTNSL,83152,-0.2504667041886724,-181.49665672503366,798.1884019626708
INTIRL,INTVKL,43870,-0.14193079776623208,-264.81901071347164,326.4984271711876
INTNED,INTNEM,87614,0.6946557880036001,233.29244184719337,326.3672244161892
INTNED,INTNSL,83152,0.2580941349519122,204.37168077737155,798.1884019626708
INTNED,INTVKL,43870,0.5854510157661024,127.25010257579211,326.4984271711876
INTNEM,INTNSL,83152,0.3385768551954982,299.3581633634789,798.1884019626708
INTNEM,INTVKL,43870,0.4605343869336177,340.63847731935266,326.4984271711876
INTNSL,INTVKL,43870,0.3355481065225053,936.9711420104856,326.4984271711876
