interconnectorId,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw,mean_export_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,mean_active_capacity_mw,mean_signed_pct_active_capacity,mean_import_pct_active_capacity_when_importing,mean_export_pct_active_capacity_when_exporting,mean_available_interconnector_count,mean_missing_interconnector_count,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw
INTELEC,Eleclink (INTELEC),FRANCE,1260,2022-05-24 23:00:00+00:00,2026-06-30 22:30:00+00:00,71898,71904,6,99.99165554072096,35949.0,49009,14038,8851,68.16462210353556,19.524882472391443,12.310495424072993,import,429.36657486995466,742.0,-1020.0,0.0,996.0,998.0,556.1979470917132,126.8313722217586,815.9627823460997,649.5884029063969,1260,1028,1260,1020.0,34.07671229126624,58.88888888888889,-80.95238095238095,79.2063492063492,64.75895097984917,51.55463515130135,100.0,80.95238095238095,,,,,,,19994.760000000002,4559.460999999999,15435.299,24554.221,1207,24.17256581783792,68.99496508943224,7.831928565467745,0.0,2.1266238282010628,5.705304737266683,2263.0,1.0
INTEW,Ireland(East-West),IRELAND,588,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,87614,87646,32,99.96348949181937,43807.0,14774,46302,26538,16.862601867281484,52.84771840116876,30.28967973154975,export,-147.70146323646907,-20.0,-532.0,-454.0,0.0,350.0,38.9127993243089,186.61426256077795,230.76390957086775,353.1169711891495,504,588,588,532.0,-25.119296468787255,-3.4013605442176873,-90.47619047619048,59.523809523809526,39.245562852188385,60.05390666482135,100.0,90.47619047619048,,,,,,,1704.653,8175.011,-6470.358,9879.664,2308,37.92024644874209,25.07475974159381,0.0,0.0,0.0,0.0,1087.0,1.0
INTFR,France(IFA),FRANCE,2630,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,87614,87646,32,99.96348949181937,43807.0,63643,20761,3210,72.64021731686718,23.695984659985847,3.6637980231469855,import,716.9456707832081,996.0,-1028.0,0.0,1502.0,2004.0,874.134864291095,157.18919350788687,1203.3758936568045,663.3579307355137,2630,2072,2630,2004.0,27.260291664760764,37.870722433460074,-39.08745247148289,76.19771863117872,45.75573740139941,25.222735008954896,100.0,76.19771863117872,,,,,,,38293.226,6885.987000000001,31407.239,45179.213,2442,40.12185521136402,78.14162120209099,55.21149587965394,28.523980185815052,48.299358550003426,6.912137329650513,685.0,1.0
INTGRNL,Ireland (Greenlink),IRELAND,518,2025-01-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,24814,24814,0,100.0,12407.0,3487,20581,746,14.052550979285888,82.94108164745708,3.0063673732570324,export,-338.1699846860643,-512.0,-514.0,-514.0,-214.0,204.0,28.945353429515595,367.1153381155799,205.9793518784055,442.6218356736796,506,518,518,514.0,-65.28378082742553,-98.84169884169884,-99.22779922779922,39.38223938223938,39.764353644479826,85.44823082503467,100.0,99.22779922779922,,,,,,,359.125,4554.800000000001,-4195.675000000001,4913.925000000001,632,36.67754805948495,54.69896026436689,0.0,0.0,0.0,0.0,181.5,1.0
INTIFA2,IFA2 (INTIFA2),FRANCE,1626,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,87614,87646,32,99.96348949181937,43807.0,54107,33440,67,61.75611203688908,38.16741616636611,0.07647179674481247,import,328.42653000661994,504.0,-1028.0,-4.0,992.0,992.0,485.4746045152601,157.04807450864018,786.1158814940766,411.47159090909093,1398,1626,1626,1028.0,20.198433579742925,30.996309963099634,-63.22263222632226,61.00861008610086,48.34661017798748,25.305755898468075,100.0,63.22263222632226,,,,,,,21267.186,6879.805,14387.381,28146.991,2026,33.287010097552624,65.42789965074076,8.342274065788573,0.001141370100668843,0.010272330906019587,8.332001734882553,1.5,1.0
INTIRL,Northern Ireland(Moyle),IRELAND,682,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,87614,87646,32,99.96348949181937,43807.0,21488,60867,5259,24.525760723172098,69.47177391741046,6.002465359417445,export,-181.93254502705048,-272.0,-452.0,-450.0,0.0,366.0,53.157486246490286,235.09003127354075,216.7414370811616,338.39647099413475,682,592,682,452.0,-26.676326250300654,-39.882697947214076,-66.27565982404691,53.665689149560116,31.780269366739237,49.618250878905386,100.0,66.27565982404691,,,,,,,2328.67,10298.589,-7969.919,12627.259,3292,54.08728392948828,0.0159791814093638,0.0,0.0,0.0,0.0,298.5,1.0
INTNED,Netherlands(BritNed),NETHERLANDS,1402,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,87614,87646,32,99.96348949181937,43807.0,51894,27494,8226,59.230260004108935,31.38082954778917,9.388910448101901,import,233.29244184719337,336.0,-1016.0,-312.0,952.0,1050.0,440.26354235624444,206.97110050905107,743.3084749682045,659.5463010111297,1402,1094,1402,1054.0,16.63997445415074,23.96576319543509,-72.46790299572041,74.89300998573466,53.01772289359518,47.04324543588657,100.0,75.17831669044223,,,,,,,19286.625,9066.783000000001,10219.842,28353.408000000003,3955,64.98031832962519,65.02842011550666,29.50555847239026,0.0,21.643801218983267,7.8617572534069895,127.0,1.0
INTNEM,Belgium (Nemolink),BELGIUM,1366,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,87614,87646,32,99.96348949181937,43807.0,60216,25285,2113,68.72874198187505,28.85954299541169,2.411715022713265,import,326.3672244161892,514.0,-1000.0,-128.0,952.0,1016.0,489.52055607551307,163.15333165932384,712.2501328550551,565.3358117460946,1366,1044,1366,1020.0,23.892183339398915,37.62811127379209,-73.20644216691069,74.37774524158127,52.14129815922805,41.38622340747398,100.0,74.67057101024889,,,,,,,21444.427000000003,7147.258000000001,14297.168999999998,28591.685,4149,68.1677220605853,66.46312233204739,22.09464240874746,0.0,17.06234163489853,5.032300773848928,200.0,1.0
INTNSL,North Sea Link (INTNSL),NORWAY2,1846,2021-10-01 23:00:00+00:00,2026-06-30 22:30:00+00:00,83152,83184,32,99.96153106366609,41576.0,68260,12997,1895,82.09062920915913,15.63041177602463,2.27895901481624,import,798.1884019626708,1096.0,-892.0,484.0,1398.0,1400.0,898.1087646719261,99.92036270925534,1094.0454145912686,639.2689082095868,1846,1454,1846,1400.0,43.238808340339695,59.37161430119177,-48.320693391115924,75.83965330444204,59.265732101368826,34.62995169066018,100.0,75.83965330444204,,,,,,,37339.77,4154.289,33185.481,41494.059,1382,23.92411911087602,83.67567827592842,59.49706561477775,0.002405233788724264,55.0305464691168,4.466519145660959,269.0,1.0
INTVKL,Denmark (Viking link),DENMARK1,2480,2023-12-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,43870,43870,0,100.0,21935.0,26921,13868,3081,61.365397766127195,31.61157966719854,7.023022566674266,import,326.4984271711876,478.0,-1092.0,-304.0,990.0,1424.0,548.462183724641,221.96375655345338,893.7645704097173,702.1596481107586,2480,1456,2480,1424.0,13.165259160128532,19.274193548387096,-44.03225806451613,57.41935483870968,36.03889396813376,28.312889036724133,100.0,57.41935483870968,,,,,,,12030.518,4868.775,7161.743,16899.293,1831,60.102578130342614,70.48780487804878,31.714155459311606,0.0045589240939138366,21.13061317529063,10.58354228402097,324.0,1.0
