interconnectorId,interconnectorName,first_rolling_date,last_rolling_date,rolling_days,duration_years,calendar_years_touched,mean_capacity_mw,mean_active_capacity_mw,mean_available_interconnector_count,start_90d_rolling30_mean_signed_mw,end_90d_rolling30_mean_signed_mw,delta_rolling30_mean_signed_mw,slope_rolling30_mean_signed_mw_per_year,r2_rolling30_mean_signed_mw,endpoint_days_used_mean_signed_mw,trend_observations_mean_signed_mw,start_90d_rolling30_mean_import_mw,end_90d_rolling30_mean_import_mw,delta_rolling30_mean_import_mw,slope_rolling30_mean_import_mw_per_year,r2_rolling30_mean_import_mw,endpoint_days_used_mean_import_mw,trend_observations_mean_import_mw,start_90d_rolling30_mean_export_mw,end_90d_rolling30_mean_export_mw,delta_rolling30_mean_export_mw,slope_rolling30_mean_export_mw_per_year,r2_rolling30_mean_export_mw,endpoint_days_used_mean_export_mw,trend_observations_mean_export_mw,start_90d_rolling30_import_share_pct,end_90d_rolling30_import_share_pct,delta_rolling30_import_share_pct,slope_rolling30_import_share_pct_per_year,r2_rolling30_import_share_pct,endpoint_days_used_import_share_pct,trend_observations_import_share_pct,start_90d_rolling30_export_share_pct,end_90d_rolling30_export_share_pct,delta_rolling30_export_share_pct,slope_rolling30_export_share_pct_per_year,r2_rolling30_export_share_pct,endpoint_days_used_export_share_pct,trend_observations_export_share_pct,start_90d_rolling30_mean_signed_pct_capacity,end_90d_rolling30_mean_signed_pct_capacity,delta_rolling30_mean_signed_pct_capacity,slope_rolling30_mean_signed_pct_capacity_per_year,r2_rolling30_mean_signed_pct_capacity,endpoint_days_used_mean_signed_pct_capacity,trend_observations_mean_signed_pct_capacity,start_90d_rolling30_mean_signed_pct_active_capacity,end_90d_rolling30_mean_signed_pct_active_capacity,delta_rolling30_mean_signed_pct_active_capacity,slope_rolling30_mean_signed_pct_active_capacity_per_year,r2_rolling30_mean_signed_pct_active_capacity,endpoint_days_used_mean_signed_pct_active_capacity,trend_observations_mean_signed_pct_active_capacity,trend_label
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,1826,4.996577686516085,6,14398.0,12463.953952172325,8.550543081416576,3602.3234372828847,3622.638866076221,20.315428793336196,585.5506510683279,0.19105454659952925,90,1817,3605.7180514804154,3870.605912506709,264.88786102629365,428.8216643606074,0.2312714078503041,90,1817,3.3946141975308644,247.9670464304884,244.57243223295754,-156.72898670771974,0.09707962734227316,90,1817,99.26620370370371,87.09462731159532,-12.171576392108392,5.186211234729039,0.09512543059217482,90,1817,0.7337962962962962,12.868333505039578,12.134537208743282,-5.150679454638805,0.09387743479323996,90,1817,25.019609926954335,25.160708890653016,0.14109896369868125,4.06688881142053,0.19105454659952925,90,1817,43.391342684485515,25.160708890653016,-18.2306337938325,2.4578461218176835,0.048089629407377155,90,1817,no_clear_pattern
INTELEC,Eleclink (INTELEC),2022-05-24 00:00:00+00:00,2026-06-30 00:00:00+00:00,1499,4.101300479123887,5,1260.0,,,-634.7440536047428,903.7464425657541,1538.490496170497,301.9335894384246,0.46461394044434723,90,1490,8.571704286965321,908.3588345410627,899.7871302540974,162.5104781761086,0.33693754368060436,90,1490,643.3157578917082,4.612391975308642,-638.7033659163995,-139.42311126231598,0.46581340827421325,90,1490,2.6114552904232156,98.39194096739298,95.78048567696976,15.355992006180562,0.2532242203885733,90,1490,80.3561551028059,1.3055705798519892,-79.05058452295391,-17.816382272486866,0.5629449876416432,90,1490,-50.376512190852615,71.72590814013923,122.10242033099183,23.96298328876385,0.4646139404443471,90,1490,,,,,,0,0,more_importing
INTEW,Ireland(East-West),2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,1826,4.996577686516085,6,588.0,,,-168.78536722757192,-148.44184447128285,20.343522756289076,-57.1214035103884,0.3080519725590618,90,1817,14.328561635423016,3.7234997316156733,-10.605061903807343,-20.711236113025706,0.3506140099945415,90,1817,183.11392886299498,152.16534420289855,-30.94858466009643,36.41016739736271,0.2247979756010301,90,1817,9.356554954098366,4.250099804254882,-5.106455149843484,-7.448380504880294,0.3858597296325953,90,1817,58.31595146114226,41.04258636824122,-17.273365092901045,6.5444760549533285,0.15885076017565192,90,1817,-28.70499442645782,-25.245211644775996,3.459782781681824,-9.714524406528643,0.3080519725590618,90,1817,,,,,,0,0,no_clear_pattern
INTFR,France(IFA),2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,1826,4.996577686516085,6,2630.0,,,1515.117133690386,1182.543727858293,-332.57340583209293,284.703966935824,0.34930793346902844,90,1817,1515.6060225792746,1190.5558420558239,-325.05018052345076,208.06432190009727,0.3311264311065909,90,1817,0.4888888888888888,8.012114197530865,7.523225308641976,-76.6396450357268,0.2736767888674667,90,1817,89.44367283950618,97.22294124212299,7.7792684026168075,14.13581140701791,0.435538409590406,90,1817,0.34722222222222215,2.7029836106389213,2.355761388416699,-11.112922912485743,0.33221051985535166,90,1817,57.60901649012876,44.96363984252065,-12.64537664760811,10.825245891095971,0.34930793346902844,90,1817,,,,,,0,0,mixed_or_step_change
INTGRNL,Ireland (Greenlink),2025-01-30 00:00:00+00:00,2026-06-30 00:00:00+00:00,517,1.4127310061601643,2,518.0,,,-302.119219922319,-356.7418518518519,-54.62263192953287,-0.5340466578961066,1.6432454388537465e-05,90,508,47.33802202721352,13.841141975308641,-33.49688005190488,-17.74329290826432,0.1530779217839675,90,508,349.45724194953254,370.58299382716046,21.12575187762792,-17.209246250368107,0.02955786666607374,90,508,17.197070591115402,13.165229700029187,-4.031840891086215,2.1848953890155025,0.02359709785525188,90,508,79.68152188265208,83.90524390872096,4.223722026068884,-2.365384580718943,0.019956924010290145,90,508,-58.324173730177414,-68.86908336908337,-10.544909638905956,-0.10309781040465049,1.6432454388648488e-05,90,508,,,,,,0,0,more_exporting
INTIFA2,IFA2 (INTIFA2),2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,1826,4.996577686516085,6,1626.0,,,806.6096216270519,791.618935856146,-14.990685770905884,183.84562088686258,0.27276747123358325,90,1817,809.1654898603811,797.3676549919485,-11.797834868432574,91.77410840812782,0.18537257137085383,90,1817,2.555868233329096,5.748719135802469,3.1928509024733733,-92.07151247873465,0.2814455973762775,90,1817,98.12142688282198,87.37900612132763,-10.742420761494344,8.08235066681493,0.11953331225399733,90,1817,1.8091286727335787,12.620993878672367,10.811865205938789,-8.073286688928656,0.11914294474587728,90,1817,49.6069877999417,48.68505140566704,-0.9219363942746597,11.306618750729557,0.27276747123358325,90,1817,,,,,,0,0,no_clear_pattern
INTIRL,Northern Ireland(Moyle),2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,1826,4.996577686516085,6,682.0,,,-207.46780344728617,-262.11445048309173,-54.64664703580556,-61.182720469996255,0.4040611416422466,90,1817,32.42734378954579,12.021619028448738,-20.405724761097048,-23.931730477297656,0.4325256847633858,90,1817,239.89514723683195,274.13606951154054,34.240922274708595,37.25098999269863,0.3272187188906618,90,1817,18.239607380365115,10.514854736516767,-7.724752643848348,-9.634084129722886,0.45323969234457295,90,1817,74.22516800631118,77.83974334209036,3.614575335779179,8.208951902065632,0.32738819423349375,90,1817,-30.42049903919152,-38.433203883151286,-8.012704843959767,-8.9710733826974,0.4040611416422466,90,1817,,,,,,0,0,more_exporting
INTNED,Netherlands(BritNed),2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,1826,4.996577686516085,6,1402.0,,,801.0247108005128,202.434001610306,-598.5907091902068,-104.45115658541894,0.21699636006596212,90,1817,807.3104515412537,445.91380703166936,-361.3966445095843,-65.72627261695929,0.20925489559718458,90,1817,6.285740740740739,243.4798054213634,237.19406468062266,38.72488396845971,0.14919047306305877,90,1817,96.21632523065297,57.939150526279626,-38.277174704373344,-7.200506672996347,0.2161115188757694,90,1817,1.8580246913580247,34.719757164443074,32.86173247308505,5.2806756843881955,0.15826050715735762,90,1817,57.134430156955275,14.438944480050354,-42.69548567690492,-7.450153822069835,0.21699636006596223,90,1817,,,,,,0,0,more_exporting
INTNEM,Belgium (Nemolink),2021-07-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,1826,4.996577686516085,6,1366.0,,,850.4093239385575,386.1963117283952,-464.2130122101623,-27.033612936164612,0.01609602610525651,90,1817,851.5782145709752,544.299337090714,-307.27887748026126,-21.176326083729013,0.02764711189688096,90,1817,1.1688906324177668,158.10302536231882,156.93413472990105,5.857286852435585,0.003932392222492753,90,1817,97.48054708601623,73.26557697590961,-24.21497011010662,-1.55612070229282,0.013846961310943762,90,1817,0.4307183460825368,26.63102366970587,26.200305323623333,1.7088332885101254,0.018137607042284398,90,1817,62.25544099110962,28.272057959618962,-33.98338303149066,-1.979034621973981,0.016096026105256622,90,1817,,,,,,0,0,more_exporting
INTNSL,North Sea Link (INTNSL),2021-10-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,1734,4.744695414099931,6,1846.0,,,631.0121510312231,649.5497524154589,18.537601384235813,85.60643179259121,0.07108816538132401,90,1725,639.7916765282929,845.235801798175,205.44412526988208,91.7696857923215,0.15191983089895433,90,1725,8.779525497069727,195.68604938271605,186.90652388564632,6.163253999729986,0.003339887169254263,90,1725,95.74844940387477,76.28304808633389,-19.46540131754088,0.886019426930549,0.0037241097825311265,90,1725,3.803738312311449,23.512472312368008,19.70873400005656,-1.403847361992508,0.010136697703475805,90,1725,34.18267340364156,35.18687716226755,1.0042037586259909,4.637401505557487,0.07108816538132412,90,1725,,,,,,0,0,no_clear_pattern
