interconnectorId,season,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw
INTELEC,Autumn,Eleclink (INTELEC),FRANCE,1260,2022-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,17471,56976,39505,30.663788261724235,8735.5,49.76246351096102,28.510102455497684,21.727434033541297,import,181.95661381718276,0.0,-1024.0,-167.0,994.0,998.0,807.4791810443984,771.1824934752058,1002.0,1028.0,1028.0,1024.0,14.441001096601807,0.0,-81.26984126984127,79.2063492063492,64.08564928923796,61.2049597996195,81.58730158730158,81.26984126984127,3510.112,1920.6299999999999,1589.482,5430.742,249,6.293286529179464,62.63522408562762,19.546677351038863,0.0,4.407303531566596,15.139373819472269,754.5,1.0
INTELEC,Spring,Eleclink (INTELEC),FRANCE,1260,2022-05-24 23:00:00+00:00,2026-05-31 23:30:00+00:00,18002,70466,52464,25.547072346947463,9001.0,89.4122875236085,6.1715364959448955,4.416175980446617,import,761.9584490612154,996.0,-120.0,722.0,998.0,998.0,883.6621520874752,456.030603060306,1260.0,1026.0,1260.0,998.0,60.472892782636144,79.04761904761905,-9.523809523809524,79.2063492063492,70.13191683233929,36.19290500478619,100.0,79.2063492063492,7111.713000000001,253.325,6858.388000000001,7365.0380000000005,197,4.025828425459448,82.96300411065437,1.5498277969114542,0.0,1.349850016664815,0.19997778024663926,364.5,1.0
INTELEC,Summer,Eleclink (INTELEC),FRANCE,1260,2022-06-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,19098,71566,52468,26.685856412262805,9549.0,67.89716200649283,26.871923761650436,5.230914231856739,import,363.38182008587285,686.0,-1020.0,-70.0,996.0,998.0,803.350042415362,677.5475448168355,1102.0,1026.0,1102.0,1022.0,28.83982699094229,54.44444444444444,-80.95238095238095,79.2063492063492,63.75793987423509,53.77361466800282,87.46031746031746,81.11111111111111,5208.52,1738.5870000000002,3469.9330000000004,6947.107,321,6.4590232655627755,74.45282228505603,6.754633993088281,0.0,1.3352183474709394,5.419415645617342,204.0,1.0
INTELEC,Winter,Eleclink (INTELEC),FRANCE,1260,2022-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,17327,56928,39601,30.43669196177628,8663.5,64.93911236798061,16.240549431523057,18.820338200496337,import,406.0132740809142,434.0,-668.7999999999997,0.0,996.0,998.0,740.2088517596871,459.7860696517413,1002.0,1024.0,1024.0,998.0,32.22327572070748,34.44444444444444,-53.07936507936506,79.2063492063492,58.74673426664184,36.49095790886835,81.26984126984127,79.2063492063492,4164.415,646.9190000000001,3517.496,4811.334000000001,445,11.256521510004038,54.879667570843196,3.734056674554164,0.0,1.5063196167830555,2.2277370577711086,1508.5,1.0
INTEW,Autumn,Ireland(East-West),IRELAND,588,2021-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,21832,74496,52664,29.30627147766323,10916.0,19.39813118358373,55.83089043605717,24.770978380359107,export,-150.54873580065959,-46.0,-530.0,-472.0,0.0,376.0,227.47438016528926,348.6860283862499,504.0,542.0,542.0,530.0,-25.60352649671081,-7.8231292517006805,-90.1360544217687,63.94557823129252,38.68611907572946,59.30034496364795,92.17687074829932,90.1360544217687,481.677,2125.067,-1643.39,2606.744,651,12.583931807503857,26.250458043239284,0.0,0.0,0.0,0.0,64.0,1.0
INTEW,Spring,Ireland(East-West),IRELAND,588,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22077,74544,52467,29.616065679330326,11038.5,8.56547538161888,45.08311817728858,46.35140644109254,export,-146.9884495175975,0.0,-530.0,-392.0,0.0,112.0,198.35748281332627,363.7253089520747,504.0,588.0,588.0,530.0,-24.998035632244477,0.0,-90.1360544217687,19.047619047619047,33.7342657845793,61.85804574014876,100.0,90.1360544217687,187.547,1810.0790000000002,-1622.532,1997.6260000000002,418,8.074802463007927,20.59609548398786,0.0,0.0,0.0,0.0,1087.0,1.0
INTEW,Summer,Ireland(East-West),IRELAND,588,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,22074,87646,65572,25.185404924354792,11037.0,15.416326900425839,61.805744314578234,22.777928784995925,export,-188.07076198242277,-144.0,-532.0,-516.0,0.0,324.0,236.57126065236557,363.3017664736495,504.0,536.0,536.0,532.0,-31.984823466398428,-24.489795918367346,-90.47619047619048,55.10204081632652,40.23320759393972,61.78601470640298,91.15646258503402,90.47619047619048,402.52600000000007,2478.263,-2075.737,2880.7889999999998,464,7.623481088481945,29.419226239014222,0.0,0.0,0.0,0.0,94.0,1.0
INTEW,Winter,Ireland(East-West),IRELAND,588,2021-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,21631,74448,52817,29.055179454115628,10815.5,24.24760760020341,48.62003605935925,27.132356340437337,export,-104.35939161388748,0.0,-532.0,-376.0,0.0,476.0,241.33574833174453,335.0008557573453,504.0,532.0,532.0,532.0,-17.748195852701954,0.0,-90.47619047619048,80.95238095238095,41.043494614242256,56.97293465260973,90.47619047619048,90.47619047619048,632.9029999999999,1761.602,-1128.699,2394.505,777,15.029215414993217,24.02570385095465,0.0,0.0,0.0,0.0,133.0,1.0
INTFR,Autumn,France(IFA),FRANCE,2630,2021-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,21832,74496,52664,29.30627147766323,10916.0,62.16104800293147,23.67625503847563,14.16269695859289,import,493.3228288750458,510.0,-1022.0,0.0,1002.0,1978.0,1028.1464888364897,615.7384407041981,2010.0,1532.0,2010.0,1978.0,18.757522010458015,19.39163498098859,-38.85931558935361,75.20912547528516,39.09302238922014,23.412108011566467,76.42585551330798,75.20912547528516,6976.487999999999,1591.3760000000002,5385.112,8567.864000000001,551,10.650916168870394,66.6269695859289,37.26181751557347,15.087944301942102,31.577500916086475,5.6843165994869915,685.0,1.0
INTFR,Spring,France(IFA),FRANCE,2630,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22077,74544,52467,29.616065679330326,11038.5,80.30076550255923,19.531639262580967,0.16759523485980884,import,864.3140825293292,1004.0,-1026.0,366.0,1504.0,2000.0,1224.5434341155235,609.2866419294991,2142.0,2056.0,2142.0,2000.0,32.863653328111376,38.17490494296578,-39.01140684410647,76.04562737642586,46.560586848498986,23.166792468802246,81.4448669201521,76.04562737642586,10854.353,1313.622,9540.731,12167.975000000002,510,9.852031713239338,83.75232142048286,64.79594147755583,31.66644018661956,59.15205870362821,5.643882773927618,5.5,1.0
INTFR,Summer,France(IFA),FRANCE,2630,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,22074,87646,65572,25.185404924354792,11037.0,75.21065506931231,24.64437800126846,0.14496692941922623,import,848.8355531394401,1252.0,-1032.0,10.5,1710.0,2006.0,1372.3969401276954,743.995955882353,2548.0,2054.0,2548.0,2006.0,32.275116088952096,47.60456273764259,-39.239543726235745,76.27376425855513,52.18239316074887,28.28881961529859,96.88212927756655,76.27376425855513,11392.267,2023.6690000000003,9368.598,13415.936000000002,490,8.050658908095157,85.48065597535562,67.26465525052097,36.80347920630606,57.30723928603787,9.957415964483102,4.0,1.0
INTFR,Winter,France(IFA),FRANCE,2630,2021-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,21631,74448,52817,29.055179454115628,10815.5,72.77518376404235,26.998289491932876,0.22652674402477926,import,657.6485599371273,884.0,-1026.0,-84.0,1502.0,2000.0,1152.3463346461695,670.3150684931506,2630.0,2072.0,2630.0,2000.0,25.00564866681092,33.61216730038023,-39.01140684410647,76.04562737642586,43.815449986546376,25.487264961716754,100.0,76.04562737642586,9070.118,1957.3200000000002,7112.798000000001,11027.438,895,17.31164452563569,76.54754750127132,51.24589709213628,30.428551615736676,44.90777125421848,6.338125837917803,3.5,1.0
