analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,bin_width_mw,bin_lower_mw,bin_upper_mw,bin_midpoint_mw,bin_observations,direction_observations,probability,probability_pct,probability_density_per_mw,cumulative_probability,cumulative_probability_pct
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,0.0,100.0,50.0,113,15442,0.007317704960497345,0.7317704960497345,7.317704960497346e-05,0.007317704960497345,0.7317704960497345
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,100.0,200.0,150.0,107,15442,0.006929154254630229,0.6929154254630229,6.929154254630229e-05,0.014246859215127574,1.4246859215127574
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,200.0,300.0,250.0,126,15442,0.008159564823209429,0.8159564823209429,8.159564823209428e-05,0.022406424038337,2.2406424038337
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,300.0,400.0,350.0,121,15442,0.007835772568320166,0.7835772568320166,7.835772568320166e-05,0.030242196606657168,3.024219660665717
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,400.0,500.0,450.0,125,15442,0.008094806372231577,0.8094806372231577,8.094806372231577e-05,0.03833700297888874,3.8337002978888743
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,500.0,600.0,550.0,153,15442,0.00990804299961145,0.9908042999611449,9.90804299961145e-05,0.04824504597850019,4.824504597850019
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,600.0,700.0,650.0,156,15442,0.010102318352545008,1.0102318352545008,0.00010102318352545008,0.058347364331045204,5.834736433104521
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,700.0,800.0,750.0,126,15442,0.008159564823209429,0.8159564823209429,8.159564823209428e-05,0.06650692915425463,6.650692915425463
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,800.0,900.0,850.0,157,15442,0.01016707680352286,1.016707680352286,0.0001016707680352286,0.07667400595777749,7.667400595777749
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,900.0,1000.0,950.0,167,15442,0.010814661313301386,1.0814661313301386,0.00010814661313301386,0.08748866727107887,8.748866727107888
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1000.0,1100.0,1050.0,161,15442,0.01042611060743427,1.042611060743427,0.0001042611060743427,0.09791477787851315,9.791477787851315
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1100.0,1200.0,1150.0,182,15442,0.011786038077969175,1.1786038077969174,0.00011786038077969175,0.10970081595648232,10.970081595648232
