analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,bin_width_mw,bin_lower_mw,bin_upper_mw,bin_midpoint_mw,bin_observations,direction_observations,probability,probability_pct,probability_density_per_mw,cumulative_probability,cumulative_probability_pct
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,0.0,100.0,50.0,659,76832,0.008577155351936693,0.8577155351936693,8.577155351936693e-05,0.008577155351936693,0.8577155351936693
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,100.0,200.0,150.0,647,76832,0.008420970428987921,0.8420970428987922,8.420970428987922e-05,0.016998125780924616,1.6998125780924616
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,200.0,300.0,250.0,648,76832,0.008433985839233653,0.8433985839233653,8.433985839233653e-05,0.02543211162015827,2.543211162015827
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,300.0,400.0,350.0,684,76832,0.008902540608079967,0.8902540608079967,8.902540608079966e-05,0.034334652228238234,3.4334652228238234
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,400.0,500.0,450.0,670,76832,0.008720324864639733,0.8720324864639732,8.720324864639733e-05,0.04305497709287797,4.305497709287797
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,500.0,600.0,550.0,751,76832,0.00977457309454394,0.977457309454394,9.774573094543941e-05,0.05282955018742191,5.28295501874219
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,600.0,700.0,650.0,773,76832,0.01006091211995002,1.006091211995002,0.00010060912119950021,0.06289046230737193,6.289046230737193
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,700.0,800.0,750.0,746,76832,0.009709496043315285,0.9709496043315285,9.709496043315285e-05,0.07259995835068721,7.259995835068721
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,800.0,900.0,850.0,804,76832,0.01046438983756768,1.046438983756768,0.0001046438983756768,0.0830643481882549,8.306434818825489
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,900.0,1000.0,950.0,859,76832,0.011180237401082881,1.1180237401082882,0.00011180237401082882,0.09424458558933778,9.424458558933777
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1000.0,1100.0,1050.0,830,76832,0.010802790503956685,1.0802790503956685,0.00010802790503956685,0.10504737609329447,10.504737609329446
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1100.0,1200.0,1150.0,801,76832,0.010425343606830487,1.0425343606830486,0.00010425343606830487,0.11547271970012495,11.547271970012494
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1200.0,1300.0,1250.0,862,76832,0.011219283631820075,1.1219283631820076,0.00011219283631820075,0.12669200333194502,12.669200333194503
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1300.0,1400.0,1350.0,893,76832,0.011622761349437735,1.1622761349437734,0.00011622761349437734,0.13831476468138276,13.831476468138277
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1400.0,1500.0,1450.0,942,76832,0.01226051645147855,1.226051645147855,0.0001226051645147855,0.1505752811328613,15.05752811328613
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1500.0,1600.0,1550.0,966,76832,0.012572886297376093,1.2572886297376094,0.00012572886297376092,0.1631481674302374,16.31481674302374
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1600.0,1700.0,1650.0,1018,76832,0.013249687630154102,1.3249687630154101,0.00013249687630154103,0.17639785506039152,17.639785506039154
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1700.0,1800.0,1750.0,950,76832,0.012364639733444397,1.2364639733444398,0.00012364639733444398,0.1887624947938359,18.87624947938359
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1800.0,1900.0,1850.0,976,76832,0.012703040399833403,1.2703040399833403,0.00012703040399833404,0.2014655351936693,20.14655351936693
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,1900.0,2000.0,1950.0,1061,76832,0.013809350270720533,1.3809350270720533,0.00013809350270720534,0.21527488546438983,21.527488546438985
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2000.0,2100.0,2050.0,1273,76832,0.016568617242815494,1.6568617242815493,0.00016568617242815494,0.23184350270720533,23.184350270720532
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2100.0,2200.0,2150.0,1082,76832,0.014082673885880883,1.4082673885880883,0.00014082673885880883,0.24592617659308622,24.592617659308623
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2200.0,2300.0,2250.0,1109,76832,0.014434089962515618,1.4434089962515617,0.00014434089962515618,0.26036026655560185,26.036026655560185
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2300.0,2400.0,2350.0,1141,76832,0.014850583090379009,1.4850583090379008,0.00014850583090379008,0.27521084964598086,27.521084964598085
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2400.0,2500.0,2450.0,1162,76832,0.015123906705539359,1.5123906705539358,0.00015123906705539358,0.2903347563515202,29.033475635152016
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2500.0,2600.0,2550.0,1197,76832,0.015579446064139942,1.5579446064139941,0.0001557944606413994,0.30591420241566014,30.591420241566013
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2600.0,2700.0,2650.0,1182,76832,0.015384214910453978,1.5384214910453977,0.00015384214910453979,0.32129841732611414,32.12984173261141
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2700.0,2800.0,2750.0,1329,76832,0.017297480216576427,1.7297480216576426,0.00017297480216576426,0.33859589754269054,33.85958975426905
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2800.0,2900.0,2850.0,1371,76832,0.017844127446897125,1.7844127446897124,0.00017844127446897125,0.35644002498958766,35.64400249895876
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2900.0,3000.0,2950.0,1467,76832,0.019093606830487296,1.9093606830487295,0.00019093606830487296,0.375533631820075,37.5533631820075
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3000.0,3100.0,3050.0,1627,76832,0.021176072469804248,2.117607246980425,0.00021176072469804248,0.39670970428987923,39.67097042898792
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3100.0,3200.0,3150.0,1385,76832,0.01802634319033736,1.8026343190337362,0.0001802634319033736,0.4147360474802166,41.47360474802166
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3200.0,3300.0,3250.0,1337,76832,0.017401603498542275,1.7401603498542275,0.00017401603498542274,0.43213765097875884,43.213765097875886
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3300.0,3400.0,3350.0,1423,76832,0.018520928779675136,1.8520928779675137,0.00018520928779675136,0.450658579758434,45.0658579758434
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3400.0,3500.0,3450.0,1440,76832,0.018742190753852563,1.8742190753852563,0.00018742190753852562,0.46940077051228657,46.940077051228656
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3500.0,3600.0,3550.0,1520,76832,0.01978342357351104,1.9783423573511039,0.0001978342357351104,0.4891841940857976,48.91841940857976
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3600.0,3700.0,3650.0,1426,76832,0.018559975010412327,1.8559975010412326,0.00018559975010412326,0.5077441690962099,50.77441690962099
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3700.0,3800.0,3750.0,1604,76832,0.020876718034152437,2.0876718034152435,0.00020876718034152438,0.5286208871303624,52.862088713036236
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3800.0,3900.0,3850.0,1493,76832,0.0194320074968763,1.9432007496876302,0.00019432007496876302,0.5480528946272386,54.80528946272386
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3900.0,4000.0,3950.0,1484,76832,0.019314868804664723,1.9314868804664722,0.00019314868804664722,0.5673677634319034,56.73677634319034
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4000.0,4100.0,4050.0,1570,76832,0.020434194085797584,2.0434194085797586,0.00020434194085797584,0.5878019575177009,58.780195751770094
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4100.0,4200.0,4150.0,1523,76832,0.01982246980424823,1.9822469804248228,0.0001982246980424823,0.6076244273219492,60.76244273219492
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4200.0,4300.0,4250.0,1436,76832,0.018690129112869637,1.8690129112869638,0.00018690129112869638,0.6263145564348188,62.63145564348188
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4300.0,4400.0,4350.0,1194,76832,0.01554039983340275,1.554039983340275,0.00015540399833402748,0.6418549562682215,64.18549562682216
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4400.0,4500.0,4450.0,1358,76832,0.017674927113702624,1.7674927113702623,0.00017674927113702624,0.6595298833819242,65.95298833819243
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4500.0,4600.0,4550.0,1244,76832,0.016191170345689294,1.6191170345689294,0.00016191170345689293,0.6757210537276135,67.57210537276134
