analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,percentile,percentile_label,level_mw,direction_observations,direction_duration_hours,direction_share_of_operational_half_hours_pct,operational_observations,first_timestamp,last_timestamp
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,0,P0,2.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,5,P5,120.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,10,P10,215.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,20,P20,442.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,30,P30,726.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,40,P40,1050.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,50,P50,1306.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,60,P60,1656.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,70,P70,2158.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,75,P75,2440.5,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,85,P85,3245.5,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,90,P90,3750.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,95,P95,4429.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,100,P100,6746.0,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,0,P0,2.0,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,5,P5,612.0,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,10,P10,1114.0,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,20,P20,1952.4000000000005,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,30,P30,2706.0,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
