analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,direction_observations,direction_duration_hours,direction_share_of_operational_half_hours_pct,operational_observations,first_timestamp,last_timestamp,P0,P5,P10,P20,P30,P40,P50,P60,P70,P75,P85,P90,P95,P100
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,612.0,1114.0,1952.4000000000005,2706.0,3398.0,4108.0,4729.200000000001,5344.0,5680.0,6320.0,6690.0,7182.0,9230.0
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,2076,1038.0,11.849315068493151,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,120.0,215.0,442.0,726.0,1050.0,1306.0,1656.0,2158.0,2440.5,3245.5,3750.0,4429.0,6746.0
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,206.0,416.0,760.0,946.0,994.0,996.0,996.0,996.0,998.0,998.0,998.0,1000.0,1102.0
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,6.0,10.0,46.0,83.80000000000001,106.39999999999998,178.0,250.0,350.0,405.5,602.0999999999999,716.8000000000002,842.7,1024.0
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,8.0,10.0,28.0,58.0,80.0,138.0,178.0,204.0,204.0,234.0,306.79999999999995,392.0,504.0
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,20.0,54.0,144.0,248.0,362.0,448.0,524.0,528.0,530.0,530.0,532.0,532.0,588.0
2025,interconnector,INTFR,France(IFA),import,import_mw_conditional_on_importing,16191,8095.5,92.41438356164383,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,398.0,578.0,996.0,1004.0,1248.0,1366.0,1504.0,1508.0,1568.0,2000.0,2004.0,2006.0,2548.0
2025,interconnector,INTFR,France(IFA),export,export_mw_positive_magnitude_conditional_on_exporting,1312,656.0,7.488584474885844,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,2.0,2.0,80.0,168.0,282.79999999999995,397.0,504.0,648.0,738.0,1000.6999999999998,1049.8000000000002,1390.0,2072.0
2025,interconnector,INTGRNL,Ireland (Greenlink),import,import_mw_conditional_on_importing,2124,1062.0,13.169642857142858,16128,2025-01-30 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,4.0,28.0,72.0,150.0,200.0,224.0,298.0,352.0,390.0,486.0,504.0,504.0,506.0
2025,interconnector,INTGRNL,Ireland (Greenlink),export,export_mw_positive_magnitude_conditional_on_exporting,13796,6898.0,85.54067460317461,16128,2025-01-30 00:00:00+00:00,2025-12-31 23:30:00+00:00,2.0,124.0,230.0,386.0,476.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,516.0
