analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,direction_observations,direction_duration_hours,direction_share_of_operational_half_hours_pct,operational_observations,first_timestamp,last_timestamp,P0,P5,P10,P20,P30,P40,P50,P60,P70,P75,P85,P90,P95,P100
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,76832,38416.0,79.78400830737279,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,568.0,1054.0,1888.0,2562.0,3116.0,3658.0,4163.199999999997,4756.0,5096.0,5844.0,6266.0,6808.0,9230.0
all_data,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export,export_mw_positive_magnitude_conditional_on_exporting,19444,9722.0,20.191069574247145,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,156.0,316.0,670.0,1044.0,1436.0,1904.0,2416.0,2996.0,3314.5,4079.0999999999985,4458.0,4944.0,7914.0
all_data,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,49009,24504.5,68.16462210353556,71898,2022-05-24 23:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,150.0,296.0,576.0,814.0,964.0,996.0,996.0,996.0,998.0,998.0,998.0,998.0,1260.0
all_data,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,14038,7019.0,19.524882472391443,71898,2022-05-24 23:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,28.0,80.0,210.0,384.0,598.0,804.0,906.0,990.0,1022.0,1024.0,1024.0,1024.0,1028.0
all_data,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,17102,8551.0,17.759086188992733,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,10.0,20.0,52.0,86.0,144.0,204.0,264.0,352.0,400.0,502.0,504.0,504.0,504.0
all_data,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,49912,24956.0,51.82969885773624,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,18.0,46.0,122.0,218.0,322.0,414.0,510.0,528.0,528.0,530.0,532.0,532.0,588.0
all_data,interconnector,INTFR,France(IFA),import,import_mw_conditional_on_importing,71786,35893.0,74.54413291796469,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,220.0,438.0,774.0,998.0,1006.0,1354.0,1502.0,1510.0,1706.0,1998.0,2002.0,2004.0,2630.0
all_data,interconnector,INTFR,France(IFA),export,export_mw_positive_magnitude_conditional_on_exporting,21302,10651.0,22.120456905503634,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,16.0,90.0,250.0,410.0,516.0,678.0,830.0,988.0,1026.0,1030.0,1032.0,1258.0,2072.0
all_data,interconnector,INTGRNL,Ireland (Greenlink),import,import_mw_conditional_on_importing,3487,1743.5,14.052550979285888,24814,2025-01-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,14.600000000000023,34.0,72.0,100.0,156.0,200.0,200.0,238.0,296.0,390.0,474.8000000000002,504.0,506.0
all_data,interconnector,INTGRNL,Ireland (Greenlink),export,export_mw_positive_magnitude_conditional_on_exporting,20581,10290.5,82.94108164745708,24814,2025-01-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,110.0,222.0,374.0,470.0,512.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,518.0
all_data,interconnector,INTIFA2,IFA2 (INTIFA2),import,import_mw_conditional_on_importing,59907,29953.5,62.89845029608164,95244,2021-01-23 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,148.0,296.0,548.0,726.0,864.0,964.0,992.0,992.0,992.0,992.0,992.0,992.0,1398.0
all_data,interconnector,INTIFA2,IFA2 (INTIFA2),export,export_mw_positive_magnitude_conditional_on_exporting,35268,17634.0,37.02910419553987,95244,2021-01-23 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,2.0,2.0,2.0,4.0,4.0,184.0,454.0,754.0,902.0,1028.0,1028.0,1030.0,1626.0
all_data,interconnector,INTIRL,Northern Ireland(Moyle),import,import_mw_conditional_on_importing,24916,12458.0,25.87331256490135,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,16.0,34.0,76.0,132.0,186.0,232.0,254.0,296.0,328.0,396.0,400.0,400.0,682.0
all_data,interconnector,INTIRL,Northern Ireland(Moyle),export,export_mw_positive_magnitude_conditional_on_exporting,66123,33061.5,68.66355140186916,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,46.0,92.0,208.0,286.0,344.0,402.0,450.0,452.0,452.0,452.0,452.0,454.0,592.0
all_data,interconnector,INTNED,Netherlands(BritNed),import,import_mw_conditional_on_importing,54531,27265.5,56.626168224299064,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,118.0,220.0,408.0,584.0,738.0,860.0,966.0,1002.0,1004.0,1040.0,1048.0,1054.0,1402.0
all_data,interconnector,INTNED,Netherlands(BritNed),export,export_mw_positive_magnitude_conditional_on_exporting,27598,13799.0,28.658359293873314,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,116.0,180.0,304.0,432.0,564.0,698.0,820.0,946.0,998.0,1016.0,1044.0,1058.0,1094.0
all_data,interconnector,INTNEM,Belgium (Nemolink),import,import_mw_conditional_on_importing,68726,34363.0,71.36656282450676,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,116.0,222.0,428.0,608.0,736.0,844.0,934.0,996.0,1000.0,1000.0,1012.0,1020.0,1366.0
all_data,interconnector,INTNEM,Belgium (Nemolink),export,export_mw_positive_magnitude_conditional_on_exporting,25446,12723.0,26.423676012461062,96300,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,50.0,96.0,196.0,308.0,426.0,562.0,704.0,830.0,906.0,1018.0,1020.0,1022.0,1044.0
all_data,interconnector,INTNSL,North Sea Link (INTNSL),import,import_mw_conditional_on_importing,68260,34130.0,82.09062920915913,83152,2021-10-01 23:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,280.0,546.0,694.0,980.0,1096.0,1298.0,1396.0,1398.0,1398.0,1398.0,1398.0,1400.0,1846.0
all_data,interconnector,INTNSL,North Sea Link (INTNSL),export,export_mw_positive_magnitude_conditional_on_exporting,12997,6498.5,15.63041177602463,83152,2021-10-01 23:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,4.0,6.0,106.0,284.0,450.0,646.0,738.0,950.0,1070.0,1197.2000000000007,1256.0,1454.0,1454.0
all_data,interconnector,INTVKL,Denmark (Viking link),import,import_mw_conditional_on_importing,26921,13460.5,61.365397766127195,43870,2023-12-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,130.0,254.0,514.0,698.0,800.0,976.0,990.0,1138.0,1304.0,1420.0,1422.0,1424.0,2480.0
all_data,interconnector,INTVKL,Denmark (Viking link),export,export_mw_positive_magnitude_conditional_on_exporting,13868,6934.0,31.61157966719854,43870,2023-12-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,2.0,70.0,144.0,288.0,444.0,600.0,750.0,892.0,1042.0,1082.5,1092.0,1094.0,1098.0,1456.0
