interconnectorId,interconnectorName,interconnectorBiddingZone,price_zone_code,flow_observations,joined_price_observations,missing_price_observations,first_flow_timestamp,last_flow_timestamp,first_price_hour,last_price_hour,price_join_coverage_pct
INTELEC,Eleclink (INTELEC),FRANCE,FR,71898,71898,0,2022-05-24 23:00:00+00:00,2026-06-30 22:30:00+00:00,2022-05-24 23:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTEW,Ireland(East-West),IRELAND,IRL,87614,87614,0,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2021-07-01 00:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTFR,France(IFA),FRANCE,FR,87614,87614,0,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2021-07-01 00:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTGRNL,Ireland (Greenlink),IRELAND,IRL,24814,24814,0,2025-01-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,2025-01-30 00:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTIFA2,IFA2 (INTIFA2),FRANCE,FR,87614,87614,0,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2021-07-01 00:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTIRL,Northern Ireland(Moyle),IRELAND,IRL,87614,87614,0,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2021-07-01 00:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTNED,Netherlands(BritNed),NETHERLANDS,NL,87614,87614,0,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2021-07-01 00:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTNEM,Belgium (Nemolink),BELGIUM,B,87614,87614,0,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,2021-07-01 00:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,83152,83152,0,2021-10-01 23:00:00+00:00,2026-06-30 22:30:00+00:00,2021-10-01 23:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
INTVKL,Denmark (Viking link),DENMARK1,DK,43870,43870,0,2023-12-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,2023-12-30 00:00:00+00:00,2026-06-30 22:00:00+00:00,100.0
