frequency,interconnectorId,interconnectorName,interconnectorBiddingZone,price_zone_code,observations,pearson_spread_vs_signed_mw,spearman_spread_vs_signed_mw,pearson_spread_vs_signed_pct_capacity,pearson_abs_spread_vs_abs_signed_mw
half_hourly,INTELEC,Eleclink (INTELEC),FRANCE,FR,71898,0.5872254567299461,0.6790447969062677,0.5872254567299462,
half_hourly,INTEW,Ireland(East-West),IRELAND,IRL,87614,0.20897641682349535,0.22190885620287565,0.20897641682349447,
half_hourly,INTFR,France(IFA),FRANCE,FR,87614,0.43291370942672447,0.6218643507658685,0.4329137094267242,
half_hourly,INTGRNL,Ireland (Greenlink),IRELAND,IRL,24814,0.0206021372694873,0.007508261758662109,0.02060213726948731,
half_hourly,INTIFA2,IFA2 (INTIFA2),FRANCE,FR,87614,0.5007877531323012,0.6839470894840751,0.5007877531323026,
half_hourly,INTIRL,Northern Ireland(Moyle),IRELAND,IRL,87614,0.18840686067151283,0.21495506931248773,0.18840686067151283,
half_hourly,INTNED,Netherlands(BritNed),NETHERLANDS,NL,87614,0.4289439878522591,0.6905072188305023,0.4289439878522597,
half_hourly,INTNEM,Belgium (Nemolink),BELGIUM,B,87614,0.45732247312709,0.7271368223894612,0.45732247312709023,
half_hourly,INTNSL,North Sea Link (INTNSL),NORWAY2,NO,83152,0.2235620605477475,0.21928818076981876,0.22356206054774724,
half_hourly,INTVKL,Denmark (Viking link),DENMARK1,DK,43870,0.5896531803145055,0.7539748060706475,0.5896531803145053,
daily,INTELEC,Eleclink (INTELEC),FRANCE,FR,1499,0.6960250791326621,0.7626910654538576,0.6960250791326624,0.29650883259323163
daily,INTEW,Ireland(East-West),IRELAND,IRL,1826,0.32477639240712,0.2960014998597145,0.3247763924071202,7.531010187925221e-05
daily,INTFR,France(IFA),FRANCE,FR,1826,0.597679353727123,0.6665235220724328,0.597679353727123,0.014989536116428986
daily,INTGRNL,Ireland (Greenlink),IRELAND,IRL,517,0.036156901518523736,0.05865751963282438,0.03615690151852373,-0.004033213990492703
daily,INTIFA2,IFA2 (INTIFA2),FRANCE,FR,1826,0.6761365688059102,0.7297174446353762,0.6761365688059099,0.3208628317351604
daily,INTIRL,Northern Ireland(Moyle),IRELAND,IRL,1826,0.30786324851140623,0.29430847922953024,0.30786324851140634,-0.1336980713247116
daily,INTNED,Netherlands(BritNed),NETHERLANDS,NL,1826,0.590696408178612,0.7318472882540463,0.5906964081786119,0.12703510688860875
daily,INTNEM,Belgium (Nemolink),BELGIUM,B,1826,0.6688640155021306,0.7882925447958727,0.6688640155021306,0.35404823159282595
daily,INTNSL,North Sea Link (INTNSL),NORWAY2,NO,1734,0.17743938686454905,0.22065202331194259,0.17743938686454905,-0.11539099411443568
daily,INTVKL,Denmark (Viking link),DENMARK1,DK,914,0.7167520519191769,0.7651168234168113,0.7167520519191768,0.23925706632642138
monthly,INTELEC,Eleclink (INTELEC),FRANCE,FR,50,0.8518319285926426,0.7746722410029985,0.8518319285926428,0.3060048204594627
monthly,INTEW,Ireland(East-West),IRELAND,IRL,60,0.798718484561324,0.7670464017782719,0.7987184845613238,-0.2696255950058034
monthly,INTFR,France(IFA),FRANCE,FR,60,0.7595084560115072,0.7008613503751043,0.759508456011507,-0.177455884420828
monthly,INTGRNL,Ireland (Greenlink),IRELAND,IRL,18,,,,
monthly,INTIFA2,IFA2 (INTIFA2),FRANCE,FR,60,0.8630963962334922,0.8047235343150877,0.8630963962334928,0.4724366611811652
monthly,INTIRL,Northern Ireland(Moyle),IRELAND,IRL,60,0.8415624417911127,0.8247290914142819,0.8415624417911137,-0.456995639562582
monthly,INTNED,Netherlands(BritNed),NETHERLANDS,NL,60,0.775971683156695,0.7908863573214784,0.7759716831566946,0.09337958103003223
monthly,INTNEM,Belgium (Nemolink),BELGIUM,B,60,0.8654563726274096,0.8558488469019173,0.8654563726274098,0.4409540205123407
monthly,INTNSL,North Sea Link (INTNSL),NORWAY2,NO,57,-0.0335749744432888,0.040186673580502985,-0.03357497444328876,-0.41431855287421815
monthly,INTVKL,Denmark (Viking link),DENMARK1,DK,31,,,,
