interconnectorId,interconnectorName,interconnectorBiddingZone,price_zone_code,observations,first_timestamp,last_timestamp,mean_gb_price,mean_zone_price,mean_price_spread_gb_minus_zone,p10_price_spread,median_price_spread,p90_price_spread,mean_signed_mw,mean_signed_pct_capacity,pearson_spread_vs_signed_mw,spearman_spread_vs_signed_mw,pearson_spread_vs_signed_pct_capacity,pearson_abs_spread_vs_abs_signed_mw,pearson_abs_spread_vs_abs_pct_capacity,ols_slope_mw_per_price_unit,ols_intercept_mw,ols_r2,gb_higher_observations,zone_higher_observations,near_parity_observations,import_share_when_gb_higher_pct,export_share_when_zone_higher_pct,mean_signed_mw_when_gb_higher,mean_signed_mw_when_zone_higher,directional_signal_observations,aligned_observations,counter_price_observations,aligned_share_of_directional_signal_pct,counter_share_of_directional_signal_pct
INTELEC,Eleclink (INTELEC),FRANCE,FR,71898,2022-05-24 23:00:00+00:00,2026-06-30 22:30:00+00:00,120.90920150769145,105.46545967898967,15.443741828701771,-20.00299999999999,10.319999999999993,75.38300000000004,429.36657486995466,34.07671229126624,0.5872254567299461,0.6790447969062677,0.5872254567299462,0.24435289026174428,0.24435289026174487,7.203883175058159,318.1116629502275,0.3448337370316946,49950,18728,3220,82.57657657657657,57.87590773173857,704.5810610610611,-283.38263562580096,60178,52086,8092,86.55322543122071,13.446774568779288
INTEW,Ireland(East-West),IRELAND,IRL,87614,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,136.03261202547537,147.1379887917456,-11.105376766270231,-69.01000000000002,-10.070000000000007,38.98,-147.70146323646907,-25.119296468787255,0.20897641682349535,0.22190885620287565,0.20897641682349447,0.048903336678787,0.04890333667878696,0.9263840555777856,-137.41361926901303,0.043671142788386796,28201,56891,2522,27.768518846849403,58.510133413017876,-59.74951242863728,-191.13033696015188,59448,41118,18330,69.16633023819136,30.83366976180864
INTFR,France(IFA),FRANCE,FR,87614,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,136.03261202547537,120.44857888008765,15.584033145387727,-26.546999999999983,10.125,74.68,716.9456707832081,27.260291664760764,0.43291370942672447,0.6218643507658685,0.4329137094267242,0.05491241915466618,0.05491241915466616,6.278144162378609,619.1068640651849,0.18741427980960668,59315,24692,3607,90.2469864283908,63.99643609266159,1132.0986259799377,-250.5037259031265,80860,69332,11528,85.7432599554786,14.256740044521395
INTGRNL,Ireland (Greenlink),IRELAND,IRL,24814,2025-01-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,96.23321995647619,117.1198533086161,-20.886633352139924,-76.621,-11.569999999999993,17.490000000000006,-338.1699846860643,-65.28378082742553,0.0206021372694873,0.007508261758662109,0.02060213726948731,0.005669604757302747,0.005669604757302744,0.12640667538758926,-335.52977480398056,0.00042444806007069236,6460,17472,882,15.170278637770899,83.47641941391942,-327.3442724458204,-342.1569368131868,23199,15565,7634,67.09340919867236,32.906590801327646
INTIFA2,IFA2 (INTIFA2),FRANCE,FR,87614,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,136.03261202547537,120.44857888008765,15.584033145387727,-26.546999999999983,10.125,74.68,328.42653000661994,20.198433579742925,0.5007877531323012,0.6839470894840751,0.5007877531323026,0.2234690498936157,0.22346904989361563,5.178742994101453,247.7208275351021,0.25078837368730056,59315,24692,3607,76.53713225996796,73.53798801231169,619.7932394841102,-360.02016847561964,83945,63556,20389,75.71147775329085,24.288522246709153
INTIRL,Northern Ireland(Moyle),IRELAND,IRL,87614,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,136.03261202547537,147.1379887917456,-11.105376766270231,-69.01000000000002,-10.070000000000007,38.98,-181.93254502705048,-26.676326250300654,0.18840686067151283,0.21495506931248773,0.18840686067151283,-0.05192679744287895,-0.05192679744287915,0.824443543808591,-172.77678885053797,0.03549714514809488,28201,56891,2522,37.1227970639339,75.67629326255471,-94.6962164462253,-224.60153627111495,80009,53522,26487,66.89497431538952,33.10502568461048
INTNED,Netherlands(BritNed),NETHERLANDS,NL,87614,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,136.03261202547537,125.06120037893487,10.971411646540508,-25.070000000000014,4.090000000000003,59.306999999999995,233.29244184719337,16.63997445415074,0.4289439878522591,0.6905072188305023,0.4289439878522597,0.17852676870981823,0.17852676870981843,5.220101714020173,176.02055710586689,0.18399294471459926,50871,32263,4480,81.18181282066404,63.15283761584478,607.1985217510959,-331.938443418157,75438,61673,13765,81.75322781621995,18.24677218378006
INTNEM,Belgium (Nemolink),BELGIUM,B,87614,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,136.03261202547537,123.5057844636702,12.52682756180519,-21.089999999999996,5.699999999999996,57.783999999999935,326.3672244161892,23.892183339398915,0.45732247312709,0.7271368223894612,0.45732247312709023,0.2484366681177832,0.24843666811778356,5.321167184873985,259.7098806637364,0.20914384442707756,54416,28499,4699,88.42068509261982,64.70753359767009,653.3636798000588,-269.42061124951755,80931,66556,14375,82.2379557894997,17.762044210500303
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,83152,2021-10-01 23:00:00+00:00,2026-06-30 22:30:00+00:00,135.2134460987108,74.25333052722723,60.96011557148354,2.780000000000001,52.72999999999999,125.0890000000001,798.1884019626708,43.238808340339695,0.2235620605477475,0.21928818076981876,0.22356206054774724,-0.014440969761741893,-0.014440969761741904,2.604499492739058,639.417811879426,0.04997999491635485,75526,6882,744,88.13521171517094,78.37837837837837,933.4624632576861,-599.9889566986341,80521,71959,8562,89.36674904683251,10.633250953167497
INTVKL,Denmark (Viking link),DENMARK1,DK,43870,2023-12-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,93.43512696603601,80.76381262821974,12.671314337816277,-17.72,5.349999999999994,64.97,326.4984271711876,13.165259160128532,0.5896531803145055,0.7539748060706475,0.5896531803145053,0.28764964059447656,0.28764964059447634,12.62709111222562,166.4965865159311,0.3476908730550108,26438,15122,2310,85.81208866026174,71.86880042322444,800.1705877903019,-468.05634175373626,38631,33555,5076,86.86029354663354,13.139706453366468
