interconnectorId,interconnectorName,wind_metric,wind_metric_label,flow_metric,flow_metric_label,wind_lag_hours,lag_interpretation,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,62780,-0.0016432085624036778,-0.005999112417870694,6921.797131812679,1928.1747999999993,12884.636019999996,371.7879898056706,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,62804,-0.04747598339877156,-0.05338576862003392,6923.997453493407,1928.7662,12887.485680000002,371.9163110629896,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,62816,-0.06539920713572826,-0.07609192384965713,6925.083792078451,1929.1190000000006,12888.8562,371.93816861946,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,62822,-0.07267133696248068,-0.08592509309894195,6925.158711425935,1929.418600000001,12888.679699999999,371.9114323007864,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,0,same half-hour,62828,-0.07535510724710112,-0.08979105197382713,6924.9374202775825,1929.7462000000007,12888.649099999995,371.84777487744316,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,62822,-0.06993223939986776,-0.08132714519779878,6924.389815787463,1929.418600000001,12888.679699999999,371.8832892935596,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,62816,-0.05607188461897849,-0.06338063409699357,6923.805410322211,1929.1190000000006,12887.636000000002,371.9188104941416,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,62804,-0.014958676602108971,-0.015250298287249997,6922.911370065601,1928.7662,12887.548140000003,372.01455321317115,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,62780,0.03499679013019745,0.03684237042191783,6921.979768856324,1928.1747999999993,12887.876359999997,372.46381013061483,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,62780,0.0029700871101103056,-0.006298169494656041,7694.720602923102,1939.7204599999998,14799.20112666605,371.7879898056706,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,62804,-0.03818165260011416,-0.04890578630385746,7696.910130238717,1939.8018000000002,14801.331566666437,371.9163110629896,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,62816,-0.06106073822555167,-0.07509619292282178,7697.85322353401,1940.0732000000003,14800.813133333028,371.93816861946,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,62822,-0.0723304526362981,-0.08704940331891826,7697.854885637394,1940.2255599999994,14800.60467999958,371.9114323007864,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,0,same half-hour,62828,-0.07775862781288478,-0.09276340768989705,7697.560098165028,1940.29252,14800.189559999859,371.84777487744316,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,62822,-0.07024736122412198,-0.08309556153375248,7696.450383841844,1940.2255599999994,14798.181893333463,371.8832892935596,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,62816,-0.052524572886917587,-0.06249845507488069,7695.41310053696,1940.0732000000003,14796.602933333368,371.9188104941416,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,62804,-0.004927025603826051,-0.0109520278332641,7694.050335739704,1939.8018000000002,14794.611875243987,372.01455321317115,-824.0,998.0
INTELEC,Eleclink (INTELEC),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,62780,0.039541827092379876,0.03685452770698288,7693.099085746465,1939.7204599999998,14795.165258777819,372.46381013061483,-824.0,998.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,78496,0.13076114950711662,0.12558871616687334,6736.157023379535,1728.8649,12507.000199999999,-143.77237056665308,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,78520,0.22637787250322916,0.21373852907083582,6734.535870621497,1727.9028000000003,12506.48420000001,-143.88069281711665,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,0.17980597265497117,0.1674713724610299,6733.828084312127,1728.2382199999997,12506.127160000007,-143.93999898130699,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,0.1239217089623655,0.11453912855153488,6733.491001695995,1728.27554,12505.747720000001,-143.9594591153327,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,0,same half-hour,78544,0.06577811353182156,0.05991602924128282,6733.151311840497,1728.3227600000002,12505.551099999995,-143.97160827052352,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,78538,0.024327709675780376,0.02069390279105314,6732.698635098932,1728.27554,12504.319900000002,-143.97927118082967,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,78532,-0.002025046289290453,-0.005325829362491572,6732.216536581266,1728.2382199999997,12503.143239999996,-143.98319156522183,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,78520,-0.022892762930010066,-0.029337966542093894,6731.472160998473,1727.9028000000003,12502.725640000002,-143.92598064187467,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,78496,-0.007099811543292824,-0.01218486670691806,6730.668547248267,1727.4746999999998,12503.378999999997,-143.8327558092132,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,78496,0.11660968234140721,0.11462548348239031,7434.781937060645,1736.4009999999998,14315.143833333303,-143.77237056665308,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,78520,0.2137232048497786,0.20330995221939369,7432.947246376876,1735.2858800000004,14314.435246666735,-143.88069281711665,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,0.1764447818372527,0.16386796349628632,7432.132740048801,1735.3412600000004,14314.239199999998,-143.93999898130699,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,0.12317041972380639,0.1130404368562211,7431.742309652809,1735.37642,14314.2344,-143.9594591153327,-530.0,172.0
