wind_metric,wind_metric_label,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,wind_bucket_observations,mean_wind_mw,min_wind_mw,max_wind_mw,direction_observations,direction_duration_hours,direction_share_pct,mean_level_mw,P0,P10,P20,P30,P40,P50,P60,P70,P75,P80,P85,P90,P95,P100
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_conditional_on_importing,15712,1651.2823973523423,-115.2388,2830.466,12931,6465.5,82.30015274949083,4024.2505606681616,2.0,1358.0,2408.0,3188.0,3718.0,4056.0,4520.0,5032.0,5343.0,5666.0,6032.0,6414.0,6943.0,9148.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,1651.2823973523423,-115.2388,2830.466,2776,1388.0,17.668024439918533,2236.715417867435,2.0,316.0,694.0,1032.0,1460.0,1985.0,2550.0,3146.9999999999995,3540.5,3842.0,4184.0,4561.0,4964.5,6350.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,20_40pct,import,import_mw_conditional_on_importing,15705,3893.593370518943,2830.6159999999995,5018.745599999998,12895,6447.5,82.10760904170647,3971.815587436991,2.0,1344.0,2237.6000000000004,2976.0,3520.0,4066.0,4592.0,5130.0,5405.0,5694.0,6000.0,6348.0,6786.0,9230.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,3893.593370518943,2830.6159999999995,5018.745599999998,2806,1403.0,17.86692136262337,2267.35851746258,8.0,388.0,874.0,1228.0,1612.0,2075.0,2516.0,3010.9999999999995,3258.0,3570.0,4069.5,4513.0,5062.0,6584.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,40_60pct,import,import_mw_conditional_on_importing,15712,6261.010603245926,5018.818,7611.486599999997,12487,6243.5,79.47428716904277,3720.665972611516,2.0,1068.0,1866.0,2582.0,3184.0,3766.0,4284.0,4876.0,5214.0,5541.600000000002,5872.200000000001,6246.799999999999,6732.0,9026.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,6261.010603245926,5018.818,7611.486599999997,3222,1611.0,20.50661914460285,2348.934823091248,2.0,334.20000000000005,754.0,1158.6,1625.6000000000004,2172.0,2693.2,3264.999999999998,3557.0,3949.6000000000004,4257.7,4669.6,5187.9,6774.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,60_80pct,import,import_mw_conditional_on_importing,15705,9147.22514184018,7611.787199999998,10784.568000000003,11900,5950.0,75.772047118752,3352.810756302521,2.0,752.0,1404.0,2030.0,2656.0,3280.0,3872.0,4478.0,4810.0,5180.0,5612.299999999999,6136.200000000001,6748.0,8832.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,9147.22514184018,7611.787199999998,10784.568000000003,3804,1902.0,24.221585482330468,2097.287066246057,2.0,284.0,561.2,916.0,1282.4,1685.0,2283.5999999999995,3026.2,3360.5,3712.8,4097.099999999999,4379.400000000001,4881.7,6302.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,highest_20pct,import,import_mw_conditional_on_importing,15710,12713.216694793125,10784.598000000004,17142.889999999996,10810,5405.0,68.80967536600892,3343.6111008325624,2.0,742.0,1366.0,1974.0,2541.2000000000007,3180.0,3908.0,4600.5999999999985,4954.0,5302.0,5736.0,6088.0,6628.0,8530.0
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15710,12713.216694793125,10784.598000000004,17142.889999999996,4894,2447.0,31.152132399745387,2258.948917041275,2.0,376.6,756.4000000000001,1154.0,1600.4,2046.0,2555.5999999999995,3090.0,3417.5,3780.8,4116.1,4495.4,4897.399999999998,7914.0
