wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,observations,mean_wind_mw,min_wind_mw,max_wind_mw,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),lowest_20pct,11353,1729.5558353915264,-115.2388,2830.466,393.93605214480755,738.0,546.1752840658856,152.23923192107813,2236.178,7328,2551,1474,64.54681581960715,22.469831762529726,12.98335241786312
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),20_40pct,12862,3887.8469440211475,2830.6159999999995,5018.745599999998,445.8334629140103,850.0,579.3711708909967,133.53770797698647,2867.155,8811,2533,1518,68.50412066552636,19.693671279738766,11.802208054734878
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),40_60pct,12871,6270.893215150338,5018.8512,7611.486599999997,408.53158262761247,724.0,550.1623805454121,141.6307979177997,2629.105,8686,2587,1598,67.4850438971331,20.099448372309844,12.415507730557067
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),60_80pct,12364,9105.177387301845,7611.787199999998,10784.430800000004,337.42025234551926,452.0,482.9838240051763,145.56357165965707,2085.932,7617,2898,1849,61.60627628599159,23.43901649951472,14.954707214493693
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),highest_20pct,13378,12868.123311346988,10784.7864,17142.889999999996,278.49544027507847,263.0,426.19061145163704,147.69517117655852,1862.856,7838,3212,2328,58.588727761997305,24.00956794737629,17.4017042906264
wind_actual_mw,Actual wind output,All,INTEW,Ireland(East-West),lowest_20pct,15712,1651.2823973523423,-115.2388,2830.466,-159.89625763747455,-42.0,31.686608961303463,191.582866598778,-1256.145,2140,8550,5022,13.620162932790226,54.41700610997964,31.962830957230143
wind_actual_mw,Actual wind output,All,INTEW,Ireland(East-West),20_40pct,15705,3893.593370518943,2830.6159999999995,5018.745599999998,-166.5447946513849,-66.0,35.004648201209804,201.54944285259472,-1307.7930000000001,2297,8876,4532,14.625915313594396,56.51703279210443,28.85705189430118
wind_actual_mw,Actual wind output,All,INTEW,Ireland(East-West),40_60pct,15712,6261.010603245926,5018.818,7611.486599999997,-140.45812118126273,-18.0,46.79276985743381,187.25089103869655,-1103.439,3066,8255,4391,19.513747454175153,52.53946028513238,27.946792260692465
wind_actual_mw,Actual wind output,All,INTEW,Ireland(East-West),60_80pct,15705,9147.22514184018,7611.787199999998,10784.568000000005,-142.32766634829673,-28.0,46.71429481056988,189.0419611588666,-1117.6280000000002,3047,8457,4201,19.401464501751033,53.84909264565425,26.74944285259471
wind_actual_mw,Actual wind output,All,INTEW,Ireland(East-West),highest_20pct,15710,12713.216694793125,10784.598000000004,17142.889999999996,-110.63628262253341,0.0,52.812858052196056,163.44914067472948,-869.048,3631,7688,4391,23.112667091024825,48.93698281349459,27.950350095480587
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),lowest_20pct,15712,1651.2823973523423,-115.2388,2830.466,835.0773930753564,1002.0,971.6796079429736,136.6022148676171,6560.368,11720,3374,618,74.59266802443992,21.474032586558046,3.9332993890020367
