bm_unit_id,rows_in_requested_window,first_startTime,last_startTime,total_actual_mwh,total_before_curtailment_mwh
E_ABRTW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,332926.1516,385876.5805444442
E_AIRSW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,306627.6603,306627.6603
E_ASHWW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,360204.1719,424532.53711983893
E_ASLVW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,288481.72109999997,334887.7989888891
E_BABAW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,402399.7105,614485.0141126395
E_BETHW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,258832.40249999997,285086.86083333316
E_BLARW-1,75026,2021-09-12 23:00:00+00:00,2025-12-31 23:30:00+00:00,376340.2846,422639.2522599151
E_BNWKW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,262030.3541,297766.00198530336
E_BRDUW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,564751.3828,697974.3220235477
E_BRNLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,73186.2653,73186.2653
E_BRYBW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,487763.87789999996,698342.94051822
E_BTUIW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,444799.4228,461315.1818000001
E_BTUIW-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,520957.8487000001,729800.6703772924
E_BURBO,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1030455.9824,1033169.6765111111
E_CLDRW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,340757.9812,419142.97836666694
E_CLFLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,61876.9169,62626.01090000001
E_CMSTW-2,1776,2025-11-25 00:00:00+00:00,2025-12-31 23:30:00+00:00,-48.92190000000001,-48.92190000000001
E_CNCLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,308884.69440000004,309353.18940000003
E_CRGTW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,44415.7376,44969.587044444444
E_DALSW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,233245.9091,243696.48254444436
E_GDSTW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,103484.1156,108354.23254444444
E_GFLDW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,328187.2942,328187.2942
E_GLCHW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,307133.7742,307133.7742
E_GLOFW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,213165.3357,236320.68620000005
